#Read position (bp)	Clipping profile
0.0	6.915629322268327
1.0	1.3831258644536653
2.0	1.2909174734900875
3.0	1.2448132780082988
4.0	1.2448132780082988
5.0	1.1526048870447212
6.0	1.0603964960811434
7.0	1.0603964960811434
8.0	1.0142923005993545
9.0	1.0142923005993545
10.0	0.9220839096357769
11.0	0.875979714153988
12.0	0.875979714153988
13.0	0.7837713231904103
14.0	0.7837713231904103
15.0	0.7376671277086214
16.0	0.7376671277086214
17.0	0.6915629322268326
18.0	0.6915629322268326
19.0	0.6915629322268326
20.0	0.6454587367450437
21.0	0.599354541263255
22.0	0.599354541263255
23.0	0.599354541263255
24.0	0.6454587367450437
25.0	0.6454587367450437
26.0	0.6915629322268326
27.0	0.6915629322268326
28.0	0.6915629322268326
29.0	0.6915629322268326
30.0	0.6915629322268326
31.0	0.6915629322268326
32.0	0.6915629322268326
33.0	0.6915629322268326
34.0	0.6915629322268326
35.0	0.6915629322268326
36.0	0.6454587367450437
37.0	0.6454587367450437
38.0	0.6454587367450437
39.0	0.599354541263255
40.0	0.599354541263255
41.0	0.6454587367450437
42.0	0.6454587367450437
43.0	0.6454587367450437
44.0	0.6454587367450437
45.0	0.599354541263255
46.0	0.599354541263255
47.0	0.599354541263255
48.0	0.599354541263255
49.0	0.599354541263255
50.0	0.599354541263255
51.0	0.599354541263255
52.0	0.599354541263255
53.0	0.5532503457814661
54.0	0.5071461502996772
55.0	0.5071461502996772
56.0	0.5071461502996772
57.0	0.5071461502996772
58.0	0.5071461502996772
59.0	0.5071461502996772
60.0	0.5071461502996772
61.0	0.46104195481788846
62.0	0.5071461502996772
63.0	0.5071461502996772
64.0	0.5071461502996772
65.0	0.5071461502996772
66.0	0.5071461502996772
67.0	0.5071461502996772
68.0	0.5071461502996772
69.0	0.5071461502996772
70.0	0.5071461502996772
71.0	0.5071461502996772
72.0	0.5071461502996772
73.0	0.5071461502996772
74.0	0.5071461502996772
75.0	0.5071461502996772
76.0	0.5071461502996772
77.0	0.5071461502996772
78.0	0.5071461502996772
79.0	0.46104195481788846
80.0	0.4149377593360996
81.0	0.4149377593360996
82.0	0.4149377593360996
83.0	0.4149377593360996
84.0	0.4149377593360996
85.0	0.4149377593360996
86.0	0.4149377593360996
87.0	0.4149377593360996
88.0	0.4149377593360996
89.0	0.4149377593360996
90.0	0.4149377593360996
91.0	0.4149377593360996
92.0	0.4149377593360996
93.0	0.4149377593360996
94.0	0.4149377593360996
95.0	0.4149377593360996
96.0	0.4149377593360996
97.0	0.4149377593360996
98.0	0.46104195481788846
99.0	0.46104195481788846
100.0	0.46104195481788846
101.0	0.46104195481788846
102.0	0.46104195481788846
103.0	0.46104195481788846
104.0	0.5071461502996772
105.0	0.5532503457814661
106.0	0.5532503457814661
107.0	0.5532503457814661
108.0	0.5532503457814661
109.0	0.5532503457814661
110.0	0.5532503457814661
111.0	0.5532503457814661
112.0	0.5071461502996772
113.0	0.599354541263255
114.0	0.599354541263255
115.0	0.599354541263255
116.0	0.6454587367450437
117.0	0.6454587367450437
118.0	0.6454587367450437
119.0	0.6454587367450437
120.0	0.6454587367450437
121.0	0.6454587367450437
122.0	0.6454587367450437
123.0	0.6454587367450437
124.0	0.5532503457814661
125.0	0.5532503457814661
126.0	0.5532503457814661
127.0	0.599354541263255
128.0	0.599354541263255
129.0	0.599354541263255
130.0	0.599354541263255
131.0	0.599354541263255
132.0	0.599354541263255
133.0	0.599354541263255
134.0	0.599354541263255
135.0	0.599354541263255
136.0	0.599354541263255
137.0	0.6454587367450437
138.0	0.6454587367450437
139.0	0.6454587367450437
140.0	0.6915629322268326
141.0	0.7837713231904103
142.0	0.7837713231904103
143.0	0.7837713231904103
144.0	0.7837713231904103
145.0	0.8298755186721992
146.0	0.875979714153988
147.0	0.875979714153988
148.0	0.9681881051175657
149.0	0.9681881051175657
