Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX10022.WHB6490.unmapped-both-read-and-mate	1941.0	557.0	5.0	nan	10961.0
MUX10023.WHB6491.unmapped-both-read-and-mate	1428.0	413.0	nan	nan	7369.0
MUX10023.WHB6493.unmapped-both-read-and-mate	1658.0	600.0	1.0	nan	10318.0
MUX10023.WHB6494.unmapped-both-read-and-mate	5359.0	424.0	6.0	2.0	11367.0
MUX10023.WHB6495.unmapped-both-read-and-mate	2249.0	505.0	4.0	nan	9715.0
MUX10023.WHB6497.unmapped-both-read-and-mate	1444.0	453.0	nan	2.0	8358.0
MUX10024.WHB6498.unmapped-both-read-and-mate	1712.0	450.0	1.0	1.0	8503.0
MUX10024.WHB6499.unmapped-both-read-and-mate	1428.0	503.0	1.0	nan	9860.0
MUX10024.WHB6500.unmapped-both-read-and-mate	4748.0	434.0	nan	2.0	11290.0
MUX10024.WHB6501.unmapped-both-read-and-mate	1570.0	527.0	nan	nan	11655.0
MUX10024.WHB6502.unmapped-both-read-and-mate	1796.0	517.0	nan	nan	10896.0
MUX10025.WHB6503.unmapped-both-read-and-mate	3648.0	511.0	2.0	1.0	8346.0
MUX10025.WHB6504.unmapped-both-read-and-mate	4475.0	535.0	nan	nan	8596.0
MUX10025.WHB6506.unmapped-both-read-and-mate	1867.0	447.0	12.0	2.0	5971.0
MUX10025.WHB6509.unmapped-both-read-and-mate	1948.0	398.0	nan	nan	5923.0
MUX10025.WHB6514.unmapped-both-read-and-mate	1479.0	448.0	nan	nan	6655.0
MUX10026.WHB6505.unmapped-both-read-and-mate	1875.0	623.0	2.0	nan	8131.0
MUX10026.WHB6510.unmapped-both-read-and-mate	1430.0	435.0	nan	nan	5619.0
MUX10026.WHB6511.unmapped-both-read-and-mate	1516.0	466.0	nan	nan	5730.0
MUX10026.WHB6513.unmapped-both-read-and-mate	1732.0	575.0	nan	nan	7221.0
MUX10027.WHB6515.unmapped-both-read-and-mate	1711.0	625.0	1.0	nan	7816.0
MUX10027.WHB6516.unmapped-both-read-and-mate	1490.0	578.0	9.0	1.0	7461.0
MUX10027.WHB6517.unmapped-both-read-and-mate	2873.0	657.0	5.0	2.0	9799.0
MUX10027.WHB6518.unmapped-both-read-and-mate	1809.0	628.0	1.0	1.0	8198.0
MUX10027.WHB6519.unmapped-both-read-and-mate	1641.0	552.0	nan	nan	6920.0
MUX10028.WHB6520.unmapped-both-read-and-mate	1838.0	430.0	4.0	nan	6102.0
MUX10028.WHB6521.unmapped-both-read-and-mate	1461.0	344.0	nan	nan	4483.0
MUX10028.WHB6522.unmapped-both-read-and-mate	1422.0	312.0	1.0	nan	4488.0
MUX10028.WHB6523.unmapped-both-read-and-mate	1966.0	430.0	nan	nan	5491.0
MUX10028.WHB6524.unmapped-both-read-and-mate	1579.0	372.0	nan	nan	4658.0
MUX10029.WHB6525.unmapped-both-read-and-mate	1812.0	419.0	2.0	nan	5773.0
MUX10029.WHB6526.unmapped-both-read-and-mate	1150.0	400.0	nan	nan	4805.0
MUX10029.WHB6527.unmapped-both-read-and-mate	1937.0	401.0	10.0	nan	5096.0
MUX10029.WHB6528.unmapped-both-read-and-mate	1475.0	313.0	nan	nan	4195.0
MUX10029.WHB6529.unmapped-both-read-and-mate	4034.0	356.0	2.0	nan	6468.0
MUX10030.WHB6530.unmapped-both-read-and-mate	3455.0	430.0	4.0	nan	6750.0
