Sample	Pseudomonas mendocina	Homo sapiens	Alcaligenes faecalis	Sphingobium sp. YG1	Achromobacter xylosoxidans	Other	Unclassified
MUX10021.WHB6478.unmapped-both-read-and-mate	nan	478.0	nan	nan	nan	2013.0	9506.0
MUX10021.WHB6479.unmapped-both-read-and-mate	nan	603.0	nan	nan	nan	1940.0	13590.0
MUX10021.WHB6480.unmapped-both-read-and-mate	1.0	512.0	nan	nan	nan	1412.0	10136.0
MUX10021.WHB6482.unmapped-both-read-and-mate	nan	535.0	nan	nan	nan	2028.0	11591.0
MUX10021.WHB6483.unmapped-both-read-and-mate	nan	565.0	nan	nan	nan	2215.0	12202.0
MUX10022.WHB6485.unmapped-both-read-and-mate	1.0	328.0	nan	nan	nan	2171.0	7640.0
MUX10022.WHB6486.unmapped-both-read-and-mate	nan	354.0	nan	nan	2.0	1842.0	7768.0
MUX10022.WHB6489.unmapped-both-read-and-mate	nan	531.0	1.0	nan	3.0	1669.0	12468.0
MUX10022.WHB6490.unmapped-both-read-and-mate	nan	557.0	nan	nan	nan	1946.0	10961.0
MUX10023.WHB6491.unmapped-both-read-and-mate	nan	413.0	nan	nan	1.0	1427.0	7369.0
MUX10023.WHB6493.unmapped-both-read-and-mate	nan	600.0	nan	nan	nan	1659.0	10318.0
MUX10023.WHB6494.unmapped-both-read-and-mate	1.0	424.0	nan	3.0	nan	5363.0	11367.0
MUX10023.WHB6495.unmapped-both-read-and-mate	nan	505.0	nan	nan	1.0	2252.0	9715.0
MUX10023.WHB6497.unmapped-both-read-and-mate	nan	453.0	nan	1.0	nan	1445.0	8358.0
MUX10024.WHB6498.unmapped-both-read-and-mate	nan	450.0	nan	nan	nan	1714.0	8503.0
MUX10024.WHB6499.unmapped-both-read-and-mate	nan	503.0	nan	2.0	nan	1427.0	9860.0
MUX10024.WHB6500.unmapped-both-read-and-mate	nan	434.0	1.0	nan	nan	4749.0	11290.0
MUX10024.WHB6501.unmapped-both-read-and-mate	nan	527.0	nan	nan	nan	1570.0	11655.0
MUX10024.WHB6502.unmapped-both-read-and-mate	nan	517.0	nan	nan	nan	1796.0	10896.0
MUX10025.WHB6503.unmapped-both-read-and-mate	nan	511.0	nan	2.0	2.0	3647.0	8346.0
MUX10025.WHB6504.unmapped-both-read-and-mate	1.0	535.0	nan	nan	nan	4474.0	8596.0
MUX10025.WHB6506.unmapped-both-read-and-mate	nan	447.0	1.0	nan	nan	1880.0	5971.0
MUX10025.WHB6509.unmapped-both-read-and-mate	nan	398.0	nan	1.0	2.0	1945.0	5923.0
MUX10025.WHB6514.unmapped-both-read-and-mate	2.0	448.0	nan	nan	nan	1477.0	6655.0
MUX10026.WHB6505.unmapped-both-read-and-mate	1.0	623.0	nan	nan	nan	1876.0	8131.0
MUX10026.WHB6510.unmapped-both-read-and-mate	nan	435.0	nan	nan	1.0	1429.0	5619.0
MUX10026.WHB6511.unmapped-both-read-and-mate	2.0	466.0	nan	1.0	nan	1513.0	5730.0
MUX10026.WHB6513.unmapped-both-read-and-mate	nan	575.0	nan	nan	1.0	1731.0	7221.0
MUX10027.WHB6515.unmapped-both-read-and-mate	nan	625.0	nan	nan	nan	1712.0	7816.0
MUX10027.WHB6516.unmapped-both-read-and-mate	nan	578.0	nan	nan	nan	1500.0	7461.0
MUX10027.WHB6517.unmapped-both-read-and-mate	2.0	657.0	nan	nan	5.0	2873.0	9799.0
MUX10027.WHB6518.unmapped-both-read-and-mate	1.0	628.0	nan	1.0	1.0	1808.0	8198.0
MUX10027.WHB6519.unmapped-both-read-and-mate	nan	552.0	nan	nan	nan	1641.0	6920.0
MUX10028.WHB6520.unmapped-both-read-and-mate	nan	430.0	nan	nan	1.0	1841.0	6102.0
MUX10028.WHB6521.unmapped-both-read-and-mate	nan	344.0	nan	nan	1.0	1460.0	4483.0
MUX10028.WHB6522.unmapped-both-read-and-mate	1.0	312.0	nan	nan	nan	1422.0	4488.0
MUX10028.WHB6523.unmapped-both-read-and-mate	1.0	430.0	nan	nan	nan	1965.0	5491.0
MUX10028.WHB6524.unmapped-both-read-and-mate	nan	372.0	nan	nan	nan	1579.0	4658.0
MUX10029.WHB6525.unmapped-both-read-and-mate	nan	419.0	nan	nan	1.0	1813.0	5773.0
MUX10029.WHB6526.unmapped-both-read-and-mate	nan	400.0	nan	nan	1.0	1149.0	4805.0
MUX10029.WHB6527.unmapped-both-read-and-mate	2.0	401.0	nan	nan	nan	1945.0	5096.0
MUX10029.WHB6528.unmapped-both-read-and-mate	nan	313.0	1.0	1.0	nan	1473.0	4195.0
MUX10029.WHB6529.unmapped-both-read-and-mate	nan	356.0	nan	nan	1.0	4035.0	6468.0
MUX10030.WHB6530.unmapped-both-read-and-mate	nan	430.0	nan	nan	1.0	3458.0	6750.0
MUX10030.WHB6531.unmapped-both-read-and-mate	nan	406.0	nan	nan	3.0	2609.0	5847.0
MUX10030.WHB6532.unmapped-both-read-and-mate	2.0	376.0	nan	nan	nan	3657.0	6205.0
MUX10030.WHB6533.unmapped-both-read-and-mate	nan	449.0	nan	1.0	nan	1512.0	5487.0
MUX10030.WHB6534.unmapped-both-read-and-mate	nan	436.0	1.0	nan	1.0	2209.0	5875.0
MUX10031.WHB6536.unmapped-both-read-and-mate	nan	392.0	nan	nan	1.0	1589.0	5555.0
MUX10031.WHB6538.unmapped-both-read-and-mate	nan	453.0	nan	1.0	2.0	1529.0	6099.0
MUX10031.WHB6539.unmapped-both-read-and-mate	nan	379.0	1.0	nan	nan	1412.0	5312.0
MUX10031.WHB6541.unmapped-both-read-and-mate	nan	478.0	nan	nan	nan	1804.0	6326.0
MUX10031.WHB6542.unmapped-both-read-and-mate	nan	352.0	nan	nan	1.0	1303.0	5060.0
MUX10032.WHB6543.unmapped-both-read-and-mate	nan	322.0	nan	nan	nan	3395.0	5300.0
MUX10032.WHB6544.unmapped-both-read-and-mate	nan	347.0	nan	nan	nan	1494.0	4570.0
MUX10032.WHB6545.unmapped-both-read-and-mate	1.0	379.0	nan	1.0	nan	1700.0	4880.0
MUX10032.WHB6546.unmapped-both-read-and-mate	nan	331.0	1.0	nan	nan	1409.0	4133.0
MUX10032.WHB6547.unmapped-both-read-and-mate	1.0	326.0	1.0	nan	5.0	6292.0	7799.0
MUX10033.WHB6549.unmapped-both-read-and-mate	nan	1108.0	nan	3.0	nan	1564.0	39514.0
MUX10033.WHB6550.unmapped-both-read-and-mate	1.0	1468.0	nan	nan	nan	2064.0	51188.0
MUX10033.WHB6551.unmapped-both-read-and-mate	nan	1199.0	1.0	nan	1.0	1572.0	39724.0
MUX10033.WHB6552.unmapped-both-read-and-mate	nan	1086.0	nan	nan	nan	1107.0	38090.0
MUX10033.WHB6553.unmapped-both-read-and-mate	nan	1383.0	nan	nan	2.0	2394.0	47962.0
MUX10034.WHB6554.unmapped-both-read-and-mate	nan	1376.0	nan	nan	1.0	1681.0	44094.0
MUX10034.WHB6555.unmapped-both-read-and-mate	nan	1258.0	nan	nan	nan	1770.0	33735.0
MUX10034.WHB6556.unmapped-both-read-and-mate	nan	1289.0	1.0	1.0	nan	1463.0	40946.0
MUX10034.WHB6557.unmapped-both-read-and-mate	nan	1399.0	1.0	4.0	nan	2313.0	41115.0
MUX10034.WHB6558.unmapped-both-read-and-mate	nan	1196.0	nan	nan	1.0	1411.0	33519.0
MUX10035.WHB6559.unmapped-both-read-and-mate	nan	1456.0	nan	nan	nan	2077.0	39820.0
MUX10035.WHB6560.unmapped-both-read-and-mate	nan	1429.0	nan	1.0	2.0	1629.0	43048.0
MUX10035.WHB6561.unmapped-both-read-and-mate	nan	1307.0	nan	1.0	1.0	1419.0	33116.0
MUX10035.WHB6562.unmapped-both-read-and-mate	1.0	1310.0	nan	nan	nan	1483.0	33427.0
MUX10035.WHB6563.unmapped-both-read-and-mate	nan	1390.0	nan	nan	nan	1295.0	37160.0
MUX10036.WHB6564.unmapped-both-read-and-mate	nan	832.0	nan	nan	1.0	1925.0	25367.0
MUX10036.WHB6565.unmapped-both-read-and-mate	nan	893.0	nan	1.0	2.0	1536.0	25789.0
MUX10036.WHB6566.unmapped-both-read-and-mate	1.0	844.0	nan	nan	nan	1277.0	27265.0
MUX10036.WHB6567.unmapped-both-read-and-mate	nan	882.0	nan	1.0	nan	1577.0	26677.0
MUX10036.WHB6568.unmapped-both-read-and-mate	2.0	965.0	nan	1.0	2.0	4853.0	31092.0
MUX10037.WHB6569.unmapped-both-read-and-mate	1.0	1131.0	nan	nan	2.0	2779.0	29850.0
MUX10037.WHB6571.unmapped-both-read-and-mate	1.0	1006.0	nan	nan	nan	1718.0	28019.0
MUX10037.WHB6572.unmapped-both-read-and-mate	1.0	1408.0	nan	nan	2.0	4559.0	44849.0
MUX10037.WHB6573.unmapped-both-read-and-mate	nan	1055.0	nan	2.0	nan	1619.0	31157.0
MUX10038.WHB6574.unmapped-both-read-and-mate	nan	828.0	1.0	2.0	nan	2106.0	23101.0
MUX10038.WHB6575.unmapped-both-read-and-mate	nan	1130.0	nan	1.0	nan	1554.0	32009.0
MUX10038.WHB6577.unmapped-both-read-and-mate	nan	959.0	nan	nan	nan	2692.0	27990.0
MUX10038.WHB6578.unmapped-both-read-and-mate	nan	1155.0	nan	nan	nan	1842.0	35859.0
MUX10038.WHB6583.unmapped-both-read-and-mate	nan	1237.0	nan	1.0	nan	2851.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	nan	1123.0	1.0	nan	nan	2442.0	31525.0
MUX10039.WHB6584.unmapped-both-read-and-mate	nan	997.0	nan	nan	nan	1683.0	29467.0
MUX10039.WHB6585.unmapped-both-read-and-mate	nan	1267.0	nan	nan	nan	1761.0	33684.0
MUX10039.WHB6587.unmapped-both-read-and-mate	nan	1084.0	nan	nan	nan	1411.0	33169.0
