Sample	Pseudomonas mendocina	Homo sapiens	Alcaligenes faecalis	Sphingobium sp. YG1	Achromobacter xylosoxidans	Other	Unclassified
MUX10289.WHB7538.unmapped-both-read-and-mate	4.0	523.0	nan	24050.0	8.0	34342.0	36383.0
MUX10289.WHB7539.unmapped-both-read-and-mate	10.0	447.0	nan	27604.0	5.0	39736.0	40296.0
MUX10289.WHB7540.unmapped-both-read-and-mate	13.0	478.0	nan	23984.0	6.0	33700.0	35500.0
MUX10290.WHB7541.unmapped-both-read-and-mate	4.0	536.0	nan	19263.0	4.0	27312.0	32471.0
MUX10290.WHB7542.unmapped-both-read-and-mate	4.0	554.0	nan	15097.0	7.0	22361.0	28053.0
MUX10290.WHB7543.unmapped-both-read-and-mate	5.0	579.0	nan	27184.0	7.0	38099.0	43872.0
MUX10290.WHB7544.unmapped-both-read-and-mate	6.0	482.0	nan	14657.0	4.0	21223.0	27374.0
MUX10290.WHB7545.unmapped-both-read-and-mate	4.0	600.0	nan	22171.0	3.0	31729.0	37705.0
MUX10291.WHB7546.unmapped-both-read-and-mate	7.0	567.0	1.0	20556.0	7.0	28745.0	33133.0
MUX10291.WHB7547.unmapped-both-read-and-mate	7.0	579.0	1.0	25122.0	12.0	36388.0	42078.0
MUX10291.WHB7746.unmapped-both-read-and-mate	9.0	605.0	nan	23915.0	4.0	33930.0	39147.0
MUX10291.WHB7753.unmapped-both-read-and-mate	8.0	549.0	nan	18686.0	8.0	25173.0	30237.0
MUX10291.WHB7755.unmapped-both-read-and-mate	5.0	455.0	1.0	16378.0	6.0	22730.0	25337.0
MUX10293.WHB6688.unmapped-both-read-and-mate	nan	769.0	nan	6.0	nan	596.0	11554.0
MUX10293.WHB6978.unmapped-both-read-and-mate	nan	513.0	nan	3.0	nan	225.0	8603.0
MUX10293.WHB6980.unmapped-both-read-and-mate	nan	544.0	nan	1.0	nan	297.0	9979.0
MUX10293.WHB6992.unmapped-both-read-and-mate	nan	396.0	nan	2.0	nan	181.0	8619.0
MUX10293.WHB7553.unmapped-both-read-and-mate	5.0	692.0	nan	7233.0	3.0	16576.0	24945.0
MUX10294.WHB6993.unmapped-both-read-and-mate	nan	814.0	nan	6.0	nan	563.0	12621.0
MUX10294.WHB6999.unmapped-both-read-and-mate	nan	434.0	nan	5.0	nan	436.0	7832.0
MUX10294.WHB7003.unmapped-both-read-and-mate	nan	583.0	nan	5.0	1.0	100.0	12108.0
MUX10294.WHB7011.unmapped-both-read-and-mate	1.0	485.0	nan	7.0	nan	851.0	7810.0
MUX10294.WHB7754.unmapped-both-read-and-mate	9.0	522.0	nan	19668.0	4.0	27140.0	31015.0
MUX10295.WHB7015.unmapped-both-read-and-mate	nan	357.0	nan	nan	nan	584.0	9869.0
MUX10295.WHB7027.unmapped-both-read-and-mate	nan	542.0	nan	nan	1.0	392.0	12162.0
MUX10295.WHB7035.unmapped-both-read-and-mate	nan	597.0	nan	2.0	1.0	348.0	11983.0
MUX10295.WHB7039.unmapped-both-read-and-mate	nan	559.0	nan	nan	nan	294.0	10940.0
MUX10295.WHB7047.unmapped-both-read-and-mate	nan	504.0	nan	nan	nan	503.0	10943.0
MUX10296.WHB7051.unmapped-both-read-and-mate	nan	567.0	nan	37.0	nan	628.0	11966.0
MUX10296.WHB7750.unmapped-both-read-and-mate	6.0	496.0	1.0	34626.0	9.0	48162.0	50042.0
MUX10296.WHB7751.unmapped-both-read-and-mate	4.0	836.0	1.0	32123.0	10.0	43840.0	50226.0
MUX10296.WHB7752.unmapped-both-read-and-mate	11.0	592.0	nan	25753.0	12.0	35646.0	40280.0
MUX10296.WHB7757.unmapped-both-read-and-mate	7.0	517.0	1.0	34144.0	11.0	48964.0	49746.0
MUX10297.WHB7794.unmapped-both-read-and-mate	8.0	1054.0	1.0	26890.0	6.0	38229.0	74417.0
MUX10297.WHB7795.unmapped-both-read-and-mate	3.0	543.0	nan	10944.0	3.0	15447.0	35863.0
MUX10297.WHB7796.unmapped-both-read-and-mate	nan	881.0	nan	16489.0	1.0	22775.0	45113.0
MUX10297.WHB7797.unmapped-both-read-and-mate	1.0	924.0	nan	24429.0	5.0	34042.0	67914.0
MUX10297.WHB7798.unmapped-both-read-and-mate	9.0	1210.0	nan	28209.0	12.0	39195.0	71619.0
MUX10298.WHB7800.unmapped-both-read-and-mate	3.0	986.0	nan	21221.0	3.0	29268.0	57578.0
MUX10298.WHB7801.unmapped-both-read-and-mate	8.0	1097.0	nan	31253.0	2.0	42743.0	67199.0
MUX10298.WHB7802.unmapped-both-read-and-mate	4.0	1004.0	nan	27144.0	4.0	37471.0	71234.0
MUX10298.WHB7803.unmapped-both-read-and-mate	5.0	926.0	nan	22626.0	12.0	31716.0	58840.0
MUX10299.WHB7804.unmapped-both-read-and-mate	3.0	626.0	2.0	21440.0	12.0	29372.0	42697.0
MUX10299.WHB7805.unmapped-both-read-and-mate	7.0	637.0	nan	19524.0	6.0	27928.0	46699.0
MUX10299.WHB7808.unmapped-both-read-and-mate	10.0	1015.0	nan	25305.0	4.0	35078.0	58727.0
MUX10299.WHB7810.unmapped-both-read-and-mate	9.0	1138.0	nan	23772.0	7.0	32744.0	62205.0
MUX10300.WHB7806.unmapped-both-read-and-mate	5.0	1188.0	nan	30507.0	14.0	42843.0	75874.0
MUX10300.WHB7807.unmapped-both-read-and-mate	9.0	984.0	nan	29669.0	10.0	40828.0	67474.0
MUX10300.WHB7809.unmapped-both-read-and-mate	6.0	1321.0	nan	22913.0	4.0	30651.0	72956.0
MUX10300.WHB7812.unmapped-both-read-and-mate	2.0	667.0	1.0	19139.0	7.0	26281.0	45538.0
MUX10300.WHB7813.unmapped-both-read-and-mate	22.0	728.0	nan	11667.0	4.0	16700.0	36269.0
MUX10301.WHB7814.unmapped-both-read-and-mate	3.0	641.0	1.0	15888.0	3.0	23143.0	37858.0
MUX10301.WHB7815.unmapped-both-read-and-mate	4.0	692.0	1.0	19872.0	9.0	27551.0	43464.0
MUX10301.WHB7816.unmapped-both-read-and-mate	3.0	737.0	nan	21275.0	6.0	29555.0	46412.0
MUX10301.WHB7817.unmapped-both-read-and-mate	5.0	1145.0	nan	32742.0	8.0	45220.0	73155.0
MUX10301.WHB7818.unmapped-both-read-and-mate	7.0	1086.0	1.0	32671.0	8.0	45959.0	75470.0
MUX10302.WHB7819.unmapped-both-read-and-mate	9.0	840.0	2.0	25370.0	10.0	34633.0	50930.0
MUX10302.WHB7820.unmapped-both-read-and-mate	15.0	897.0	1.0	37722.0	21.0	52741.0	66580.0
MUX10302.WHB7822.unmapped-both-read-and-mate	11.0	954.0	nan	43949.0	7.0	61198.0	74305.0
MUX10302.WHB7826.unmapped-both-read-and-mate	9.0	732.0	1.0	26803.0	11.0	36728.0	54696.0
MUX10302.WHB7827.unmapped-both-read-and-mate	12.0	878.0	nan	35519.0	11.0	48737.0	68712.0
MUX10303.WHB7821.unmapped-both-read-and-mate	11.0	1023.0	nan	29833.0	9.0	40908.0	68665.0
MUX10303.WHB7823.unmapped-both-read-and-mate	12.0	1566.0	nan	47308.0	10.0	64956.0	107809.0
MUX10303.WHB7825.unmapped-both-read-and-mate	4.0	681.0	nan	17202.0	3.0	24445.0	43100.0
MUX10303.WHB7828.unmapped-both-read-and-mate	8.0	964.0	1.0	27166.0	11.0	37675.0	69170.0
MUX10304.WHB7829.unmapped-both-read-and-mate	5.0	782.0	1.0	28674.0	8.0	40446.0	56028.0
MUX10304.WHB7830.unmapped-both-read-and-mate	9.0	874.0	nan	18460.0	10.0	25855.0	44576.0
MUX10304.WHB7831.unmapped-both-read-and-mate	14.0	770.0	4.0	42688.0	14.0	58231.0	72139.0
MUX10304.WHB7832.unmapped-both-read-and-mate	18.0	1056.0	3.0	62614.0	19.0	86482.0	97955.0
MUX10304.WHB7833.unmapped-both-read-and-mate	11.0	625.0	nan	33347.0	10.0	45639.0	59293.0
MUX10309.WHB7774.unmapped-both-read-and-mate	8.0	592.0	1.0	32866.0	5.0	45256.0	41284.0
MUX10309.WHB7775.unmapped-both-read-and-mate	7.0	298.0	nan	20194.0	2.0	27696.0	25130.0
MUX10309.WHB7776.unmapped-both-read-and-mate	14.0	673.0	nan	56254.0	22.0	78050.0	70470.0
MUX10309.WHB7777.unmapped-both-read-and-mate	6.0	403.0	nan	26032.0	3.0	36008.0	33731.0
MUX10309.WHB7778.unmapped-both-read-and-mate	10.0	535.0	nan	24610.0	5.0	34124.0	32251.0
MUX10310.WHB7779.unmapped-both-read-and-mate	7.0	457.0	1.0	24665.0	6.0	33934.0	31843.0
MUX10310.WHB7780.unmapped-both-read-and-mate	15.0	499.0	nan	38664.0	13.0	53850.0	47764.0
MUX10310.WHB7781.unmapped-both-read-and-mate	13.0	358.0	2.0	53746.0	15.0	75788.0	63400.0
MUX10310.WHB7782.unmapped-both-read-and-mate	10.0	314.0	nan	16925.0	10.0	23293.0	21442.0
MUX10310.WHB7783.unmapped-both-read-and-mate	5.0	498.0	nan	47645.0	21.0	65320.0	56924.0
MUX10311.WHB7784.unmapped-both-read-and-mate	6.0	412.0	nan	24009.0	6.0	33380.0	29995.0
MUX10311.WHB7785.unmapped-both-read-and-mate	13.0	817.0	1.0	83424.0	28.0	115507.0	100349.0
MUX10311.WHB7786.unmapped-both-read-and-mate	12.0	490.0	1.0	57417.0	17.0	80113.0	69456.0
MUX10311.WHB7787.unmapped-both-read-and-mate	6.0	402.0	nan	19685.0	15.0	27597.0	25681.0
MUX10311.WHB7788.unmapped-both-read-and-mate	11.0	478.0	nan	24097.0	7.0	33063.0	31458.0
MUX10312.WHB7789.unmapped-both-read-and-mate	5.0	347.0	nan	16975.0	7.0	23096.0	22126.0
MUX10312.WHB7790.unmapped-both-read-and-mate	13.0	423.0	3.0	39416.0	13.0	55012.0	49951.0
MUX10312.WHB7791.unmapped-both-read-and-mate	2.0	284.0	nan	15467.0	1.0	21634.0	19547.0
MUX10312.WHB7792.unmapped-both-read-and-mate	6.0	380.0	2.0	29784.0	7.0	41574.0	36657.0
MUX10312.WHB7793.unmapped-both-read-and-mate	12.0	610.0	nan	38041.0	13.0	52366.0	47250.0
MUX10313.WHB6693.unmapped-both-read-and-mate	nan	639.0	nan	nan	nan	1344.0	19586.0
MUX10313.WHB6729.unmapped-both-read-and-mate	nan	644.0	nan	nan	nan	640.0	27125.0
MUX10313.WHB6741.unmapped-both-read-and-mate	nan	924.0	nan	nan	9.0	1513.0	34850.0
MUX10313.WHB6753.unmapped-both-read-and-mate	nan	740.0	nan	nan	nan	1230.0	25685.0
MUX10314.WHB6717.unmapped-both-read-and-mate	nan	331.0	nan	9.0	nan	202.0	13245.0
MUX10314.WHB6765.unmapped-both-read-and-mate	nan	473.0	nan	15.0	nan	139.0	14172.0
MUX10314.WHB6776.unmapped-both-read-and-mate	nan	439.0	nan	9.0	nan	530.0	11853.0
MUX10314.WHB7834.unmapped-both-read-and-mate	5.0	1065.0	2.0	30941.0	8.0	42841.0	70950.0
MUX10314.WHB7835.unmapped-both-read-and-mate	13.0	1323.0	1.0	41681.0	13.0	57690.0	87872.0
MUX10315.WHB7836.unmapped-both-read-and-mate	8.0	715.0	3.0	32716.0	16.0	45701.0	57407.0
MUX10315.WHB7837.unmapped-both-read-and-mate	9.0	748.0	nan	30086.0	6.0	41742.0	56445.0
MUX10315.WHB7838.unmapped-both-read-and-mate	7.0	807.0	nan	32832.0	10.0	45545.0	60433.0
MUX10315.WHB7839.unmapped-both-read-and-mate	4.0	722.0	1.0	28208.0	11.0	39011.0	53594.0
MUX10315.WHB7840.unmapped-both-read-and-mate	5.0	764.0	1.0	26577.0	5.0	37465.0	57393.0
MUX10316.WHB7841.unmapped-both-read-and-mate	28.0	1030.0	2.0	89392.0	35.0	122725.0	138344.0
MUX10316.WHB7843.unmapped-both-read-and-mate	2.0	724.0	1.0	4895.0	1.0	11192.0	30662.0
MUX10316.WHB7844.unmapped-both-read-and-mate	2.0	588.0	nan	4290.0	3.0	10352.0	30101.0
MUX10316.WHB7845.unmapped-both-read-and-mate	1.0	763.0	nan	5826.0	1.0	13458.0	38259.0
MUX10316.WHB7846.unmapped-both-read-and-mate	4.0	571.0	nan	5793.0	9.0	14572.0	29467.0
MUX10317.WHB7842.unmapped-both-read-and-mate	3.0	976.0	nan	7184.0	3.0	16547.0	50205.0
MUX10317.WHB7849.unmapped-both-read-and-mate	nan	656.0	nan	4010.0	nan	9240.0	30545.0
MUX10317.WHB7857.unmapped-both-read-and-mate	3.0	774.0	nan	5118.0	12.0	12327.0	35976.0
MUX10317.WHB7858.unmapped-both-read-and-mate	7.0	616.0	1.0	4841.0	2.0	11421.0	28719.0
MUX10317.WHB7859.unmapped-both-read-and-mate	7.0	644.0	nan	8589.0	5.0	20978.0	38318.0
MUX10318.WHB7847.unmapped-both-read-and-mate	2.0	589.0	nan	5233.0	4.0	12465.0	30600.0
MUX10318.WHB7848.unmapped-both-read-and-mate	7.0	852.0	1.0	13593.0	6.0	31161.0	55248.0
MUX10318.WHB7850.unmapped-both-read-and-mate	1.0	706.0	nan	7111.0	1.0	17040.0	39953.0
MUX10318.WHB7852.unmapped-both-read-and-mate	5.0	489.0	nan	8551.0	6.0	20327.0	32606.0
MUX10318.WHB7855.unmapped-both-read-and-mate	7.0	627.0	nan	14060.0	6.0	32195.0	47828.0
MUX10319.WHB7854.unmapped-both-read-and-mate	3.0	547.0	nan	6186.0	2.0	14722.0	28817.0
MUX10319.WHB7856.unmapped-both-read-and-mate	11.0	568.0	nan	11336.0	5.0	27189.0	41261.0
MUX10319.WHB7860.unmapped-both-read-and-mate	4.0	717.0	nan	8435.0	9.0	20381.0	35895.0
MUX10319.WHB7861.unmapped-both-read-and-mate	1.0	535.0	nan	4105.0	4.0	9179.0	22915.0
MUX10319.WHB7862.unmapped-both-read-and-mate	2.0	635.0	nan	5268.0	1.0	12260.0	28117.0
MUX10320.WHB7863.unmapped-both-read-and-mate	6.0	347.0	nan	6574.0	6.0	15535.0	28702.0
MUX10320.WHB7864.unmapped-both-read-and-mate	5.0	602.0	1.0	8410.0	3.0	19646.0	33801.0
MUX10320.WHB7867.unmapped-both-read-and-mate	4.0	729.0	nan	8209.0	4.0	18743.0	32328.0
MUX10320.WHB7870.unmapped-both-read-and-mate	7.0	617.0	nan	5578.0	3.0	12661.0	24792.0
MUX10320.WHB7871.unmapped-both-read-and-mate	6.0	510.0	1.0	10333.0	8.0	23571.0	34915.0
MUX10321.WHB7869.unmapped-both-read-and-mate	8.0	311.0	1.0	11933.0	5.0	29042.0	27086.0
MUX10321.WHB7872.unmapped-both-read-and-mate	9.0	437.0	nan	9339.0	5.0	22735.0	22920.0
MUX10321.WHB7874.unmapped-both-read-and-mate	9.0	458.0	1.0	17149.0	2.0	41060.0	38890.0
MUX10321.WHB7876.unmapped-both-read-and-mate	5.0	404.0	nan	7193.0	5.0	16531.0	17267.0
MUX10321.WHB7877.unmapped-both-read-and-mate	7.0	517.0	nan	9767.0	6.0	22550.0	23355.0
MUX10322.WHB7881.unmapped-both-read-and-mate	5.0	415.0	nan	10190.0	3.0	25255.0	23868.0
MUX10322.WHB7884.unmapped-both-read-and-mate	3.0	342.0	1.0	7356.0	6.0	18137.0	17578.0
MUX10322.WHB7885.unmapped-both-read-and-mate	5.0	384.0	nan	12326.0	7.0	30273.0	28521.0
MUX10322.WHB7886.unmapped-both-read-and-mate	3.0	364.0	nan	5741.0	3.0	12909.0	13804.0
MUX10322.WHB7894.unmapped-both-read-and-mate	2.0	460.0	nan	3132.0	nan	7645.0	9613.0
MUX10323.WHB7878.unmapped-both-read-and-mate	2.0	589.0	nan	11052.0	4.0	26323.0	26003.0
MUX10323.WHB7879.unmapped-both-read-and-mate	4.0	394.0	nan	6638.0	3.0	16194.0	16357.0
MUX10323.WHB7880.unmapped-both-read-and-mate	nan	309.0	nan	6.0	nan	81.0	2264.0
MUX10323.WHB7883.unmapped-both-read-and-mate	2.0	415.0	nan	5175.0	3.0	12513.0	13939.0
MUX10323.WHB7887.unmapped-both-read-and-mate	6.0	322.0	1.0	14466.0	8.0	30968.0	28400.0
MUX10324.WHB7888.unmapped-both-read-and-mate	4.0	339.0	nan	9275.0	4.0	21294.0	20553.0
MUX10324.WHB7889.unmapped-both-read-and-mate	nan	264.0	nan	4.0	nan	68.0	2150.0
MUX10324.WHB7890.unmapped-both-read-and-mate	8.0	459.0	nan	13625.0	7.0	32731.0	31363.0
MUX10324.WHB7891.unmapped-both-read-and-mate	6.0	592.0	nan	8168.0	5.0	18698.0	19653.0
MUX10324.WHB7892.unmapped-both-read-and-mate	2.0	313.0	nan	8467.0	8.0	19409.0	19303.0
MUX10325.WHB7914.unmapped-both-read-and-mate	3.0	424.0	nan	7890.0	2.0	17682.0	18337.0
MUX10325.WHB7915.unmapped-both-read-and-mate	7.0	337.0	nan	5664.0	5.0	13670.0	14326.0
MUX10325.WHB7916.unmapped-both-read-and-mate	6.0	352.0	nan	7439.0	2.0	17692.0	17193.0
MUX10325.WHB7917.unmapped-both-read-and-mate	7.0	365.0	1.0	7631.0	nan	16970.0	17403.0
MUX10325.WHB7918.unmapped-both-read-and-mate	5.0	706.0	nan	10715.0	4.0	24314.0	25701.0
MUX10326.WHB7919.unmapped-both-read-and-mate	3.0	277.0	nan	3238.0	1.0	7138.0	8303.0
MUX10326.WHB7920.unmapped-both-read-and-mate	5.0	342.0	nan	5627.0	3.0	13034.0	14109.0
MUX10326.WHB7921.unmapped-both-read-and-mate	9.0	458.0	nan	7325.0	2.0	16379.0	17531.0
MUX10326.WHB7922.unmapped-both-read-and-mate	6.0	244.0	nan	6994.0	4.0	16014.0	15871.0
MUX10326.WHB7923.unmapped-both-read-and-mate	1.0	241.0	nan	4838.0	1.0	11026.0	11769.0
MUX10327.WHB7924.unmapped-both-read-and-mate	5.0	366.0	nan	10353.0	6.0	24325.0	23772.0
MUX10327.WHB7926.unmapped-both-read-and-mate	1.0	438.0	nan	6204.0	4.0	14142.0	15251.0
MUX10327.WHB7927.unmapped-both-read-and-mate	9.0	341.0	nan	7108.0	5.0	16880.0	17472.0
MUX10327.WHB7928.unmapped-both-read-and-mate	3.0	454.0	nan	6368.0	3.0	15587.0	16632.0
MUX10327.WHB7929.unmapped-both-read-and-mate	5.0	319.0	1.0	5718.0	4.0	13688.0	13891.0
MUX10328.WHB7938.unmapped-both-read-and-mate	1.0	395.0	2.0	2991.0	1.0	6490.0	9713.0
MUX10328.WHB7962.unmapped-both-read-and-mate	2.0	581.0	nan	3397.0	2.0	8067.0	12073.0
MUX10328.WHB7970.unmapped-both-read-and-mate	2.0	522.0	nan	2908.0	4.0	6858.0	10578.0
MUX10328.WHB8002.unmapped-both-read-and-mate	3.0	591.0	nan	4678.0	4.0	10472.0	13775.0
MUX10328.WHB8026.unmapped-both-read-and-mate	nan	394.0	nan	3085.0	3.0	7435.0	9787.0
MUX10329.WHB7893.unmapped-both-read-and-mate	4.0	409.0	nan	6367.0	2.0	14663.0	18113.0
MUX10329.WHB7895.unmapped-both-read-and-mate	4.0	464.0	nan	11328.0	6.0	25963.0	28255.0
MUX10329.WHB7896.unmapped-both-read-and-mate	4.0	368.0	nan	8573.0	11.0	20128.0	22429.0
MUX10329.WHB7897.unmapped-both-read-and-mate	3.0	663.0	2.0	8552.0	3.0	19515.0	24722.0
MUX10329.WHB7899.unmapped-both-read-and-mate	7.0	408.0	nan	6457.0	7.0	15402.0	19480.0
MUX10330.WHB7898.unmapped-both-read-and-mate	1.0	513.0	nan	4001.0	1.0	8476.0	14760.0
MUX10330.WHB7900.unmapped-both-read-and-mate	2.0	452.0	nan	5383.0	5.0	12680.0	17269.0
MUX10330.WHB7901.unmapped-both-read-and-mate	6.0	402.0	nan	9637.0	5.0	23641.0	25577.0
MUX10330.WHB7902.unmapped-both-read-and-mate	10.0	557.0	nan	7929.0	2.0	18719.0	23384.0
MUX10330.WHB7903.unmapped-both-read-and-mate	5.0	470.0	1.0	8060.0	2.0	19380.0	22494.0
MUX10331.WHB7904.unmapped-both-read-and-mate	3.0	326.0	nan	5035.0	nan	12161.0	14142.0
MUX10331.WHB7905.unmapped-both-read-and-mate	2.0	695.0	nan	3706.0	3.0	9290.0	16634.0
MUX10331.WHB7906.unmapped-both-read-and-mate	6.0	585.0	nan	7657.0	6.0	18830.0	23121.0
MUX10331.WHB7907.unmapped-both-read-and-mate	4.0	429.0	nan	3206.0	nan	7481.0	11563.0
MUX10331.WHB7908.unmapped-both-read-and-mate	10.0	452.0	nan	7775.0	1.0	19798.0	21953.0
MUX10332.WHB7909.unmapped-both-read-and-mate	3.0	482.0	1.0	5177.0	1.0	11992.0	17760.0
MUX10332.WHB7910.unmapped-both-read-and-mate	3.0	721.0	1.0	8226.0	1.0	19905.0	28112.0
MUX10332.WHB7911.unmapped-both-read-and-mate	10.0	626.0	nan	16336.0	10.0	37944.0	43585.0
MUX10332.WHB7912.unmapped-both-read-and-mate	4.0	443.0	nan	5357.0	5.0	12317.0	17194.0
MUX10332.WHB7913.unmapped-both-read-and-mate	9.0	415.0	nan	7118.0	2.0	17633.0	21575.0
MUX10333.WHB7925.unmapped-both-read-and-mate	6.0	830.0	nan	13961.0	5.0	33045.0	46708.0
MUX10333.WHB7930.unmapped-both-read-and-mate	1.0	517.0	nan	5416.0	2.0	12081.0	23516.0
MUX10333.WHB7931.unmapped-both-read-and-mate	2.0	529.0	1.0	5576.0	7.0	12397.0	21972.0
MUX10333.WHB7932.unmapped-both-read-and-mate	7.0	781.0	1.0	8224.0	7.0	19928.0	36671.0
MUX10333.WHB7933.unmapped-both-read-and-mate	10.0	593.0	nan	7855.0	5.0	18859.0	29096.0
MUX10334.WHB7934.unmapped-both-read-and-mate	2.0	433.0	nan	2804.0	1.0	6562.0	13017.0
MUX10334.WHB7935.unmapped-both-read-and-mate	1.0	496.0	1.0	3548.0	2.0	8232.0	15841.0
MUX10334.WHB7936.unmapped-both-read-and-mate	5.0	571.0	nan	8270.0	6.0	20215.0	29921.0
MUX10334.WHB7937.unmapped-both-read-and-mate	6.0	657.0	nan	7868.0	7.0	18996.0	28393.0
MUX10334.WHB8039.unmapped-both-read-and-mate	1.0	516.0	nan	2298.0	nan	4939.0	12457.0
MUX10335.WHB8034.unmapped-both-read-and-mate	1.0	552.0	nan	3245.0	4.0	7395.0	14941.0
MUX10335.WHB8035.unmapped-both-read-and-mate	3.0	584.0	nan	3363.0	nan	7127.0	14560.0
MUX10335.WHB8036.unmapped-both-read-and-mate	7.0	631.0	nan	3488.0	3.0	7184.0	16309.0
MUX10335.WHB8038.unmapped-both-read-and-mate	3.0	344.0	nan	3560.0	1.0	7499.0	11743.0
MUX10335.WHB8040.unmapped-both-read-and-mate	1.0	389.0	nan	3393.0	2.0	7081.0	13152.0
MUX10336.WHB8041.unmapped-both-read-and-mate	4.0	727.0	nan	7978.0	7.0	16108.0	27929.0
MUX10336.WHB8042.unmapped-both-read-and-mate	nan	691.0	nan	3439.0	1.0	7582.0	18685.0
MUX10336.WHB8043.unmapped-both-read-and-mate	4.0	621.0	nan	2904.0	4.0	6070.0	13870.0
MUX10336.WHB8048.unmapped-both-read-and-mate	nan	870.0	nan	4934.0	1.0	9940.0	21082.0
MUX10336.WHB8049.unmapped-both-read-and-mate	1.0	729.0	1.0	3626.0	2.0	7607.0	17797.0
MUX10353.WHB8107.unmapped-both-read-and-mate	3.0	849.0	nan	5023.0	5.0	11193.0	40618.0
MUX10353.WHB8108.unmapped-both-read-and-mate	5.0	672.0	nan	5697.0	3.0	12342.0	41216.0
MUX10353.WHB8109.unmapped-both-read-and-mate	1.0	981.0	nan	4858.0	3.0	10051.0	40860.0
MUX10353.WHB8111.unmapped-both-read-and-mate	4.0	1045.0	nan	5239.0	3.0	10952.0	48570.0
MUX10353.WHB8112.unmapped-both-read-and-mate	1.0	1102.0	1.0	4711.0	1.0	11186.0	46408.0
MUX10354.WHB8110.unmapped-both-read-and-mate	4.0	782.0	nan	4695.0	nan	10319.0	33453.0
MUX10354.WHB8113.unmapped-both-read-and-mate	3.0	733.0	nan	4686.0	3.0	10404.0	34581.0
MUX10354.WHB8114.unmapped-both-read-and-mate	3.0	809.0	nan	5554.0	3.0	12047.0	35587.0
MUX10354.WHB8115.unmapped-both-read-and-mate	2.0	822.0	nan	6349.0	3.0	13264.0	40174.0
MUX10354.WHB8116.unmapped-both-read-and-mate	nan	863.0	nan	4508.0	1.0	9452.0	37478.0
MUX10355.WHB8117.unmapped-both-read-and-mate	4.0	673.0	nan	6455.0	4.0	13451.0	36241.0
MUX10355.WHB8119.unmapped-both-read-and-mate	1.0	810.0	nan	5863.0	3.0	12550.0	43516.0
MUX10355.WHB8120.unmapped-both-read-and-mate	4.0	813.0	1.0	5470.0	2.0	11796.0	41132.0
MUX10355.WHB8122.unmapped-both-read-and-mate	4.0	778.0	nan	6520.0	6.0	13986.0	40344.0
MUX10355.WHB8123.unmapped-both-read-and-mate	2.0	766.0	nan	4262.0	2.0	10170.0	34812.0
MUX10356.WHB8118.unmapped-both-read-and-mate	2.0	914.0	nan	4653.0	3.0	11640.0	37596.0
MUX10356.WHB8121.unmapped-both-read-and-mate	nan	957.0	nan	6709.0	nan	14261.0	45932.0
MUX10356.WHB8126.unmapped-both-read-and-mate	nan	683.0	1.0	3046.0	1.0	6711.0	27534.0
MUX10356.WHB8130.unmapped-both-read-and-mate	2.0	908.0	1.0	2243.0	nan	5110.0	31398.0
MUX10356.WHB8131.unmapped-both-read-and-mate	nan	877.0	nan	1807.0	nan	4809.0	23533.0
MUX10357.WHB8046.unmapped-both-read-and-mate	nan	731.0	nan	3961.0	3.0	8601.0	31010.0
MUX10357.WHB8047.unmapped-both-read-and-mate	3.0	819.0	nan	5343.0	2.0	11333.0	38474.0
MUX10357.WHB8050.unmapped-both-read-and-mate	3.0	1023.0	nan	4381.0	4.0	8688.0	40641.0
MUX10358.WHB8051.unmapped-both-read-and-mate	3.0	695.0	nan	5019.0	5.0	10769.0	32086.0
MUX10358.WHB8052.unmapped-both-read-and-mate	1.0	809.0	nan	4125.0	1.0	8152.0	25488.0
MUX10358.WHB8053.unmapped-both-read-and-mate	3.0	556.0	nan	4002.0	4.0	8455.0	25268.0
MUX10358.WHB8054.unmapped-both-read-and-mate	2.0	819.0	nan	4307.0	2.0	8936.0	32641.0
MUX10358.WHB8055.unmapped-both-read-and-mate	nan	741.0	nan	4354.0	1.0	9768.0	30614.0
MUX10359.WHB8056.unmapped-both-read-and-mate	3.0	1021.0	nan	6324.0	3.0	14152.0	40555.0
MUX10359.WHB8058.unmapped-both-read-and-mate	4.0	690.0	nan	3903.0	2.0	8502.0	25599.0
MUX10359.WHB8059.unmapped-both-read-and-mate	1.0	459.0	nan	3894.0	2.0	8209.0	23482.0
MUX10359.WHB8060.unmapped-both-read-and-mate	2.0	759.0	nan	3929.0	2.0	8396.0	27772.0
MUX10359.WHB8061.unmapped-both-read-and-mate	2.0	756.0	nan	2825.0	1.0	5676.0	24198.0
MUX10360.WHB8057.unmapped-both-read-and-mate	2.0	1233.0	nan	4631.0	1.0	9943.0	47920.0
MUX10360.WHB8062.unmapped-both-read-and-mate	nan	738.0	nan	3742.0	1.0	8395.0	29492.0
MUX10360.WHB8063.unmapped-both-read-and-mate	1.0	630.0	nan	3750.0	1.0	8214.0	28280.0
MUX10360.WHB8069.unmapped-both-read-and-mate	6.0	701.0	1.0	5864.0	4.0	13439.0	33005.0
MUX10360.WHB8070.unmapped-both-read-and-mate	33.0	889.0	nan	2583.0	nan	5659.0	28198.0
MUX10361.WHB8084.unmapped-both-read-and-mate	1.0	511.0	nan	2360.0	2.0	5242.0	8156.0
MUX10361.WHB8085.unmapped-both-read-and-mate	2.0	588.0	nan	4144.0	2.0	8886.0	11598.0
