Sample	Proteobacteria	Chordata	Actinobacteria	Firmicutes	Bacteroidetes	Other	Unclassified
MUX10020.WHB6475.unmapped-both-read-and-mate	1780.0	609.0	19.0	13.0	1.0	15.0	9631.0
MUX10020.WHB6476.unmapped-both-read-and-mate	1767.0	559.0	35.0	12.0	2.0	11.0	10768.0
MUX10020.WHB6477.unmapped-both-read-and-mate	2728.0	383.0	32.0	10.0	2.0	22.0	7561.0
MUX10021.WHB6478.unmapped-both-read-and-mate	1973.0	478.0	19.0	12.0	3.0	6.0	9506.0
MUX10021.WHB6479.unmapped-both-read-and-mate	1886.0	603.0	25.0	10.0	2.0	17.0	13590.0
MUX10021.WHB6480.unmapped-both-read-and-mate	1373.0	512.0	20.0	6.0	nan	14.0	10136.0
MUX10021.WHB6482.unmapped-both-read-and-mate	1979.0	535.0	22.0	9.0	2.0	16.0	11591.0
MUX10021.WHB6483.unmapped-both-read-and-mate	2169.0	565.0	24.0	9.0	3.0	10.0	12202.0
MUX10022.WHB6485.unmapped-both-read-and-mate	2134.0	328.0	17.0	9.0	1.0	11.0	7640.0
MUX10022.WHB6486.unmapped-both-read-and-mate	1803.0	354.0	22.0	6.0	3.0	10.0	7768.0
MUX10022.WHB6489.unmapped-both-read-and-mate	1628.0	531.0	19.0	11.0	5.0	10.0	12468.0
MUX10022.WHB6490.unmapped-both-read-and-mate	1783.0	557.0	88.0	53.0	3.0	19.0	10961.0
MUX10023.WHB6491.unmapped-both-read-and-mate	1399.0	413.0	14.0	7.0	1.0	7.0	7369.0
MUX10023.WHB6493.unmapped-both-read-and-mate	1606.0	600.0	28.0	14.0	1.0	10.0	10318.0
MUX10023.WHB6494.unmapped-both-read-and-mate	5253.0	424.0	57.0	20.0	7.0	30.0	11367.0
MUX10023.WHB6495.unmapped-both-read-and-mate	2195.0	505.0	32.0	4.0	1.0	21.0	9715.0
MUX10023.WHB6497.unmapped-both-read-and-mate	1403.0	453.0	24.0	5.0	1.0	13.0	8358.0
MUX10024.WHB6498.unmapped-both-read-and-mate	1661.0	450.0	31.0	11.0	3.0	8.0	8503.0
MUX10024.WHB6499.unmapped-both-read-and-mate	1205.0	503.0	22.0	66.0	40.0	96.0	9860.0
MUX10024.WHB6500.unmapped-both-read-and-mate	4666.0	434.0	52.0	6.0	9.0	17.0	11290.0
MUX10024.WHB6501.unmapped-both-read-and-mate	1529.0	527.0	16.0	11.0	2.0	12.0	11655.0
MUX10024.WHB6502.unmapped-both-read-and-mate	1752.0	517.0	26.0	10.0	1.0	7.0	10896.0
MUX10025.WHB6503.unmapped-both-read-and-mate	3564.0	511.0	44.0	11.0	5.0	27.0	8346.0
MUX10025.WHB6504.unmapped-both-read-and-mate	4368.0	535.0	63.0	11.0	3.0	30.0	8596.0
MUX10025.WHB6506.unmapped-both-read-and-mate	1810.0	447.0	32.0	10.0	nan	29.0	5971.0
MUX10025.WHB6509.unmapped-both-read-and-mate	1902.0	398.0	25.0	15.0	1.0	5.0	5923.0
MUX10025.WHB6514.unmapped-both-read-and-mate	1436.0	448.0	16.0	12.0	4.0	11.0	6655.0
MUX10026.WHB6505.unmapped-both-read-and-mate	1824.0	623.0	26.0	6.0	nan	21.0	8131.0
MUX10026.WHB6510.unmapped-both-read-and-mate	1397.0	435.0	13.0	8.0	3.0	9.0	5619.0
MUX10026.WHB6511.unmapped-both-read-and-mate	1441.0	466.0	40.0	16.0	1.0	18.0	5730.0
MUX10026.WHB6513.unmapped-both-read-and-mate	1675.0	575.0	32.0	15.0	nan	10.0	7221.0
MUX10027.WHB6515.unmapped-both-read-and-mate	1613.0	625.0	64.0	18.0	4.0	13.0	7816.0
