Sample	Pseudomonas	Homo	Sphingomonas	Sphingobium	Alcaligenes	Other	Unclassified
MUX10520.WHB8751.unmapped-both-read-and-mate	100.0	538.0	1171.0	2020.0	24.0	6432.0	25397.0
MUX10520.WHB8752.unmapped-both-read-and-mate	37.0	739.0	1460.0	2750.0	nan	5533.0	29165.0
MUX10520.WHB8753.unmapped-both-read-and-mate	66.0	583.0	2093.0	3517.0	nan	9818.0	28085.0
MUX10520.WHB8754.unmapped-both-read-and-mate	87.0	638.0	1831.0	3310.0	2.0	9539.0	28434.0
MUX10521.WHB8755.unmapped-both-read-and-mate	66.0	715.0	2556.0	4289.0	1.0	8510.0	31160.0
MUX10521.WHB8756.unmapped-both-read-and-mate	77.0	746.0	1246.0	2290.0	nan	9525.0	29725.0
MUX10521.WHB8757.unmapped-both-read-and-mate	89.0	710.0	1603.0	2695.0	nan	10000.0	26447.0
MUX10521.WHB8758.unmapped-both-read-and-mate	98.0	665.0	1648.0	3077.0	nan	11615.0	25807.0
MUX10522.WHB8760.unmapped-both-read-and-mate	71.0	680.0	2558.0	3915.0	1.0	9837.0	26701.0
MUX10522.WHB8761.unmapped-both-read-and-mate	73.0	585.0	1989.0	3678.0	nan	8012.0	24302.0
MUX10522.WHB8762.unmapped-both-read-and-mate	76.0	585.0	3075.0	3982.0	nan	8439.0	26308.0
MUX10522.WHB8763.unmapped-both-read-and-mate	121.0	560.0	2475.0	4451.0	1.0	13906.0	28692.0
MUX10522.WHB8764.unmapped-both-read-and-mate	88.0	630.0	1935.0	3822.0	1.0	11397.0	26615.0
MUX10523.WHB8765.unmapped-both-read-and-mate	104.0	677.0	2709.0	4870.0	nan	12485.0	28284.0
MUX10523.WHB8766.unmapped-both-read-and-mate	45.0	711.0	2117.0	4304.0	1.0	4749.0	29192.0
MUX10523.WHB8767.unmapped-both-read-and-mate	34.0	508.0	1757.0	3212.0	nan	3713.0	21586.0
MUX10523.WHB8769.unmapped-both-read-and-mate	49.0	570.0	1503.0	3062.0	nan	3887.0	25501.0
MUX10559.WHB6706.unmapped-both-read-and-mate	6.0	444.0	7.0	8.0	nan	1198.0	5431.0
MUX10559.WHB6709.unmapped-both-read-and-mate	29.0	340.0	26.0	21.0	nan	6198.0	8269.0
MUX10559.WHB6711.unmapped-both-read-and-mate	12.0	318.0	9.0	5.0	1.0	1806.0	4448.0
MUX10559.WHB6713.unmapped-both-read-and-mate	30.0	368.0	14.0	9.0	nan	2297.0	5445.0
MUX10559.WHB6718.unmapped-both-read-and-mate	6.0	361.0	5.0	2.0	nan	1759.0	5134.0
MUX10560.WHB6720.unmapped-both-read-and-mate	11.0	241.0	6.0	4.0	1.0	1239.0	3423.0
MUX10560.WHB6722.unmapped-both-read-and-mate	7.0	234.0	8.0	8.0	nan	1949.0	4708.0
MUX10560.WHB6725.unmapped-both-read-and-mate	15.0	359.0	6.0	8.0	nan	2807.0	5204.0
MUX10560.WHB6730.unmapped-both-read-and-mate	6.0	483.0	11.0	3.0	nan	1527.0	5366.0
MUX10560.WHB6734.unmapped-both-read-and-mate	12.0	342.0	16.0	6.0	nan	3059.0	5046.0
MUX10561.WHB6737.unmapped-both-read-and-mate	7.0	378.0	13.0	1.0	nan	2078.0	5093.0
MUX10561.WHB6740.unmapped-both-read-and-mate	13.0	409.0	4.0	4.0	nan	1980.0	5192.0
MUX10561.WHB6744.unmapped-both-read-and-mate	9.0	350.0	20.0	10.0	nan	1458.0	4088.0
MUX10561.WHB6745.unmapped-both-read-and-mate	7.0	314.0	3.0	6.0	nan	1864.0	4115.0
MUX10561.WHB6749.unmapped-both-read-and-mate	11.0	333.0	6.0	7.0	2.0	1451.0	4149.0
MUX10562.WHB6751.unmapped-both-read-and-mate	2.0	319.0	7.0	6.0	nan	844.0	3611.0
MUX10562.WHB6752.unmapped-both-read-and-mate	7.0	339.0	6.0	4.0	nan	1586.0	4044.0
MUX10562.WHB6756.unmapped-both-read-and-mate	10.0	298.0	9.0	1.0	nan	1069.0	3548.0
MUX10562.WHB6762.unmapped-both-read-and-mate	8.0	421.0	9.0	9.0	nan	1518.0	4936.0
MUX10562.WHB6764.unmapped-both-read-and-mate	14.0	329.0	5.0	3.0	nan	1822.0	4250.0
MUX10563.WHB7939.unmapped-both-read-and-mate	76.0	371.0	3586.0	5308.0	1.0	4939.0	11054.0
MUX10563.WHB7940.unmapped-both-read-and-mate	28.0	365.0	2166.0	3015.0	nan	3006.0	7794.0
MUX10563.WHB7941.unmapped-both-read-and-mate	53.0	343.0	3078.0	4203.0	nan	4162.0	9921.0
MUX10563.WHB7942.unmapped-both-read-and-mate	110.0	331.0	4480.0	6448.0	1.0	6401.0	13092.0
MUX10563.WHB7943.unmapped-both-read-and-mate	102.0	353.0	4965.0	7107.0	nan	7209.0	14299.0
MUX10564.WHB7944.unmapped-both-read-and-mate	52.0	359.0	3160.0	4487.0	nan	4378.0	10012.0
MUX10564.WHB7945.unmapped-both-read-and-mate	51.0	408.0	3325.0	4498.0	nan	4475.0	11930.0
MUX10564.WHB7947.unmapped-both-read-and-mate	36.0	337.0	3012.0	4247.0	nan	4239.0	9196.0
MUX10565.WHB7950.unmapped-both-read-and-mate	118.0	380.0	8356.0	12026.0	nan	11270.0	21498.0
MUX10565.WHB7952.unmapped-both-read-and-mate	41.0	395.0	3098.0	4411.0	nan	4276.0	10033.0
MUX10565.WHB7953.unmapped-both-read-and-mate	54.0	355.0	3716.0	5902.0	nan	6632.0	12190.0
MUX10566.WHB7954.unmapped-both-read-and-mate	89.0	366.0	3348.0	4692.0	nan	4906.0	10817.0
MUX10566.WHB7955.unmapped-both-read-and-mate	89.0	430.0	6394.0	8857.0	2.0	8462.0	17524.0
MUX10566.WHB7956.unmapped-both-read-and-mate	258.0	333.0	9128.0	12849.0	2.0	37030.0	41026.0
MUX10566.WHB7957.unmapped-both-read-and-mate	152.0	367.0	9096.0	13119.0	nan	12762.0	23328.0
MUX10566.WHB7958.unmapped-both-read-and-mate	74.0	384.0	5592.0	7581.0	nan	7371.0	15070.0
MUX10567.WHB7959.unmapped-both-read-and-mate	44.0	416.0	2691.0	4078.0	nan	3751.0	9783.0
MUX10567.WHB7960.unmapped-both-read-and-mate	39.0	421.0	3467.0	5025.0	nan	4554.0	11054.0
MUX10567.WHB7961.unmapped-both-read-and-mate	38.0	387.0	2514.0	3534.0	nan	3583.0	8851.0
MUX10567.WHB7963.unmapped-both-read-and-mate	50.0	458.0	2227.0	3199.0	nan	3389.0	9318.0
MUX10567.WHB7964.unmapped-both-read-and-mate	31.0	442.0	2351.0	3371.0	nan	3245.0	9301.0
MUX10568.WHB7965.unmapped-both-read-and-mate	97.0	355.0	4689.0	6741.0	nan	6466.0	14648.0
MUX10568.WHB7966.unmapped-both-read-and-mate	145.0	624.0	7617.0	11487.0	3.0	10807.0	21697.0
MUX10568.WHB7968.unmapped-both-read-and-mate	134.0	502.0	10430.0	15421.0	nan	15095.0	28912.0
MUX10568.WHB7969.unmapped-both-read-and-mate	221.0	438.0	8836.0	12209.0	nan	12281.0	23738.0
MUX10569.WHB7971.unmapped-both-read-and-mate	109.0	543.0	7773.0	11647.0	nan	10842.0	22497.0
MUX10569.WHB7972.unmapped-both-read-and-mate	79.0	500.0	5300.0	7450.0	nan	7048.0	15716.0
MUX10569.WHB7973.unmapped-both-read-and-mate	154.0	400.0	11558.0	17798.0	1.0	16107.0	29814.0
MUX10569.WHB7974.unmapped-both-read-and-mate	54.0	552.0	4114.0	6057.0	nan	5836.0	13442.0
MUX10569.WHB7975.unmapped-both-read-and-mate	109.0	504.0	6672.0	9526.0	nan	8986.0	18817.0
MUX10570.WHB7976.unmapped-both-read-and-mate	98.0	613.0	5625.0	7946.0	1.0	7606.0	17097.0
MUX10570.WHB7977.unmapped-both-read-and-mate	139.0	494.0	4310.0	6021.0	nan	5925.0	13883.0
MUX10570.WHB7978.unmapped-both-read-and-mate	233.0	445.0	9952.0	15765.0	nan	14917.0	28370.0
MUX10570.WHB7979.unmapped-both-read-and-mate	86.0	522.0	4074.0	5640.0	nan	6102.0	13935.0
MUX10570.WHB7980.unmapped-both-read-and-mate	85.0	507.0	7181.0	9476.0	nan	9679.0	19837.0
MUX10571.WHB7981.unmapped-both-read-and-mate	128.0	706.0	8665.0	14169.0	nan	13026.0	40345.0
MUX10571.WHB7982.unmapped-both-read-and-mate	71.0	749.0	3858.0	5791.0	nan	5405.0	27583.0
MUX10571.WHB7983.unmapped-both-read-and-mate	96.0	762.0	8103.0	11659.0	nan	10996.0	40101.0
MUX10571.WHB7984.unmapped-both-read-and-mate	38.0	633.0	2744.0	3736.0	nan	3660.0	21299.0
MUX10572.WHB7986.unmapped-both-read-and-mate	208.0	897.0	15164.0	25261.0	nan	23252.0	63424.0
MUX10572.WHB7987.unmapped-both-read-and-mate	24.0	740.0	2530.0	3879.0	nan	3645.0	24936.0
MUX10572.WHB7988.unmapped-both-read-and-mate	45.0	638.0	3375.0	4992.0	nan	4611.0	21159.0
MUX10572.WHB7989.unmapped-both-read-and-mate	36.0	648.0	2319.0	3365.0	nan	3434.0	26895.0
MUX10572.WHB7991.unmapped-both-read-and-mate	50.0	645.0	2813.0	4008.0	nan	3722.0	24115.0
MUX10573.WHB7990.unmapped-both-read-and-mate	223.0	800.0	14356.0	20675.0	nan	19896.0	57925.0
MUX10573.WHB7992.unmapped-both-read-and-mate	44.0	859.0	3728.0	5437.0	nan	5028.0	39137.0
MUX10573.WHB7993.unmapped-both-read-and-mate	53.0	656.0	4253.0	6190.0	nan	6084.0	29264.0
MUX10573.WHB7994.unmapped-both-read-and-mate	56.0	995.0	3469.0	5054.0	nan	4781.0	39987.0
MUX10574.WHB7996.unmapped-both-read-and-mate	34.0	543.0	2902.0	4353.0	nan	4342.0	24954.0
MUX10574.WHB7997.unmapped-both-read-and-mate	36.0	620.0	2581.0	3778.0	1.0	3609.0	27566.0
MUX10574.WHB7998.unmapped-both-read-and-mate	42.0	875.0	3437.0	5000.0	nan	4657.0	34953.0
MUX10574.WHB8000.unmapped-both-read-and-mate	48.0	1015.0	4152.0	5970.0	nan	5907.0	41241.0
MUX10575.WHB8001.unmapped-both-read-and-mate	95.0	726.0	6335.0	9642.0	1.0	8806.0	32647.0
MUX10575.WHB8003.unmapped-both-read-and-mate	55.0	767.0	4793.0	7202.0	nan	7211.0	31306.0
MUX10575.WHB8004.unmapped-both-read-and-mate	74.0	712.0	4439.0	6036.0	1.0	5867.0	27843.0
MUX10575.WHB8005.unmapped-both-read-and-mate	59.0	672.0	3371.0	4709.0	nan	4645.0	24266.0
MUX10575.WHB8006.unmapped-both-read-and-mate	75.0	756.0	4115.0	5874.0	nan	5760.0	26734.0
MUX10576.WHB8007.unmapped-both-read-and-mate	52.0	776.0	4091.0	5702.0	nan	5447.0	27454.0
MUX10576.WHB8008.unmapped-both-read-and-mate	37.0	638.0	3236.0	4558.0	nan	4530.0	23469.0
MUX10576.WHB8009.unmapped-both-read-and-mate	35.0	504.0	2677.0	3752.0	nan	3781.0	20856.0
MUX10576.WHB8010.unmapped-both-read-and-mate	100.0	740.0	5983.0	8847.0	nan	8289.0	33759.0
MUX10577.WHB8012.unmapped-both-read-and-mate	24.0	680.0	1722.0	2656.0	nan	2423.0	20387.0
MUX10577.WHB8013.unmapped-both-read-and-mate	50.0	793.0	3791.0	5403.0	nan	5080.0	27629.0
MUX10577.WHB8014.unmapped-both-read-and-mate	72.0	567.0	5645.0	8227.0	nan	7571.0	27694.0
MUX10577.WHB8015.unmapped-both-read-and-mate	50.0	679.0	3444.0	5276.0	nan	4876.0	27939.0
MUX10577.WHB8016.unmapped-both-read-and-mate	60.0	726.0	5062.0	6938.0	1.0	6775.0	28840.0
MUX10578.WHB8018.unmapped-both-read-and-mate	36.0	638.0	2018.0	2884.0	nan	2674.0	20761.0
MUX10578.WHB8019.unmapped-both-read-and-mate	43.0	626.0	3153.0	4780.0	nan	4314.0	21272.0
MUX10578.WHB8020.unmapped-both-read-and-mate	80.0	712.0	4148.0	6148.0	2.0	5961.0	25628.0
MUX10578.WHB8022.unmapped-both-read-and-mate	43.0	566.0	3554.0	5112.0	1.0	5063.0	23640.0
MUX10589.WHB8023.unmapped-both-read-and-mate	44.0	467.0	3435.0	5046.0	nan	5171.0	15970.0
MUX10589.WHB8024.unmapped-both-read-and-mate	47.0	592.0	3674.0	5802.0	nan	4802.0	17656.0
MUX10589.WHB8025.unmapped-both-read-and-mate	52.0	652.0	3894.0	5292.0	1.0	5406.0	17742.0
MUX10589.WHB8027.unmapped-both-read-and-mate	75.0	477.0	3477.0	5080.0	nan	4918.0	15039.0
MUX10590.WHB8028.unmapped-both-read-and-mate	74.0	537.0	3444.0	5144.0	nan	4797.0	15218.0
MUX10590.WHB8030.unmapped-both-read-and-mate	54.0	494.0	3317.0	5063.0	nan	4830.0	15616.0
MUX10590.WHB8032.unmapped-both-read-and-mate	64.0	456.0	4362.0	6478.0	nan	6030.0	18809.0
MUX10590.WHB8033.unmapped-both-read-and-mate	68.0	479.0	3413.0	5084.0	1.0	5302.0	16294.0
MUX10591.WHB8037.unmapped-both-read-and-mate	2.0	536.0	9.0	7.0	nan	230.0	9622.0
MUX10591.WHB8497.unmapped-both-read-and-mate	154.0	329.0	11546.0	8744.0	nan	12270.0	28283.0
MUX10591.WHB8498.unmapped-both-read-and-mate	128.0	446.0	9098.0	6411.0	2.0	9733.0	25894.0
MUX10591.WHB8499.unmapped-both-read-and-mate	156.0	408.0	10076.0	7309.0	nan	10939.0	27465.0
MUX10591.WHB8505.unmapped-both-read-and-mate	112.0	353.0	7603.0	4947.0	1.0	13650.0	23129.0
MUX10592.WHB10660.unmapped-both-read-and-mate	322.0	606.0	8739.0	17302.0	5.0	18802.0	34192.0
MUX10592.WHB8547.unmapped-both-read-and-mate	65.0	498.0	5822.0	3973.0	2.0	6619.0	19571.0
MUX10596.WHB11139.unmapped-both-read-and-mate	1.0	577.0	6.0	14.0	nan	122.0	21338.0
MUX10596.WHB11140.unmapped-both-read-and-mate	7.0	515.0	17.0	16.0	nan	203.0	15233.0
MUX10596.WHB11141.unmapped-both-read-and-mate	113.0	789.0	7930.0	20760.0	nan	12815.0	44446.0
MUX10596.WHB11142.unmapped-both-read-and-mate	13.0	835.0	45.0	25.0	nan	366.0	30911.0
MUX10596.WHB11148.unmapped-both-read-and-mate	172.0	660.0	14496.0	37399.0	1.0	23085.0	51783.0
MUX10597.WHB11143.unmapped-both-read-and-mate	90.0	494.0	8967.0	23949.0	1.0	14443.0	36907.0
MUX10597.WHB11144.unmapped-both-read-and-mate	216.0	1079.0	17451.0	46895.0	1.0	28063.0	76811.0
MUX10597.WHB11145.unmapped-both-read-and-mate	223.0	709.0	16994.0	44750.0	2.0	26712.0	64030.0
MUX10597.WHB11146.unmapped-both-read-and-mate	198.0	614.0	13087.0	35563.0	1.0	21077.0	53470.0
MUX10597.WHB11147.unmapped-both-read-and-mate	90.0	699.0	6581.0	18284.0	nan	11061.0	42955.0
MUX10598.WHB11149.unmapped-both-read-and-mate	77.0	516.0	5984.0	15824.0	nan	9703.0	27834.0
MUX10598.WHB11150.unmapped-both-read-and-mate	116.0	541.0	8187.0	21801.0	nan	13210.0	34620.0
MUX10598.WHB11151.unmapped-both-read-and-mate	130.0	726.0	8252.0	21881.0	nan	13085.0	43969.0
MUX10598.WHB11152.unmapped-both-read-and-mate	211.0	745.0	14241.0	38877.0	2.0	23445.0	59911.0
MUX10598.WHB11153.unmapped-both-read-and-mate	151.0	546.0	12256.0	32804.0	nan	19857.0	47201.0
MUX10599.WHB11154.unmapped-both-read-and-mate	216.0	857.0	17150.0	46222.0	nan	27934.0	68590.0
MUX10599.WHB11155.unmapped-both-read-and-mate	167.0	692.0	13112.0	35490.0	nan	20987.0	51808.0
MUX10599.WHB11156.unmapped-both-read-and-mate	152.0	513.0	11354.0	30671.0	nan	18369.0	39466.0
MUX10599.WHB11158.unmapped-both-read-and-mate	140.0	805.0	10539.0	28555.0	nan	17191.0	50851.0
MUX10600.WHB11159.unmapped-both-read-and-mate	63.0	493.0	3045.0	5102.0	3.0	7052.0	22807.0
MUX10600.WHB11160.unmapped-both-read-and-mate	43.0	643.0	2539.0	4021.0	1.0	5560.0	28071.0
MUX10600.WHB11161.unmapped-both-read-and-mate	154.0	609.0	5400.0	11055.0	nan	12955.0	38309.0
MUX10600.WHB11162.unmapped-both-read-and-mate	48.0	665.0	1753.0	3242.0	1.0	4859.0	24172.0
MUX10600.WHB11163.unmapped-both-read-and-mate	48.0	708.0	2321.0	4011.0	1.0	5370.0	27511.0
MUX10601.WHB11124.unmapped-both-read-and-mate	3.0	770.0	70.0	208.0	nan	246.0	22375.0
MUX10601.WHB11125.unmapped-both-read-and-mate	3.0	571.0	57.0	156.0	nan	178.0	19288.0
MUX10601.WHB11126.unmapped-both-read-and-mate	3.0	573.0	54.0	187.0	nan	189.0	15965.0
MUX10602.WHB11129.unmapped-both-read-and-mate	7.0	612.0	57.0	200.0	nan	240.0	14008.0
MUX10602.WHB11130.unmapped-both-read-and-mate	2.0	683.0	49.0	141.0	nan	195.0	19664.0
MUX10602.WHB11131.unmapped-both-read-and-mate	12.0	768.0	126.0	234.0	nan	657.0	18436.0
MUX10602.WHB11132.unmapped-both-read-and-mate	6.0	594.0	7.0	2.0	nan	967.0	17840.0
MUX10602.WHB11133.unmapped-both-read-and-mate	8.0	491.0	12.0	5.0	1.0	1409.0	14341.0
MUX10603.WHB11134.unmapped-both-read-and-mate	2.0	573.0	1.0	1.0	nan	706.0	14348.0
MUX10603.WHB11135.unmapped-both-read-and-mate	1.0	483.0	6.0	7.0	nan	1077.0	15704.0
MUX10603.WHB11136.unmapped-both-read-and-mate	7.0	538.0	3.0	2.0	nan	1111.0	16201.0
MUX10603.WHB11137.unmapped-both-read-and-mate	1.0	682.0	nan	nan	nan	76.0	21674.0
MUX10603.WHB11138.unmapped-both-read-and-mate	4.0	628.0	7.0	1.0	nan	1203.0	15996.0
MUX10605.WHB10679.unmapped-both-read-and-mate	95.0	438.0	5468.0	2618.0	nan	11015.0	21733.0
MUX10605.WHB10684.unmapped-both-read-and-mate	865.0	548.0	4142.0	2319.0	nan	6005.0	17602.0
MUX10605.WHB10685.unmapped-both-read-and-mate	1364.0	651.0	4634.0	2484.0	2.0	7288.0	22617.0
MUX10605.WHB10687.unmapped-both-read-and-mate	763.0	431.0	15326.0	8888.0	1.0	23434.0	47496.0
MUX10605.WHB10688.unmapped-both-read-and-mate	1237.0	378.0	3719.0	1919.0	nan	6014.0	15042.0
MUX10606.WHB10689.unmapped-both-read-and-mate	445.0	325.0	34263.0	17805.0	1.0	43657.0	82371.0
MUX10606.WHB10690.unmapped-both-read-and-mate	813.0	605.0	59402.0	31591.0	2.0	74205.0	144368.0
MUX10606.WHB10691.unmapped-both-read-and-mate	713.0	369.0	52273.0	27982.0	1.0	67954.0	127361.0
MUX10606.WHB10692.unmapped-both-read-and-mate	370.0	436.0	27011.0	13798.0	3.0	34833.0	69770.0
MUX10607.WHB10694.unmapped-both-read-and-mate	535.0	524.0	44350.0	23050.0	2.0	54587.0	105581.0
MUX10607.WHB10695.unmapped-both-read-and-mate	665.0	353.0	47241.0	25623.0	3.0	59085.0	110689.0
MUX10607.WHB10696.unmapped-both-read-and-mate	557.0	481.0	43249.0	22773.0	6.0	52394.0	102472.0
MUX10608.WHB10699.unmapped-both-read-and-mate	449.0	422.0	32246.0	18398.0	3.0	41054.0	79560.0
MUX10608.WHB10700.unmapped-both-read-and-mate	433.0	394.0	30509.0	15837.0	nan	38073.0	74304.0
MUX10608.WHB10701.unmapped-both-read-and-mate	283.0	420.0	22429.0	12356.0	2.0	28019.0	56544.0
MUX10608.WHB10702.unmapped-both-read-and-mate	214.0	451.0	16151.0	8240.0	nan	19906.0	43758.0
MUX10608.WHB10703.unmapped-both-read-and-mate	630.0	451.0	49500.0	26327.0	7.0	63370.0	118738.0
MUX10609.WHB10704.unmapped-both-read-and-mate	713.0	469.0	51853.0	26757.0	4.0	64241.0	125501.0
MUX10609.WHB10705.unmapped-both-read-and-mate	180.0	387.0	11960.0	6038.0	nan	14496.0	34539.0
MUX10609.WHB10706.unmapped-both-read-and-mate	389.0	531.0	30591.0	15620.0	nan	37777.0	77698.0
MUX10609.WHB10707.unmapped-both-read-and-mate	447.0	498.0	32442.0	17922.0	8.0	41197.0	82522.0
MUX10609.WHB10708.unmapped-both-read-and-mate	699.0	465.0	51008.0	27292.0	nan	63620.0	122983.0
MUX10610.WHB10709.unmapped-both-read-and-mate	873.0	483.0	67608.0	36171.0	1.0	84359.0	161379.0
MUX10610.WHB10710.unmapped-both-read-and-mate	811.0	501.0	60476.0	32450.0	2.0	83007.0	146668.0
MUX10610.WHB10714.unmapped-both-read-and-mate	79.0	415.0	7259.0	3594.0	nan	9069.0	24053.0
MUX10610.WHB10715.unmapped-both-read-and-mate	125.0	462.0	9658.0	5115.0	nan	12499.0	29708.0
MUX10611.WHB10712.unmapped-both-read-and-mate	149.0	715.0	10057.0	5218.0	nan	12321.0	36241.0
MUX10611.WHB10716.unmapped-both-read-and-mate	103.0	431.0	6655.0	3072.0	nan	7812.0	24904.0
MUX10611.WHB10717.unmapped-both-read-and-mate	250.0	480.0	19660.0	9823.0	3.0	24416.0	53966.0
MUX10611.WHB10723.unmapped-both-read-and-mate	75.0	478.0	5577.0	2918.0	nan	6963.0	23001.0
MUX10611.WHB10724.unmapped-both-read-and-mate	113.0	491.0	8537.0	4353.0	1.0	10139.0	30748.0
MUX10612.WHB10718.unmapped-both-read-and-mate	696.0	607.0	50077.0	25387.0	1.0	60736.0	126240.0
MUX10612.WHB10720.unmapped-both-read-and-mate	692.0	637.0	53897.0	27829.0	3.0	65699.0	135386.0
MUX10612.WHB10721.unmapped-both-read-and-mate	467.0	546.0	35108.0	16964.0	1.0	41844.0	90083.0
MUX10612.WHB10722.unmapped-both-read-and-mate	355.0	436.0	26780.0	14203.0	2.0	33121.0	70022.0
MUX10612.WHB10725.unmapped-both-read-and-mate	400.0	509.0	28123.0	14409.0	3.0	34986.0	76050.0
MUX10613.WHB10664.unmapped-both-read-and-mate	92.0	559.0	4607.0	5501.0	nan	11862.0	31631.0
MUX10613.WHB10665.unmapped-both-read-and-mate	118.0	436.0	5153.0	5543.0	nan	14103.0	29715.0
MUX10613.WHB10666.unmapped-both-read-and-mate	95.0	431.0	4776.0	5409.0	nan	13057.0	27145.0
MUX10613.WHB10667.unmapped-both-read-and-mate	144.0	559.0	5853.0	8372.0	1.0	15983.0	37151.0
MUX10613.WHB10668.unmapped-both-read-and-mate	148.0	407.0	6155.0	7374.0	nan	15550.0	30513.0
MUX10614.WHB10669.unmapped-both-read-and-mate	64.0	504.0	2935.0	3082.0	nan	7392.0	22241.0
MUX10614.WHB10670.unmapped-both-read-and-mate	110.0	457.0	6080.0	7401.0	1.0	15209.0	34653.0
MUX10614.WHB10671.unmapped-both-read-and-mate	84.0	508.0	5471.0	6379.0	nan	14091.0	32845.0
MUX10614.WHB10673.unmapped-both-read-and-mate	484.0	587.0	35938.0	17950.0	nan	43533.0	97062.0
MUX10615.WHB10674.unmapped-both-read-and-mate	91.0	718.0	5301.0	2877.0	nan	9394.0	28703.0
MUX10615.WHB10676.unmapped-both-read-and-mate	278.0	549.0	4880.0	2661.0	1.0	8560.0	26037.0
MUX10615.WHB10677.unmapped-both-read-and-mate	485.0	432.0	5147.0	2662.0	nan	7075.0	22656.0
MUX10615.WHB10678.unmapped-both-read-and-mate	1461.0	683.0	6988.0	3288.0	nan	10762.0	34555.0
MUX10616.WHB10680.unmapped-both-read-and-mate	85.0	714.0	5730.0	3119.0	nan	10556.0	29926.0
MUX10616.WHB10681.unmapped-both-read-and-mate	297.0	579.0	19285.0	10098.0	2.0	27503.0	60639.0
MUX10616.WHB10682.unmapped-both-read-and-mate	78.0	466.0	4326.0	2334.0	nan	8212.0	21418.0
MUX10616.WHB10683.unmapped-both-read-and-mate	235.0	663.0	16567.0	9880.0	1.0	24299.0	56907.0
MUX10616.WHB10686.unmapped-both-read-and-mate	371.0	529.0	14778.0	8133.0	nan	19585.0	47733.0
MUX10620.WHB10726.unmapped-both-read-and-mate	603.0	428.0	44608.0	23182.0	1.0	54393.0	104322.0
MUX10620.WHB10727.unmapped-both-read-and-mate	89.0	376.0	6890.0	3560.0	nan	8435.0	19621.0
MUX10620.WHB10728.unmapped-both-read-and-mate	1162.0	573.0	89688.0	45816.0	3.0	109606.0	207659.0
MUX10620.WHB10729.unmapped-both-read-and-mate	425.0	603.0	34404.0	16626.0	1.0	41489.0	81904.0
MUX10620.WHB10730.unmapped-both-read-and-mate	1152.0	412.0	84400.0	43204.0	5.0	102399.0	192047.0
MUX10621.WHB10731.unmapped-both-read-and-mate	162.0	465.0	12491.0	6334.0	2.0	15664.0	33532.0
MUX10621.WHB10732.unmapped-both-read-and-mate	603.0	444.0	46113.0	23397.0	4.0	56816.0	110763.0
MUX10621.WHB10733.unmapped-both-read-and-mate	319.0	385.0	23607.0	12298.0	1.0	28863.0	57324.0
MUX10621.WHB10734.unmapped-both-read-and-mate	585.0	395.0	46820.0	25014.0	2.0	57493.0	108983.0
MUX10621.WHB10735.unmapped-both-read-and-mate	577.0	459.0	42710.0	22492.0	2.0	51665.0	101508.0
MUX10622.WHB10736.unmapped-both-read-and-mate	217.0	566.0	13808.0	7501.0	2.0	17175.0	36367.0
MUX10622.WHB10737.unmapped-both-read-and-mate	94.0	340.0	7208.0	3765.0	nan	8258.0	18792.0
MUX10622.WHB10739.unmapped-both-read-and-mate	224.0	374.0	16777.0	8671.0	nan	19884.0	40654.0
MUX10622.WHB10740.unmapped-both-read-and-mate	528.0	383.0	43244.0	23105.0	1.0	53625.0	98247.0
MUX10622.WHB10742.unmapped-both-read-and-mate	803.0	400.0	56400.0	29256.0	1.0	67768.0	129621.0
MUX10623.WHB10738.unmapped-both-read-and-mate	507.0	316.0	41240.0	21915.0	2.0	52517.0	98244.0
MUX10623.WHB10741.unmapped-both-read-and-mate	567.0	343.0	41347.0	20745.0	nan	50538.0	96221.0
MUX10623.WHB10743.unmapped-both-read-and-mate	657.0	379.0	51437.0	28112.0	1.0	67523.0	122000.0
MUX10623.WHB10744.unmapped-both-read-and-mate	769.0	521.0	58813.0	30754.0	6.0	72178.0	136611.0
MUX10623.WHB10745.unmapped-both-read-and-mate	525.0	557.0	39603.0	20515.0	4.0	47777.0	94230.0
MUX10624.WHB10746.unmapped-both-read-and-mate	438.0	455.0	28243.0	14130.0	2.0	37297.0	67335.0
MUX10624.WHB10747.unmapped-both-read-and-mate	834.0	576.0	61692.0	32715.0	5.0	75559.0	142896.0
MUX10624.WHB10748.unmapped-both-read-and-mate	394.0	365.0	30060.0	15786.0	1.0	35999.0	68587.0
MUX10624.WHB10749.unmapped-both-read-and-mate	433.0	299.0	30500.0	15646.0	1.0	36210.0	69578.0
MUX10624.WHB10750.unmapped-both-read-and-mate	178.0	346.0	13675.0	6901.0	1.0	16233.0	32229.0
MUX10625.WHB10751.unmapped-both-read-and-mate	469.0	254.0	35452.0	18551.0	2.0	44046.0	79679.0
MUX10625.WHB10752.unmapped-both-read-and-mate	299.0	553.0	23463.0	11473.0	2.0	28414.0	56382.0
MUX10625.WHB10753.unmapped-both-read-and-mate	673.0	561.0	26316.0	12962.0	1.0	39238.0	64999.0
MUX10625.WHB10754.unmapped-both-read-and-mate	430.0	422.0	33949.0	17663.0	nan	42539.0	78508.0
MUX10625.WHB10755.unmapped-both-read-and-mate	139.0	458.0	9497.0	4641.0	1.0	11169.0	24058.0
MUX10626.WHB10758.unmapped-both-read-and-mate	117.0	376.0	9091.0	4810.0	nan	10693.0	22625.0
