Sample	Pseudomonadaceae	Sphingomonadaceae	Hominidae	Alcaligenaceae	Bradyrhizobiaceae	Other	Unclassified
MUX10476.WHB8582.unmapped-both-read-and-mate	43.0	6436.0	679.0	11.0	647.0	1329.0	21658.0
MUX10476.WHB8583.unmapped-both-read-and-mate	33.0	4957.0	616.0	21.0	534.0	1196.0	23876.0
MUX10476.WHB8584.unmapped-both-read-and-mate	39.0	6809.0	771.0	17.0	917.0	1598.0	22822.0
MUX10476.WHB8586.unmapped-both-read-and-mate	41.0	4795.0	706.0	23.0	490.0	1312.0	21784.0
MUX10477.WHB8587.unmapped-both-read-and-mate	39.0	5018.0	715.0	9.0	544.0	1347.0	21322.0
MUX10477.WHB8588.unmapped-both-read-and-mate	32.0	5628.0	747.0	11.0	588.0	1407.0	21664.0
MUX10477.WHB8589.unmapped-both-read-and-mate	29.0	4888.0	738.0	11.0	576.0	1286.0	20257.0
MUX10477.WHB8590.unmapped-both-read-and-mate	59.0	8418.0	739.0	24.0	895.0	1970.0	22691.0
MUX10477.WHB8591.unmapped-both-read-and-mate	40.0	5888.0	955.0	16.0	622.0	1340.0	23435.0
MUX10478.WHB8592.unmapped-both-read-and-mate	69.0	4367.0	813.0	42.0	567.0	5395.0	22087.0
MUX10478.WHB8593.unmapped-both-read-and-mate	77.0	14003.0	894.0	31.0	1097.0	2934.0	33004.0
MUX10478.WHB8594.unmapped-both-read-and-mate	40.0	7732.0	878.0	23.0	819.0	1968.0	27111.0
MUX10478.WHB8595.unmapped-both-read-and-mate	109.0	16867.0	749.0	42.0	1353.0	6255.0	31422.0
MUX10478.WHB8596.unmapped-both-read-and-mate	44.0	9062.0	657.0	19.0	697.0	1840.0	25448.0
MUX10479.WHB8597.unmapped-both-read-and-mate	75.0	10989.0	711.0	28.0	793.0	2370.0	29155.0
MUX10479.WHB8598.unmapped-both-read-and-mate	72.0	12586.0	678.0	24.0	932.0	2676.0	27805.0
MUX10479.WHB8599.unmapped-both-read-and-mate	103.0	13083.0	818.0	57.0	2013.0	6125.0	34162.0
MUX10479.WHB8600.unmapped-both-read-and-mate	85.0	16994.0	895.0	42.0	1458.0	3828.0	38557.0
MUX10479.WHB8601.unmapped-both-read-and-mate	78.0	18265.0	907.0	23.0	1329.0	3290.0	36475.0
MUX10480.WHB8602.unmapped-both-read-and-mate	48.0	8755.0	565.0	28.0	661.0	1999.0	20318.0
MUX10480.WHB8603.unmapped-both-read-and-mate	76.0	15702.0	658.0	29.0	1162.0	3038.0	27328.0
MUX10480.WHB8604.unmapped-both-read-and-mate	54.0	10254.0	657.0	21.0	835.0	2344.0	23277.0
MUX10480.WHB8606.unmapped-both-read-and-mate	119.0	20225.0	810.0	31.0	1551.0	4068.0	32166.0
MUX10481.WHB8607.unmapped-both-read-and-mate	44.0	8294.0	526.0	14.0	681.0	1714.0	14900.0
MUX10481.WHB8608.unmapped-both-read-and-mate	47.0	7725.0	583.0	15.0	840.0	1559.0	14168.0
MUX10481.WHB8610.unmapped-both-read-and-mate	63.0	8268.0	556.0	10.0	538.0	1783.0	17341.0
MUX10481.WHB8611.unmapped-both-read-and-mate	54.0	14295.0	518.0	22.0	2366.0	2753.0	19466.0
MUX10482.WHB8612.unmapped-both-read-and-mate	76.0	12818.0	567.0	28.0	1014.0	2742.0	19805.0
MUX10482.WHB8613.unmapped-both-read-and-mate	43.0	7406.0	530.0	15.0	592.0	1731.0	15782.0
MUX10482.WHB8614.unmapped-both-read-and-mate	71.0	13267.0	497.0	39.0	1018.0	3213.0	20293.0
MUX10482.WHB8615.unmapped-both-read-and-mate	30.0	6101.0	579.0	11.0	476.0	1238.0	14193.0
MUX10483.WHB8617.unmapped-both-read-and-mate	77.0	12442.0	590.0	28.0	981.0	2369.0	17544.0
MUX10483.WHB8619.unmapped-both-read-and-mate	90.0	16967.0	517.0	39.0	1348.0	3570.0	22475.0
MUX10483.WHB8620.unmapped-both-read-and-mate	52.0	13681.0	561.0	29.0	1011.0	2951.0	19074.0
MUX10483.WHB8621.unmapped-both-read-and-mate	83.0	13636.0	600.0	46.0	1095.0	6837.0	21433.0
MUX10484.WHB8623.unmapped-both-read-and-mate	39.0	8518.0	687.0	28.0	637.0	2100.0	17408.0
MUX10484.WHB8624.unmapped-both-read-and-mate	55.0	10328.0	455.0	22.0	789.0	2162.0	14760.0
MUX10484.WHB8625.unmapped-both-read-and-mate	52.0	11266.0	645.0	13.0	848.0	2270.0	18154.0
MUX10484.WHB8626.unmapped-both-read-and-mate	38.0	6127.0	560.0	11.0	437.0	1236.0	13181.0
MUX10484.WHB8627.unmapped-both-read-and-mate	73.0	11896.0	638.0	23.0	883.0	2541.0	19136.0
MUX10485.WHB8628.unmapped-both-read-and-mate	33.0	6115.0	954.0	17.0	471.0	1315.0	37247.0
MUX10485.WHB8629.unmapped-both-read-and-mate	98.0	23012.0	1032.0	42.0	1801.0	4379.0	47746.0
MUX10485.WHB8630.unmapped-both-read-and-mate	50.0	12751.0	1146.0	30.0	1004.0	2879.0	44002.0
MUX10485.WHB8631.unmapped-both-read-and-mate	77.0	12347.0	1342.0	27.0	1129.0	3674.0	49848.0
MUX10485.WHB8632.unmapped-both-read-and-mate	18.0	2942.0	1056.0	3.0	215.0	606.0	34379.0
MUX10486.WHB8633.unmapped-both-read-and-mate	50.0	13326.0	1349.0	28.0	907.0	2509.0	49435.0
MUX10486.WHB8634.unmapped-both-read-and-mate	18.0	2054.0	1313.0	4.0	135.0	419.0	42271.0
MUX10486.WHB8635.unmapped-both-read-and-mate	16.0	2039.0	1315.0	4.0	186.0	488.0	41026.0
MUX10486.WHB8636.unmapped-both-read-and-mate	27.0	5537.0	1584.0	13.0	478.0	1156.0	48238.0
MUX10487.WHB8637.unmapped-both-read-and-mate	85.0	14501.0	1739.0	36.0	1119.0	2906.0	56999.0
MUX10487.WHB8642.unmapped-both-read-and-mate	81.0	16398.0	1863.0	29.0	1254.0	3745.0	60807.0
MUX10487.WHB8644.unmapped-both-read-and-mate	91.0	14201.0	1597.0	32.0	942.0	3008.0	50125.0
MUX10487.WHB8645.unmapped-both-read-and-mate	64.0	12976.0	1525.0	23.0	1040.0	2485.0	45452.0
MUX10487.WHB8646.unmapped-both-read-and-mate	67.0	12238.0	1641.0	21.0	839.0	2379.0	49869.0
MUX10488.WHB8640.unmapped-both-read-and-mate	144.0	24038.0	1069.0	49.0	1982.0	5102.0	54314.0
MUX10488.WHB8641.unmapped-both-read-and-mate	252.0	49528.0	1033.0	96.0	4737.0	9786.0	70841.0
MUX10488.WHB8643.unmapped-both-read-and-mate	9.0	2310.0	758.0	4.0	196.0	482.0	25415.0
MUX10488.WHB8647.unmapped-both-read-and-mate	117.0	22784.0	913.0	42.0	1678.0	4217.0	45626.0
MUX10488.WHB8648.unmapped-both-read-and-mate	21.0	2893.0	785.0	nan	228.0	516.0	31694.0
MUX10489.WHB8649.unmapped-both-read-and-mate	23.0	5020.0	707.0	11.0	416.0	954.0	31625.0
MUX10489.WHB8650.unmapped-both-read-and-mate	56.0	12239.0	721.0	28.0	1042.0	2532.0	40697.0
MUX10489.WHB8654.unmapped-both-read-and-mate	72.0	14897.0	728.0	31.0	1155.0	3138.0	32288.0
MUX10489.WHB8656.unmapped-both-read-and-mate	5.0	1522.0	776.0	2.0	123.0	296.0	37648.0
MUX10490.WHB8652.unmapped-both-read-and-mate	34.0	7514.0	556.0	7.0	583.0	1475.0	23642.0
MUX10490.WHB8653.unmapped-both-read-and-mate	40.0	8123.0	620.0	17.0	599.0	1515.0	26950.0
MUX10490.WHB8655.unmapped-both-read-and-mate	13.0	3008.0	753.0	5.0	245.0	601.0	28712.0
MUX10490.WHB8659.unmapped-both-read-and-mate	9.0	2395.0	642.0	1.0	181.0	376.0	24267.0
MUX10491.WHB8660.unmapped-both-read-and-mate	9.0	2898.0	945.0	6.0	259.0	536.0	37665.0
MUX10491.WHB8661.unmapped-both-read-and-mate	17.0	2862.0	786.0	5.0	229.0	554.0	25456.0
MUX10491.WHB8662.unmapped-both-read-and-mate	24.0	4966.0	724.0	15.0	377.0	874.0	28044.0
MUX10491.WHB8664.unmapped-both-read-and-mate	19.0	2594.0	697.0	7.0	207.0	611.0	29687.0
MUX10492.WHB8657.unmapped-both-read-and-mate	52.0	10503.0	906.0	20.0	813.0	2044.0	41596.0
MUX10492.WHB8665.unmapped-both-read-and-mate	13.0	3064.0	704.0	6.0	252.0	582.0	27459.0
MUX10492.WHB8666.unmapped-both-read-and-mate	11.0	2404.0	625.0	5.0	197.0	4957.0	24948.0
MUX10492.WHB8667.unmapped-both-read-and-mate	5.0	2077.0	608.0	3.0	213.0	434.0	23539.0
MUX10492.WHB8668.unmapped-both-read-and-mate	3.0	1231.0	604.0	nan	106.0	252.0	27633.0
MUX10493.WHB8669.unmapped-both-read-and-mate	45.0	10631.0	541.0	28.0	822.0	2212.0	12392.0
MUX10493.WHB8670.unmapped-both-read-and-mate	33.0	6916.0	392.0	6.0	488.0	1233.0	8610.0
MUX10493.WHB8671.unmapped-both-read-and-mate	78.0	14765.0	466.0	34.0	1169.0	2797.0	15317.0
MUX10493.WHB8672.unmapped-both-read-and-mate	20.0	2032.0	294.0	5.0	162.0	424.0	4787.0
MUX10493.WHB8673.unmapped-both-read-and-mate	16.0	5134.0	367.0	19.0	430.0	955.0	7023.0
MUX10494.WHB8674.unmapped-both-read-and-mate	26.0	2951.0	303.0	3.0	252.0	503.0	4688.0
MUX10494.WHB8675.unmapped-both-read-and-mate	74.0	15085.0	362.0	30.0	1251.0	2891.0	14143.0
MUX10494.WHB8676.unmapped-both-read-and-mate	37.0	7222.0	363.0	14.0	519.0	1784.0	8374.0
MUX10494.WHB8677.unmapped-both-read-and-mate	99.0	22784.0	472.0	43.0	1778.0	4265.0	21138.0
MUX10494.WHB8680.unmapped-both-read-and-mate	29.0	6879.0	353.0	21.0	488.0	1248.0	8049.0
MUX10495.WHB8678.unmapped-both-read-and-mate	64.0	11021.0	406.0	23.0	753.0	2811.0	11216.0
MUX10495.WHB8679.unmapped-both-read-and-mate	15.0	2883.0	310.0	4.0	207.0	628.0	4602.0
MUX10495.WHB8681.unmapped-both-read-and-mate	11.0	2803.0	248.0	3.0	249.0	931.0	5078.0
MUX10495.WHB8682.unmapped-both-read-and-mate	18.0	2235.0	273.0	nan	209.0	427.0	4118.0
MUX10495.WHB8683.unmapped-both-read-and-mate	10.0	1971.0	323.0	1.0	168.0	368.0	4741.0
MUX10496.WHB8684.unmapped-both-read-and-mate	12.0	2707.0	311.0	5.0	197.0	535.0	5046.0
MUX10496.WHB8685.unmapped-both-read-and-mate	47.0	10258.0	449.0	21.0	847.0	2302.0	12198.0
MUX10496.WHB8686.unmapped-both-read-and-mate	11.0	2928.0	367.0	13.0	257.0	652.0	5599.0
MUX10496.WHB8687.unmapped-both-read-and-mate	10.0	3569.0	409.0	6.0	302.0	800.0	6339.0
MUX10497.WHB8689.unmapped-both-read-and-mate	27.0	5933.0	403.0	13.0	1077.0	1171.0	8485.0
MUX10497.WHB8690.unmapped-both-read-and-mate	26.0	4002.0	366.0	7.0	885.0	908.0	6845.0
MUX10498.WHB8694.unmapped-both-read-and-mate	23.0	5524.0	246.0	14.0	1112.0	1139.0	7184.0
MUX10498.WHB8695.unmapped-both-read-and-mate	21.0	4597.0	305.0	9.0	1015.0	935.0	6727.0
MUX10498.WHB8696.unmapped-both-read-and-mate	78.0	12017.0	345.0	21.0	2728.0	2874.0	13531.0
MUX10498.WHB8697.unmapped-both-read-and-mate	38.0	9465.0	413.0	26.0	1834.0	1911.0	11564.0
MUX10498.WHB8698.unmapped-both-read-and-mate	16.0	2691.0	337.0	11.0	596.0	542.0	5080.0
MUX10499.WHB8699.unmapped-both-read-and-mate	33.0	5772.0	421.0	10.0	1172.0	1163.0	8418.0
MUX10499.WHB8700.unmapped-both-read-and-mate	138.0	3835.0	332.0	124.0	959.0	8570.0	10487.0
MUX10499.WHB8701.unmapped-both-read-and-mate	14.0	3977.0	240.0	16.0	767.0	846.0	6205.0
MUX10499.WHB8702.unmapped-both-read-and-mate	24.0	5013.0	333.0	7.0	967.0	1348.0	6879.0
MUX10499.WHB8703.unmapped-both-read-and-mate	23.0	6803.0	392.0	9.0	1354.0	1511.0	8742.0
MUX10500.WHB8704.unmapped-both-read-and-mate	40.0	6565.0	422.0	17.0	1506.0	1576.0	9213.0
MUX10500.WHB8705.unmapped-both-read-and-mate	43.0	6765.0	333.0	9.0	1425.0	1441.0	8694.0
MUX10500.WHB8706.unmapped-both-read-and-mate	62.0	2709.0	390.0	59.0	635.0	4015.0	7373.0
MUX10500.WHB8707.unmapped-both-read-and-mate	72.0	1957.0	267.0	70.0	543.0	6076.0	7492.0
MUX10500.WHB8708.unmapped-both-read-and-mate	7.0	1060.0	190.0	nan	194.0	233.0	3445.0
MUX10512.WHB8709.unmapped-both-read-and-mate	37.0	6478.0	441.0	15.0	1249.0	1400.0	9569.0
MUX10512.WHB8712.unmapped-both-read-and-mate	233.0	7707.0	466.0	161.0	1866.0	14187.0	18880.0
MUX10512.WHB8714.unmapped-both-read-and-mate	91.0	3000.0	410.0	67.0	768.0	6271.0	9538.0
MUX10512.WHB8715.unmapped-both-read-and-mate	130.0	9120.0	390.0	121.0	2006.0	8722.0	15581.0
MUX10512.WHB8716.unmapped-both-read-and-mate	148.0	8140.0	397.0	65.0	1876.0	6596.0	13292.0
MUX10513.WHB8711.unmapped-both-read-and-mate	72.0	1538.0	351.0	55.0	501.0	4334.0	6629.0
MUX10513.WHB8713.unmapped-both-read-and-mate	83.0	4437.0	401.0	64.0	1021.0	5692.0	9491.0
MUX10513.WHB8717.unmapped-both-read-and-mate	95.0	3811.0	413.0	75.0	959.0	6681.0	9911.0
MUX10513.WHB8718.unmapped-both-read-and-mate	137.0	6125.0	313.0	72.0	1365.0	7856.0	11552.0
MUX10513.WHB8719.unmapped-both-read-and-mate	181.0	6142.0	367.0	138.0	1569.0	12090.0	14641.0
MUX10514.WHB8720.unmapped-both-read-and-mate	119.0	4710.0	388.0	96.0	1223.0	7260.0	10959.0
MUX10514.WHB8721.unmapped-both-read-and-mate	173.0	6864.0	398.0	108.0	1668.0	9215.0	13863.0
MUX10514.WHB8722.unmapped-both-read-and-mate	72.0	1605.0	322.0	64.0	477.0	4245.0	6665.0
MUX10514.WHB8723.unmapped-both-read-and-mate	59.0	4458.0	218.0	57.0	938.0	4034.0	7944.0
MUX10514.WHB8724.unmapped-both-read-and-mate	70.0	1645.0	264.0	55.0	512.0	5546.0	7141.0
MUX10515.WHB8725.unmapped-both-read-and-mate	82.0	4124.0	185.0	57.0	969.0	4691.0	8179.0
MUX10515.WHB8726.unmapped-both-read-and-mate	80.0	6286.0	319.0	49.0	1465.0	3990.0	9096.0
MUX10515.WHB8728.unmapped-both-read-and-mate	80.0	2128.0	379.0	57.0	552.0	5065.0	7380.0
MUX10515.WHB8729.unmapped-both-read-and-mate	65.0	1963.0	425.0	68.0	535.0	5045.0	7487.0
MUX10516.WHB8730.unmapped-both-read-and-mate	108.0	3769.0	351.0	72.0	898.0	5641.0	8616.0
MUX10516.WHB8731.unmapped-both-read-and-mate	139.0	3935.0	305.0	101.0	1046.0	8482.0	10223.0
MUX10516.WHB8732.unmapped-both-read-and-mate	174.0	8392.0	243.0	125.0	2211.0	11092.0	15360.0
MUX10516.WHB8733.unmapped-both-read-and-mate	84.0	2250.0	320.0	77.0	591.0	5374.0	7415.0
MUX10516.WHB8734.unmapped-both-read-and-mate	77.0	2723.0	274.0	45.0	646.0	3494.0	6962.0
MUX10517.WHB8735.unmapped-both-read-and-mate	97.0	4434.0	334.0	54.0	951.0	4690.0	8002.0
MUX10517.WHB8736.unmapped-both-read-and-mate	9.0	1408.0	309.0	4.0	347.0	346.0	3974.0
MUX10517.WHB8737.unmapped-both-read-and-mate	74.0	3396.0	411.0	45.0	835.0	3885.0	7499.0
MUX10517.WHB8740.unmapped-both-read-and-mate	222.0	7674.0	339.0	165.0	1921.0	13914.0	15806.0
MUX10518.WHB8739.unmapped-both-read-and-mate	71.0	2858.0	380.0	70.0	612.0	4684.0	7380.0
MUX10518.WHB8741.unmapped-both-read-and-mate	105.0	4956.0	378.0	73.0	1194.0	5452.0	9705.0
MUX10518.WHB8742.unmapped-both-read-and-mate	84.0	2798.0	411.0	48.0	695.0	4876.0	7764.0
MUX10518.WHB8743.unmapped-both-read-and-mate	53.0	1710.0	312.0	31.0	446.0	2992.0	5306.0
MUX10518.WHB8744.unmapped-both-read-and-mate	87.0	1730.0	296.0	50.0	436.0	3933.0	6888.0
MUX10519.WHB8745.unmapped-both-read-and-mate	166.0	8385.0	319.0	113.0	1852.0	8565.0	13754.0
MUX10519.WHB8746.unmapped-both-read-and-mate	98.0	6858.0	361.0	63.0	1514.0	5458.0	10886.0
MUX10519.WHB8747.unmapped-both-read-and-mate	119.0	8079.0	326.0	75.0	1747.0	5740.0	12079.0
MUX10519.WHB8748.unmapped-both-read-and-mate	142.0	6319.0	340.0	82.0	1531.0	8761.0	12226.0
MUX10520.WHB8751.unmapped-both-read-and-mate	101.0	3826.0	538.0	73.0	823.0	4924.0	25397.0
MUX10520.WHB8752.unmapped-both-read-and-mate	37.0	5084.0	739.0	15.0	1074.0	3570.0	29165.0
MUX10520.WHB8753.unmapped-both-read-and-mate	67.0	6679.0	583.0	43.0	1530.0	7175.0	28085.0
MUX10520.WHB8754.unmapped-both-read-and-mate	91.0	6122.0	638.0	47.0	1621.0	6888.0	28434.0
MUX10521.WHB8755.unmapped-both-read-and-mate	68.0	8252.0	715.0	33.0	1773.0	5296.0	31160.0
MUX10521.WHB8756.unmapped-both-read-and-mate	81.0	4146.0	746.0	44.0	958.0	7909.0	29725.0
MUX10521.WHB8757.unmapped-both-read-and-mate	93.0	5145.0	710.0	38.0	1249.0	7862.0	26447.0
MUX10521.WHB8758.unmapped-both-read-and-mate	106.0	5610.0	665.0	42.0	1346.0	9334.0	25807.0
MUX10522.WHB8760.unmapped-both-read-and-mate	72.0	7564.0	680.0	47.0	1522.0	7177.0	26701.0
MUX10522.WHB8761.unmapped-both-read-and-mate	74.0	6776.0	585.0	40.0	1538.0	5324.0	24302.0
MUX10522.WHB8762.unmapped-both-read-and-mate	76.0	8418.0	585.0	28.0	1243.0	5807.0	26308.0
MUX10522.WHB8763.unmapped-both-read-and-mate	126.0	8169.0	560.0	74.0	2012.0	10573.0	28692.0
MUX10522.WHB8764.unmapped-both-read-and-mate	90.0	6835.0	630.0	48.0	1555.0	8715.0	26615.0
MUX10523.WHB8765.unmapped-both-read-and-mate	107.0	9000.0	677.0	50.0	1915.0	9096.0	28284.0
MUX10523.WHB8766.unmapped-both-read-and-mate	45.0	7721.0	711.0	24.0	1607.0	1819.0	29192.0
MUX10523.WHB8767.unmapped-both-read-and-mate	34.0	5887.0	508.0	18.0	1222.0	1555.0	21586.0
MUX10523.WHB8769.unmapped-both-read-and-mate	49.0	5465.0	570.0	12.0	1108.0	1867.0	25501.0
MUX10559.WHB6706.unmapped-both-read-and-mate	6.0	22.0	444.0	2.0	916.0	273.0	5431.0
MUX10559.WHB6709.unmapped-both-read-and-mate	29.0	88.0	340.0	18.0	4771.0	1368.0	8269.0
MUX10559.WHB6711.unmapped-both-read-and-mate	12.0	31.0	318.0	6.0	1342.0	442.0	4448.0
MUX10559.WHB6713.unmapped-both-read-and-mate	30.0	42.0	368.0	12.0	1544.0	722.0	5445.0
MUX10559.WHB6718.unmapped-both-read-and-mate	6.0	23.0	361.0	5.0	1325.0	413.0	5134.0
MUX10560.WHB6720.unmapped-both-read-and-mate	11.0	17.0	241.0	3.0	941.0	289.0	3423.0
MUX10560.WHB6722.unmapped-both-read-and-mate	7.0	32.0	234.0	4.0	1468.0	461.0	4708.0
MUX10560.WHB6725.unmapped-both-read-and-mate	15.0	39.0	359.0	7.0	2091.0	684.0	5204.0
MUX10560.WHB6730.unmapped-both-read-and-mate	6.0	27.0	483.0	3.0	1166.0	345.0	5366.0
MUX10560.WHB6734.unmapped-both-read-and-mate	12.0	47.0	342.0	11.0	2338.0	685.0	5046.0
MUX10561.WHB6737.unmapped-both-read-and-mate	8.0	32.0	378.0	10.0	1584.0	465.0	5093.0
MUX10561.WHB6740.unmapped-both-read-and-mate	13.0	18.0	409.0	2.0	1511.0	457.0	5192.0
MUX10561.WHB6744.unmapped-both-read-and-mate	9.0	37.0	350.0	4.0	1139.0	308.0	4088.0
MUX10561.WHB6745.unmapped-both-read-and-mate	7.0	18.0	314.0	2.0	1404.0	449.0	4115.0
MUX10561.WHB6749.unmapped-both-read-and-mate	11.0	30.0	333.0	6.0	1093.0	337.0	4149.0
MUX10562.WHB6751.unmapped-both-read-and-mate	2.0	17.0	319.0	nan	643.0	197.0	3611.0
MUX10562.WHB6752.unmapped-both-read-and-mate	7.0	21.0	339.0	1.0	1191.0	383.0	4044.0
MUX10562.WHB6756.unmapped-both-read-and-mate	10.0	22.0	298.0	nan	792.0	265.0	3548.0
MUX10562.WHB6762.unmapped-both-read-and-mate	9.0	33.0	421.0	7.0	1134.0	361.0	4936.0
MUX10562.WHB6764.unmapped-both-read-and-mate	14.0	17.0	329.0	9.0	1374.0	430.0	4250.0
MUX10563.WHB7939.unmapped-both-read-and-mate	76.0	10630.0	371.0	20.0	1107.0	2077.0	11054.0
MUX10563.WHB7940.unmapped-both-read-and-mate	28.0	6238.0	365.0	9.0	671.0	1269.0	7794.0
MUX10563.WHB7941.unmapped-both-read-and-mate	54.0	8767.0	343.0	16.0	908.0	1751.0	9921.0
MUX10563.WHB7942.unmapped-both-read-and-mate	111.0	13074.0	331.0	30.0	1416.0	2809.0	13092.0
MUX10563.WHB7943.unmapped-both-read-and-mate	104.0	14549.0	353.0	27.0	1511.0	3192.0	14299.0
MUX10564.WHB7944.unmapped-both-read-and-mate	52.0	9246.0	359.0	14.0	970.0	1795.0	10012.0
MUX10564.WHB7945.unmapped-both-read-and-mate	51.0	9462.0	408.0	20.0	931.0	1885.0	11930.0
MUX10564.WHB7947.unmapped-both-read-and-mate	39.0	8755.0	337.0	17.0	919.0	1804.0	9196.0
MUX10565.WHB7950.unmapped-both-read-and-mate	120.0	24416.0	380.0	46.0	2530.0	4658.0	21498.0
MUX10565.WHB7952.unmapped-both-read-and-mate	45.0	9027.0	395.0	21.0	923.0	1810.0	10033.0
MUX10565.WHB7953.unmapped-both-read-and-mate	57.0	11541.0	355.0	22.0	2273.0	2411.0	12190.0
MUX10566.WHB7954.unmapped-both-read-and-mate	91.0	9623.0	366.0	12.0	1115.0	2194.0	10817.0
MUX10566.WHB7955.unmapped-both-read-and-mate	94.0	18309.0	430.0	31.0	1846.0	3524.0	17524.0
MUX10566.WHB7956.unmapped-both-read-and-mate	258.0	26438.0	333.0	101.0	22746.0	9724.0	41026.0
MUX10566.WHB7957.unmapped-both-read-and-mate	152.0	26858.0	367.0	43.0	2876.0	5200.0	23328.0
MUX10566.WHB7958.unmapped-both-read-and-mate	76.0	15872.0	384.0	30.0	1574.0	3066.0	15070.0
MUX10567.WHB7959.unmapped-both-read-and-mate	45.0	8099.0	416.0	11.0	843.0	1566.0	9783.0
MUX10567.WHB7960.unmapped-both-read-and-mate	39.0	10176.0	421.0	16.0	1015.0	1839.0	11054.0
MUX10567.WHB7961.unmapped-both-read-and-mate	38.0	7317.0	387.0	19.0	794.0	1501.0	8851.0
MUX10567.WHB7963.unmapped-both-read-and-mate	53.0	6615.0	458.0	8.0	756.0	1433.0	9318.0
MUX10567.WHB7964.unmapped-both-read-and-mate	31.0	6769.0	442.0	16.0	839.0	1343.0	9301.0
MUX10568.WHB7965.unmapped-both-read-and-mate	97.0	13628.0	355.0	27.0	1390.0	2851.0	14648.0
MUX10568.WHB7966.unmapped-both-read-and-mate	146.0	22967.0	624.0	44.0	2483.0	4419.0	21697.0
MUX10568.WHB7968.unmapped-both-read-and-mate	134.0	31029.0	502.0	58.0	3548.0	6311.0	28912.0
MUX10568.WHB7969.unmapped-both-read-and-mate	222.0	25373.0	438.0	39.0	2758.0	5155.0	23738.0
MUX10569.WHB7971.unmapped-both-read-and-mate	111.0	23300.0	543.0	31.0	2387.0	4542.0	22497.0
MUX10569.WHB7972.unmapped-both-read-and-mate	80.0	15329.0	500.0	22.0	1591.0	2855.0	15716.0
MUX10569.WHB7973.unmapped-both-read-and-mate	155.0	35199.0	400.0	74.0	3595.0	6595.0	29814.0
MUX10569.WHB7974.unmapped-both-read-and-mate	55.0	12253.0	552.0	30.0	1327.0	2396.0	13442.0
MUX10569.WHB7975.unmapped-both-read-and-mate	111.0	19574.0	504.0	27.0	1833.0	3748.0	18817.0
MUX10570.WHB7976.unmapped-both-read-and-mate	99.0	16326.0	613.0	28.0	1686.0	3137.0	17097.0
MUX10570.WHB7977.unmapped-both-read-and-mate	142.0	12424.0	494.0	25.0	1278.0	2526.0	13883.0
MUX10570.WHB7978.unmapped-both-read-and-mate	235.0	30782.0	445.0	43.0	3867.0	5940.0	28370.0
MUX10570.WHB7979.unmapped-both-read-and-mate	86.0	11804.0	522.0	18.0	1292.0	2702.0	13935.0
MUX10570.WHB7980.unmapped-both-read-and-mate	87.0	20100.0	507.0	33.0	2099.0	4102.0	19837.0
MUX10571.WHB7981.unmapped-both-read-and-mate	131.0	27432.0	706.0	45.0	3152.0	5228.0	40345.0
MUX10571.WHB7982.unmapped-both-read-and-mate	73.0	11493.0	749.0	48.0	1176.0	2335.0	27583.0
MUX10571.WHB7983.unmapped-both-read-and-mate	98.0	23778.0	762.0	33.0	2439.0	4506.0	40101.0
MUX10571.WHB7984.unmapped-both-read-and-mate	38.0	7787.0	633.0	10.0	828.0	1515.0	21299.0
MUX10572.WHB7986.unmapped-both-read-and-mate	211.0	48596.0	897.0	84.0	5869.0	9125.0	63424.0
MUX10572.WHB7987.unmapped-both-read-and-mate	25.0	7711.0	740.0	13.0	780.0	1549.0	24936.0
MUX10572.WHB7988.unmapped-both-read-and-mate	47.0	10003.0	638.0	20.0	1044.0	1909.0	21159.0
MUX10572.WHB7989.unmapped-both-read-and-mate	37.0	6799.0	648.0	13.0	760.0	1545.0	26895.0
MUX10572.WHB7991.unmapped-both-read-and-mate	50.0	8153.0	645.0	15.0	804.0	1571.0	24115.0
MUX10573.WHB7990.unmapped-both-read-and-mate	228.0	42155.0	800.0	74.0	4308.0	8385.0	57925.0
MUX10573.WHB7992.unmapped-both-read-and-mate	45.0	10926.0	859.0	27.0	1123.0	2116.0	39137.0
MUX10573.WHB7993.unmapped-both-read-and-mate	55.0	12654.0	656.0	29.0	1389.0	2453.0	29264.0
MUX10573.WHB7994.unmapped-both-read-and-mate	57.0	10271.0	995.0	16.0	1048.0	1968.0	39987.0
MUX10574.WHB7996.unmapped-both-read-and-mate	38.0	8757.0	543.0	19.0	932.0	1885.0	24954.0
MUX10574.WHB7997.unmapped-both-read-and-mate	36.0	7742.0	620.0	8.0	759.0	1460.0	27566.0
MUX10574.WHB7998.unmapped-both-read-and-mate	42.0	10185.0	875.0	20.0	992.0	1897.0	34953.0
MUX10574.WHB8000.unmapped-both-read-and-mate	51.0	12249.0	1015.0	15.0	1327.0	2435.0	41241.0
MUX10575.WHB8001.unmapped-both-read-and-mate	98.0	19138.0	726.0	34.0	1926.0	3683.0	32647.0
MUX10575.WHB8003.unmapped-both-read-and-mate	56.0	14585.0	767.0	11.0	1591.0	3018.0	31306.0
MUX10575.WHB8004.unmapped-both-read-and-mate	76.0	12575.0	712.0	24.0	1362.0	2380.0	27843.0
MUX10575.WHB8005.unmapped-both-read-and-mate	61.0	9769.0	672.0	16.0	948.0	1990.0	24266.0
MUX10575.WHB8006.unmapped-both-read-and-mate	78.0	12041.0	756.0	19.0	1309.0	2377.0	26734.0
