Sample	Pseudomonadaceae	Sphingomonadaceae	Hominidae	Alcaligenaceae	Bradyrhizobiaceae	Other	Unclassified
MUX10020.WHB6475.unmapped-both-read-and-mate	12.0	27.0	609.0	nan	1363.0	426.0	9631.0
MUX10020.WHB6476.unmapped-both-read-and-mate	11.0	24.0	559.0	3.0	1307.0	482.0	10768.0
MUX10020.WHB6477.unmapped-both-read-and-mate	16.0	45.0	383.0	1.0	2111.0	621.0	7561.0
MUX10021.WHB6478.unmapped-both-read-and-mate	12.0	27.0	478.0	3.0	1497.0	474.0	9506.0
MUX10021.WHB6479.unmapped-both-read-and-mate	8.0	28.0	603.0	2.0	1509.0	393.0	13590.0
MUX10021.WHB6480.unmapped-both-read-and-mate	7.0	14.0	512.0	1.0	1040.0	351.0	10136.0
MUX10021.WHB6482.unmapped-both-read-and-mate	11.0	17.0	535.0	4.0	1554.0	442.0	11591.0
MUX10021.WHB6483.unmapped-both-read-and-mate	5.0	24.0	565.0	3.0	1728.0	455.0	12202.0
MUX10022.WHB6485.unmapped-both-read-and-mate	18.0	26.0	328.0	5.0	1676.0	447.0	7640.0
MUX10022.WHB6486.unmapped-both-read-and-mate	15.0	26.0	354.0	5.0	1420.0	378.0	7768.0
MUX10022.WHB6489.unmapped-both-read-and-mate	13.0	25.0	531.0	4.0	1277.0	354.0	12468.0
MUX10022.WHB6490.unmapped-both-read-and-mate	14.0	34.0	557.0	4.0	1353.0	541.0	10961.0
MUX10023.WHB6491.unmapped-both-read-and-mate	4.0	16.0	413.0	1.0	1056.0	351.0	7369.0
MUX10023.WHB6493.unmapped-both-read-and-mate	19.0	17.0	600.0	2.0	1222.0	399.0	10318.0
MUX10023.WHB6494.unmapped-both-read-and-mate	35.0	55.0	424.0	17.0	4126.0	1134.0	11367.0
MUX10023.WHB6495.unmapped-both-read-and-mate	10.0	19.0	505.0	5.0	1731.0	488.0	9715.0
MUX10023.WHB6497.unmapped-both-read-and-mate	12.0	20.0	453.0	3.0	1057.0	354.0	8358.0
MUX10024.WHB6498.unmapped-both-read-and-mate	13.0	24.0	450.0	3.0	1220.0	454.0	8503.0
MUX10024.WHB6499.unmapped-both-read-and-mate	9.0	16.0	503.0	2.0	934.0	468.0	9860.0
MUX10024.WHB6500.unmapped-both-read-and-mate	32.0	56.0	434.0	24.0	3606.0	1032.0	11290.0
