Sample	Metazoa	Other	Unclassified
MUX10675.WHB10986.unmapped-both-read-and-mate	554.0	27372.0	25348.0
MUX10681.WHB11014.unmapped-both-read-and-mate	613.0	42348.0	48884.0
MUX10685.WHB11036.unmapped-both-read-and-mate	481.0	48786.0	53765.0
MUX10691.WHB11068.unmapped-both-read-and-mate	458.0	20069.0	18460.0
MUX10701.WHB10905.unmapped-both-read-and-mate	618.0	20674.0	38776.0
MUX10704.WHB10923.unmapped-both-read-and-mate	586.0	20843.0	38707.0
MUX10706.WHB10925.unmapped-both-read-and-mate	450.0	56086.0	52232.0
MUX10712.WHB10956.unmapped-both-read-and-mate	490.0	18942.0	20906.0
MUX10745.WHB11102.unmapped-both-read-and-mate	388.0	19705.0	21226.0
MUX10762.WHB8517.unmapped-both-read-and-mate	544.0	4020.0	19522.0
MUX3275.WHH429.unmapped-both-read-and-mate	1065.0	45.0	6757.0
MUX3275.WHH520.unmapped-both-read-and-mate	772.0	58.0	4937.0
MUX3316.WHH533.unmapped-both-read-and-mate	769.0	95.0	4670.0
MUX3316.WHH550.unmapped-both-read-and-mate	677.0	81.0	4486.0
MUX3316.WHH552.unmapped-both-read-and-mate	932.0	99.0	6090.0
MUX3316.WHH559.unmapped-both-read-and-mate	768.0	83.0	5292.0
MUX3316.WHH591.unmapped-both-read-and-mate	808.0	87.0	4686.0
MUX3316.WHH608.unmapped-both-read-and-mate	665.0	71.0	4118.0
MUX3316.WHH609.unmapped-both-read-and-mate	813.0	100.0	5045.0
MUX3316.WHH612.unmapped-both-read-and-mate	866.0	78.0	5612.0
MUX3316.WHH617.unmapped-both-read-and-mate	673.0	74.0	4459.0
MUX3316.WHH620.unmapped-both-read-and-mate	671.0	105.0	4342.0
MUX3359.WHH635.unmapped-both-read-and-mate	610.0	103.0	4545.0
MUX3359.WHH636.unmapped-both-read-and-mate	619.0	75.0	3942.0
MUX3359.WHH675.unmapped-both-read-and-mate	546.0	55.0	3625.0
MUX3359.WHH687.unmapped-both-read-and-mate	649.0	60.0	3803.0
MUX3381.WHH718.unmapped-both-read-and-mate	693.0	100.0	5015.0
MUX3381.WHH728.unmapped-both-read-and-mate	812.0	112.0	5360.0
MUX3381.WHH732.unmapped-both-read-and-mate	670.0	136.0	4502.0
MUX3381.WHH758.unmapped-both-read-and-mate	750.0	64.0	5369.0
MUX3381.WHH761.unmapped-both-read-and-mate	775.0	54.0	4882.0
MUX3381.WHH771.unmapped-both-read-and-mate	678.0	132.0	5006.0
MUX3381.WHH772.unmapped-both-read-and-mate	772.0	126.0	5373.0
MUX3381.WHH782.unmapped-both-read-and-mate	787.0	130.0	5135.0
MUX3434.WHH839.unmapped-both-read-and-mate	722.0	82.0	4499.0
MUX3434.WHH849.unmapped-both-read-and-mate	766.0	111.0	4566.0
MUX3434.WHH860.unmapped-both-read-and-mate	862.0	54.0	5397.0
MUX3434.WHH868.unmapped-both-read-and-mate	763.0	128.0	5346.0
MUX3434.WHH872.unmapped-both-read-and-mate	887.0	121.0	5862.0
MUX3529.WHH942.unmapped-both-read-and-mate	657.0	199.0	4202.0
MUX3529.WHH966.unmapped-both-read-and-mate	708.0	101.0	4779.0
MUX3529.WHH981.unmapped-both-read-and-mate	793.0	181.0	5008.0
MUX3529.WHH987.unmapped-both-read-and-mate	777.0	154.0	4595.0
MUX3529.WHH999.unmapped-both-read-and-mate	654.0	95.0	4206.0
MUX3936.WHH1096.unmapped-both-read-and-mate	716.0	245.0	4808.0
MUX3936.WHH1097.unmapped-both-read-and-mate	669.0	57.0	4181.0
MUX3936.WHH1122.unmapped-both-read-and-mate	747.0	66.0	4306.0
MUX3936.WHH1136.unmapped-both-read-and-mate	803.0	4179.0	7809.0
MUX3936.WHH1147.unmapped-both-read-and-mate	594.0	9491.0	9412.0
MUX3949.WHH1158.unmapped-both-read-and-mate	763.0	48.0	3942.0
MUX3949.WHH1190.unmapped-both-read-and-mate	718.0	139.0	4294.0
MUX3949.WHH1197.unmapped-both-read-and-mate	844.0	2379.0	5290.0
MUX3949.WHH1237.unmapped-both-read-and-mate	673.0	86.0	3813.0
MUX3949.WHH1248.unmapped-both-read-and-mate	699.0	8850.0	6478.0
MUX3949.WHH1249.unmapped-both-read-and-mate	673.0	3320.0	5258.0
MUX3969.WHH1253.unmapped-both-read-and-mate	586.0	172.0	4465.0
MUX3969.WHH1276.unmapped-both-read-and-mate	678.0	225.0	4710.0
MUX3969.WHH1284.unmapped-both-read-and-mate	685.0	302.0	5017.0
MUX3969.WHH1291.unmapped-both-read-and-mate	685.0	312.0	4997.0
MUX3969.WHH1294.unmapped-both-read-and-mate	697.0	126.0	4988.0
MUX3969.WHH1302.unmapped-both-read-and-mate	731.0	5698.0	6703.0
MUX3969.WHH1303.unmapped-both-read-and-mate	596.0	288.0	4518.0
MUX3969.WHH1319.unmapped-both-read-and-mate	752.0	92.0	4929.0
MUX3969.WHH1321.unmapped-both-read-and-mate	730.0	154.0	4704.0
MUX3969.WHH1324.unmapped-both-read-and-mate	720.0	117.0	5286.0
MUX3969.WHH1329.unmapped-both-read-and-mate	665.0	483.0	4365.0
MUX3969.WHH1342.unmapped-both-read-and-mate	645.0	195.0	4832.0
MUX3969.WHH1343.unmapped-both-read-and-mate	762.0	244.0	5414.0
MUX3971.WHH1351.unmapped-both-read-and-mate	625.0	2720.0	5440.0
MUX3971.WHH1385.unmapped-both-read-and-mate	677.0	3452.0	6501.0
MUX3971.WHH1398.unmapped-both-read-and-mate	731.0	5860.0	7449.0
MUX3971.WHH1401.unmapped-both-read-and-mate	662.0	2314.0	5635.0
MUX3971.WHH1403.unmapped-both-read-and-mate	722.0	8710.0	9581.0
MUX3971.WHH1423.unmapped-both-read-and-mate	572.0	198.0	4481.0
MUX3971.WHH1439.unmapped-both-read-and-mate	697.0	5037.0	7860.0
MUX4050.WHH1462.unmapped-both-read-and-mate	656.0	5577.0	5372.0
MUX4050.WHH1493.unmapped-both-read-and-mate	899.0	274.0	5419.0
MUX4050.WHH1507.unmapped-both-read-and-mate	786.0	3771.0	6049.0
MUX4050.WHH1511.unmapped-both-read-and-mate	800.0	1786.0	6084.0
MUX4050.WHH1512.unmapped-both-read-and-mate	754.0	2259.0	5152.0
MUX4050.WHH1513.unmapped-both-read-and-mate	648.0	1861.0	4663.0
MUX4050.WHH1536.unmapped-both-read-and-mate	715.0	198.0	4922.0
MUX4068.WHH1580.unmapped-both-read-and-mate	616.0	255.0	4566.0
MUX4068.WHH1584.unmapped-both-read-and-mate	711.0	193.0	5044.0
MUX4068.WHH1587.unmapped-both-read-and-mate	691.0	372.0	5413.0
MUX4068.WHH1603.unmapped-both-read-and-mate	604.0	116.0	4245.0
MUX4068.WHH1614.unmapped-both-read-and-mate	730.0	7481.0	7975.0
MUX4095.WHH1677.unmapped-both-read-and-mate	728.0	283.0	5130.0
MUX4095.WHH1692.unmapped-both-read-and-mate	717.0	595.0	5048.0
MUX4095.WHH1701.unmapped-both-read-and-mate	677.0	911.0	4797.0
MUX4095.WHH1703.unmapped-both-read-and-mate	811.0	1132.0	6296.0
MUX4095.WHH1706.unmapped-both-read-and-mate	722.0	3296.0	7571.0
MUX4095.WHH1720.unmapped-both-read-and-mate	660.0	950.0	5184.0
MUX4111.WHH1748.unmapped-both-read-and-mate	589.0	118.0	3782.0
MUX4111.WHH1762.unmapped-both-read-and-mate	637.0	70.0	4272.0
MUX4111.WHH1776.unmapped-both-read-and-mate	749.0	42.0	4568.0
MUX4111.WHH1791.unmapped-both-read-and-mate	580.0	248.0	4023.0
MUX4111.WHH1802.unmapped-both-read-and-mate	681.0	93.0	4279.0
MUX4111.WHH1814.unmapped-both-read-and-mate	737.0	50.0	4773.0
MUX4127.WHH1846.unmapped-both-read-and-mate	538.0	55.0	3830.0
MUX4127.WHH1848.unmapped-both-read-and-mate	647.0	79.0	4165.0
MUX4127.WHH1854.unmapped-both-read-and-mate	709.0	77.0	4145.0
MUX4127.WHH1895.unmapped-both-read-and-mate	746.0	41.0	4751.0
MUX4127.WHH1897.unmapped-both-read-and-mate	605.0	86.0	3908.0
MUX4150.WHH2127.unmapped-both-read-and-mate	613.0	47.0	4025.0
MUX4150.WHH2168.unmapped-both-read-and-mate	578.0	32.0	3720.0
MUX4150.WHH2189.unmapped-both-read-and-mate	784.0	56.0	4647.0
MUX4150.WHH2203.unmapped-both-read-and-mate	648.0	124.0	4471.0
MUX4150.WHH2208.unmapped-both-read-and-mate	599.0	86.0	4036.0
MUX4150.WHH2209.unmapped-both-read-and-mate	533.0	66.0	3866.0
MUX4212.WHH2329.unmapped-both-read-and-mate	515.0	199692.0	76341.0
MUX4212.WHH2332.unmapped-both-read-and-mate	619.0	346023.0	66650.0
MUX4212.WHH2357.unmapped-both-read-and-mate	818.0	82788.0	71856.0
MUX4212.WHH2395.unmapped-both-read-and-mate	697.0	470200.0	61131.0
MUX5167.WHB587.unmapped-both-read-and-mate	458.0	296.0	6457.0
MUX5168.WHB598.unmapped-both-read-and-mate	441.0	191.0	3972.0
MUX5168.WHB607.unmapped-both-read-and-mate	413.0	482.0	4008.0
MUX5169.WHB609.unmapped-both-read-and-mate	468.0	360.0	3911.0
MUX5170.WHB636.unmapped-both-read-and-mate	500.0	367.0	7612.0
MUX5171.WHB655.unmapped-both-read-and-mate	485.0	318.0	6027.0
MUX5172.WHB660.unmapped-both-read-and-mate	578.0	425.0	6578.0
MUX5172.WHB662.unmapped-both-read-and-mate	464.0	297.0	5682.0
MUX5173.WHB673.unmapped-both-read-and-mate	524.0	335.0	6675.0
MUX5179.WHB535.unmapped-both-read-and-mate	472.0	636.0	9544.0
MUX5179.WHB541.unmapped-both-read-and-mate	418.0	1482.0	7125.0
MUX5180.WHB549.unmapped-both-read-and-mate	569.0	821.0	8322.0
MUX5181.WHB558.unmapped-both-read-and-mate	423.0	719.0	5593.0
MUX5183.WHB696.unmapped-both-read-and-mate	432.0	222.0	5774.0
MUX5183.WHB698.unmapped-both-read-and-mate	527.0	4023.0	15649.0
MUX5184.WHB710.unmapped-both-read-and-mate	440.0	43.0	4088.0
MUX5185.WHB711.unmapped-both-read-and-mate	445.0	32.0	4117.0
MUX5185.WHB721.unmapped-both-read-and-mate	363.0	71.0	3161.0
MUX5186.WHB722.unmapped-both-read-and-mate	407.0	52.0	4361.0
MUX5188.WHB747.unmapped-both-read-and-mate	509.0	46.0	6893.0
MUX5188.WHB757.unmapped-both-read-and-mate	293.0	64.0	7235.0
MUX5227.WHB769.unmapped-both-read-and-mate	422.0	94.0	3411.0
MUX5228.WHB578.unmapped-both-read-and-mate	418.0	226.0	3431.0
MUX5229.WHB683.unmapped-both-read-and-mate	342.0	48.0	3098.0
MUX5234.WHB816.unmapped-both-read-and-mate	489.0	90.0	7092.0
MUX5234.WHB825.unmapped-both-read-and-mate	368.0	518.0	6697.0
MUX5235.WHB826.unmapped-both-read-and-mate	371.0	59.0	4317.0
MUX5235.WHB836.unmapped-both-read-and-mate	443.0	103.0	5599.0
MUX5236.WHB839.unmapped-both-read-and-mate	388.0	828.0	4873.0
MUX5236.WHB840.unmapped-both-read-and-mate	386.0	82.0	4121.0
MUX5236.WHB845.unmapped-both-read-and-mate	441.0	54.0	4184.0
MUX5240.WHB619.unmapped-both-read-and-mate	572.0	537.0	4916.0
MUX5240.WHB621.unmapped-both-read-and-mate	505.0	365.0	4519.0
MUX5240.WHB622.unmapped-both-read-and-mate	449.0	259.0	3861.0
MUX5240.WHB624.unmapped-both-read-and-mate	536.0	345.0	4311.0
MUX5242.WHB595.unmapped-both-read-and-mate	608.0	335.0	5222.0
MUX5243.WHH5006.unmapped-both-read-and-mate	350.0	195.0	3105.0
MUX5243.WHH5014.unmapped-both-read-and-mate	434.0	31.0	3664.0
MUX5244.WHH5033.unmapped-both-read-and-mate	575.0	51.0	7725.0
MUX5246.WHH5062.unmapped-both-read-and-mate	548.0	42.0	6619.0
MUX5246.WHH5063.unmapped-both-read-and-mate	537.0	38.0	6014.0
MUX5246.WHH5064.unmapped-both-read-and-mate	498.0	9.0	5924.0
MUX5247.WHH5072.unmapped-both-read-and-mate	574.0	3715.0	15413.0
MUX5247.WHH5074.unmapped-both-read-and-mate	643.0	4406.0	17662.0
MUX5250.WHH5109.unmapped-both-read-and-mate	375.0	10939.0	5260.0
MUX5255.WHH5000.unmapped-both-read-and-mate	501.0	57.0	6160.0
MUX5261.WHH5159.unmapped-both-read-and-mate	449.0	432.0	7780.0
MUX5261.WHH5160.unmapped-both-read-and-mate	460.0	629.0	7407.0
MUX5261.WHH5161.unmapped-both-read-and-mate	534.0	938.0	8545.0
MUX5264.WHH5170.unmapped-both-read-and-mate	927.0	17074.0	55702.0
MUX5266.WHH5178.unmapped-both-read-and-mate	405.0	3369.0	6300.0
MUX5266.WHH5188.unmapped-both-read-and-mate	2218.0	57952.0	201374.0
MUX5287.WHH4826.unmapped-both-read-and-mate	618.0	125.0	6806.0
MUX5287.WHH4831.unmapped-both-read-and-mate	520.0	26.0	5034.0
MUX5288.WHH4837.unmapped-both-read-and-mate	480.0	34.0	4430.0
MUX5288.WHH4844.unmapped-both-read-and-mate	400.0	27.0	4027.0
MUX5295.WHH4869.unmapped-both-read-and-mate	401.0	28.0	3619.0
MUX5297.WHH4901.unmapped-both-read-and-mate	386.0	358.0	4035.0
MUX5299.WHH4929.unmapped-both-read-and-mate	502.0	41.0	6421.0
