Sample	Pseudomonadaceae	Hominidae	Sphingomonadaceae	Burkholderiaceae	Alcaligenaceae	Other	Unclassified
MUX5261.WHH5161.unmapped-both-read-and-mate	7.0	534.0	nan	879.0	3.0	49.0	8545.0
MUX5264.WHH5170.unmapped-both-read-and-mate	48.0	927.0	1.0	5.0	nan	17020.0	55702.0
MUX5266.WHH5178.unmapped-both-read-and-mate	22.0	405.0	1.0	3159.0	5.0	182.0	6300.0
MUX5266.WHH5188.unmapped-both-read-and-mate	187.0	2218.0	1.0	5.0	4.0	57755.0	201374.0
MUX5287.WHH4826.unmapped-both-read-and-mate	1.0	618.0	25.0	3.0	4.0	92.0	6806.0
MUX5287.WHH4831.unmapped-both-read-and-mate	3.0	520.0	1.0	1.0	nan	21.0	5034.0
MUX5288.WHH4837.unmapped-both-read-and-mate	2.0	480.0	1.0	1.0	nan	30.0	4430.0
MUX5288.WHH4844.unmapped-both-read-and-mate	2.0	400.0	1.0	2.0	1.0	21.0	4027.0
MUX5295.WHH4869.unmapped-both-read-and-mate	1.0	401.0	2.0	nan	nan	25.0	3619.0
MUX5297.WHH4901.unmapped-both-read-and-mate	5.0	386.0	1.0	16.0	nan	336.0	4035.0
MUX5299.WHH4929.unmapped-both-read-and-mate	1.0	502.0	1.0	2.0	nan	37.0	6421.0
MUX5299.WHH4933.unmapped-both-read-and-mate	3.0	462.0	nan	nan	nan	15.0	6204.0
MUX5300.WHH4939.unmapped-both-read-and-mate	4.0	423.0	4.0	3.0	nan	36.0	5550.0
MUX5301.WHB829.unmapped-both-read-and-mate	3.0	352.0	2.0	64.0	1.0	132.0	4891.0
MUX5301.WHB859.unmapped-both-read-and-mate	nan	420.0	4.0	12.0	nan	105.0	4945.0
MUX5301.WHH5002.unmapped-both-read-and-mate	1.0	567.0	5.0	2.0	nan	73.0	6288.0
MUX5303.WHH5035.unmapped-both-read-and-mate	14.0	854.0	24.0	137.0	2.0	7340.0	31380.0
MUX5304.WHH5077.unmapped-both-read-and-mate	10.0	549.0	5.0	3597.0	3.0	362.0	9154.0
MUX5305.WHH4949.unmapped-both-read-and-mate	nan	493.0	1.0	nan	nan	29.0	7443.0
MUX5306.WHH4953.unmapped-both-read-and-mate	2.0	458.0	nan	nan	nan	27.0	7311.0
MUX5306.WHH4957.unmapped-both-read-and-mate	nan	478.0	1.0	1.0	nan	23.0	6658.0
MUX5310.WHH4978.unmapped-both-read-and-mate	2.0	406.0	2.0	4.0	nan	34.0	3742.0
MUX5310.WHH4979.unmapped-both-read-and-mate	2.0	440.0	1.0	5.0	1.0	43.0	4083.0
MUX5310.WHH4980.unmapped-both-read-and-mate	nan	408.0	nan	2.0	4.0	19.0	4091.0
MUX5310.WHH4987.unmapped-both-read-and-mate	5.0	331.0	7.0	1.0	2.0	21.0	3302.0
MUX5311.WHB876.unmapped-both-read-and-mate	26.0	328.0	1.0	3561.0	7.0	234.0	3729.0
MUX5311.WHB879.unmapped-both-read-and-mate	186.0	1776.0	2.0	4.0	4.0	60477.0	179386.0
MUX5311.WHB880.unmapped-both-read-and-mate	214.0	1927.0	1.0	4.0	1.0	59809.0	182826.0
MUX5312.WHB904.unmapped-both-read-and-mate	28.0	415.0	5.0	5660.0	14.0	542.0	5226.0
MUX5312.WHH4990.unmapped-both-read-and-mate	2.0	376.0	33.0	121.0	1.0	250.0	3817.0
MUX5323.WHB742.unmapped-both-read-and-mate	2.0	690.0	19.0	1.0	1.0	99.0	12159.0
MUX5325.WHH4897.unmapped-both-read-and-mate	5.0	722.0	1.0	8.0	nan	861.0	12708.0
MUX5328.WHB907.unmapped-both-read-and-mate	47.0	334.0	8.0	8674.0	15.0	846.0	4938.0
MUX5328.WHB913.unmapped-both-read-and-mate	36.0	334.0	2.0	7606.0	26.0	206.0	3968.0
MUX5328.WHB914.unmapped-both-read-and-mate	3.0	373.0	3.0	1293.0	4.0	91.0	3700.0
MUX5330.WHB929.unmapped-both-read-and-mate	24.0	426.0	4.0	3757.0	12.0	348.0	5499.0
MUX5331.WHB942.unmapped-both-read-and-mate	2.0	396.0	2.0	968.0	2.0	58.0	4204.0
MUX5331.WHB943.unmapped-both-read-and-mate	11.0	400.0	3.0	1316.0	5.0	72.0	4378.0
MUX5339.WHB951.unmapped-both-read-and-mate	24.0	642.0	7.0	4278.0	11.0	421.0	11855.0
MUX5340.WHB962.unmapped-both-read-and-mate	12.0	623.0	nan	409.0	nan	72.0	9875.0
MUX5341.WHB969.unmapped-both-read-and-mate	1.0	468.0	1.0	517.0	1.0	50.0	8272.0
MUX5341.WHB975.unmapped-both-read-and-mate	3.0	562.0	nan	1173.0	nan	102.0	10428.0
MUX5341.WHB979.unmapped-both-read-and-mate	9.0	605.0	nan	894.0	1.0	110.0	9941.0
MUX5344.WHB997.unmapped-both-read-and-mate	45.0	342.0	14.0	12135.0	28.0	1365.0	6172.0
MUX5347.WHB1023.unmapped-both-read-and-mate	3.0	315.0	2.0	1403.0	3.0	61.0	3561.0
MUX5349.WHB1048.unmapped-both-read-and-mate	5.0	418.0	1.0	777.0	nan	55.0	4833.0
MUX5849.WHB1082.unmapped-both-read-and-mate	13.0	352.0	27.0	612.0	nan	522.0	4369.0
MUX5850.WHB1086.unmapped-both-read-and-mate	6.0	407.0	nan	889.0	2.0	101.0	3583.0
MUX5851.WHB1093.unmapped-both-read-and-mate	21.0	395.0	2.0	3007.0	7.0	285.0	4481.0
MUX5851.WHB1094.unmapped-both-read-and-mate	12.0	381.0	5.0	1482.0	2.0	116.0	3928.0
MUX5851.WHB1095.unmapped-both-read-and-mate	8.0	402.0	3.0	1594.0	1.0	167.0	3979.0
MUX5851.WHB1097.unmapped-both-read-and-mate	9.0	356.0	16.0	1177.0	2.0	224.0	3894.0
MUX8076.WHB3389.unmapped-both-read-and-mate	380270.0	755.0	3054.0	544.0	5336.0	98962.0	64906.0
MUX8078.WHB3402.unmapped-both-read-and-mate	564656.0	837.0	4416.0	783.0	7991.0	136684.0	95327.0
MUX8080.WHB3405.unmapped-both-read-and-mate	737710.0	964.0	6739.0	1072.0	10746.0	173005.0	122122.0
MUX8082.WHB3416.unmapped-both-read-and-mate	155610.0	676.0	1589.0	221.0	2219.0	37410.0	34896.0
MUX8084.WHB3428.unmapped-both-read-and-mate	365565.0	908.0	3475.0	536.0	5109.0	80899.0	73822.0
MUX8085.WHB3432.unmapped-both-read-and-mate	362354.0	1066.0	3266.0	517.0	23191.0	80766.0	79564.0
MUX8089.WHB3450.unmapped-both-read-and-mate	516978.0	981.0	4500.0	710.0	7490.0	122097.0	90209.0
MUX8100.WHB3473.unmapped-both-read-and-mate	199280.0	834.0	267.0	271.0	7219.0	23979.0	39635.0
MUX8100.WHB3475.unmapped-both-read-and-mate	803020.0	671.0	1012.0	925.0	82405.0	60100.0	91138.0
MUX8101.WHB3484.unmapped-both-read-and-mate	762417.0	815.0	328.0	932.0	103592.0	52398.0	81625.0
MUX8104.WHB3500.unmapped-both-read-and-mate	1418125.0	899.0	1602.0	1559.0	156006.0	96549.0	144009.0
MUX8106.WHB3510.unmapped-both-read-and-mate	1239720.0	763.0	1419.0	1301.0	124963.0	84499.0	126817.0
MUX8107.WHB3513.unmapped-both-read-and-mate	992310.0	743.0	1220.0	1047.0	114207.0	63769.0	102819.0
MUX8107.WHB3516.unmapped-both-read-and-mate	5979.0	744.0	105.0	43.0	1426.0	5077.0	9506.0
MUX8108.WHB3519.unmapped-both-read-and-mate	310390.0	688.0	180.0	373.0	53007.0	22323.0	38371.0
MUX8119.WHB3530.unmapped-both-read-and-mate	521838.0	936.0	335.0	789.0	153344.0	41431.0	74150.0
MUX8122.WHB3544.unmapped-both-read-and-mate	616643.0	918.0	278.0	729.0	84606.0	43098.0	77245.0
MUX8124.WHB3554.unmapped-both-read-and-mate	271640.0	791.0	183.0	420.0	79046.0	22820.0	48317.0
MUX8183.WHB3574.unmapped-both-read-and-mate	233165.0	1012.0	147.0	272.0	15664.0	39259.0	49023.0
MUX8184.WHB3583.unmapped-both-read-and-mate	214138.0	1127.0	171.0	297.0	11049.0	30483.0	44583.0
MUX8189.WHB3606.unmapped-both-read-and-mate	355149.0	1006.0	276.0	399.0	17610.0	46476.0	59806.0
MUX8193.WHB3624.unmapped-both-read-and-mate	4076.0	832.0	202.0	1634.0	768376.0	12814.0	64876.0
MUX8193.WHB3626.unmapped-both-read-and-mate	47167.0	782.0	222.0	153.0	2195.0	21388.0	23795.0
MUX8194.WHB3629.unmapped-both-read-and-mate	263257.0	817.0	196.0	273.0	14537.0	32055.0	38440.0
MUX8196.WHB3662.unmapped-both-read-and-mate	99.0	1024.0	378.0	1004.0	255.0	11551.0	26458.0
MUX8197.WHB3665.unmapped-both-read-and-mate	89121.0	1059.0	145.0	188.0	1891.0	13661.0	40689.0
MUX8198.WHB3670.unmapped-both-read-and-mate	104956.0	1140.0	86.0	111.0	1545.0	10486.0	40179.0
MUX8205.WHB3645.unmapped-both-read-and-mate	190958.0	847.0	183.0	225.0	13123.0	31346.0	30704.0
MUX8212.WHB3721.unmapped-both-read-and-mate	25818.0	697.0	357.0	115.0	1473.0	11333.0	16614.0
MUX8219.WHB3738.unmapped-both-read-and-mate	144674.0	1093.0	66.0	153.0	2101.0	10993.0	39796.0
MUX8222.WHB3755.unmapped-both-read-and-mate	143281.0	1138.0	288.0	258.0	4569.0	22769.0	43550.0
MUX8235.WHB3758.unmapped-both-read-and-mate	30871.0	896.0	623.0	194.0	1618.0	24691.0	36038.0
MUX8237.WHB3768.unmapped-both-read-and-mate	442098.0	917.0	2431.0	701.0	6386.0	39676.0	67205.0
MUX8238.WHB3775.unmapped-both-read-and-mate	203324.0	872.0	646.0	442.0	2893.0	17007.0	38508.0
MUX8239.WHB3779.unmapped-both-read-and-mate	308739.0	703.0	1664.0	413.0	4411.0	27025.0	44174.0
MUX8241.WHB3789.unmapped-both-read-and-mate	156.0	635.0	202.0	86.0	38.0	10691.0	15754.0
MUX8243.WHB3796.unmapped-both-read-and-mate	361492.0	712.0	669.0	395.0	5027.0	17682.0	40735.0
MUX8243.WHB3798.unmapped-both-read-and-mate	385.0	722.0	1107.0	71.0	29.0	8820.0	16268.0
MUX8244.WHB3803.unmapped-both-read-and-mate	469717.0	789.0	2459.0	612.0	6869.0	38673.0	58958.0
MUX8248.WHB3821.unmapped-both-read-and-mate	199161.0	969.0	430.0	278.0	2701.0	12214.0	48851.0
MUX8248.WHB3822.unmapped-both-read-and-mate	333.0	870.0	245.0	50.0	30.0	5927.0	28041.0
MUX8250.WHB3832.unmapped-both-read-and-mate	295347.0	983.0	514.0	330.0	4144.0	15335.0	51184.0
MUX8250.WHB3836.unmapped-both-read-and-mate	307.0	909.0	289.0	51.0	31.0	6816.0	26842.0
MUX8253.WHB3837.unmapped-both-read-and-mate	414347.0	729.0	2072.0	570.0	5959.0	35544.0	54013.0
MUX8257.WHB4866.unmapped-both-read-and-mate	652428.0	682.0	4103.0	1543.0	9549.0	95240.0	91606.0
MUX8257.WHB4867.unmapped-both-read-and-mate	702567.0	598.0	4685.0	1415.0	10209.0	123623.0	102381.0
MUX8277.WHB4914.unmapped-both-read-and-mate	246518.0	954.0	1720.0	604.0	3669.0	49841.0	59336.0
MUX8277.WHB4916.unmapped-both-read-and-mate	384425.0	858.0	1908.0	545.0	5414.0	33530.0	60439.0
MUX8277.WHB4918.unmapped-both-read-and-mate	274315.0	870.0	1748.0	462.0	3800.0	32985.0	52564.0
MUX8278.WHB4923.unmapped-both-read-and-mate	235309.0	964.0	1309.0	452.0	3458.0	27409.0	48300.0
MUX8281.WHB4938.unmapped-both-read-and-mate	219069.0	634.0	1497.0	613.0	3329.0	49183.0	48680.0
MUX8282.WHB4943.unmapped-both-read-and-mate	458071.0	608.0	2381.0	978.0	6567.0	46601.0	58730.0
MUX8302.WHB4954.unmapped-both-read-and-mate	162756.0	733.0	828.0	315.0	2308.0	23259.0	31789.0
MUX8302.WHB4956.unmapped-both-read-and-mate	261685.0	613.0	1313.0	293.0	3814.0	26887.0	37137.0
MUX8303.WHB4959.unmapped-both-read-and-mate	1430.0	598.0	91.0	48.0	41.0	4443.0	8590.0
MUX8309.WHB4965.unmapped-both-read-and-mate	219758.0	1101.0	998.0	308.0	3039.0	23945.0	58709.0
MUX8310.WHB4969.unmapped-both-read-and-mate	191555.0	1182.0	993.0	283.0	2700.0	18928.0	61202.0
MUX8310.WHB4970.unmapped-both-read-and-mate	1186.0	1188.0	45.0	88.0	16.0	3068.0	44558.0
MUX8314.WHB4990.unmapped-both-read-and-mate	326208.0	944.0	1718.0	447.0	4605.0	33235.0	59828.0
MUX8315.WHB4996.unmapped-both-read-and-mate	694.0	891.0	39.0	23.0	17.0	3177.0	26152.0
MUX8316.WHB5003.unmapped-both-read-and-mate	191076.0	887.0	837.0	230.0	2803.0	16859.0	45765.0
MUX8329.WHB5079.unmapped-both-read-and-mate	100328.0	917.0	179.0	294.0	1419.0	11096.0	25935.0
MUX8329.WHB5082.unmapped-both-read-and-mate	28816.0	908.0	82.0	55.0	398.0	3502.0	13368.0
MUX8330.WHB5084.unmapped-both-read-and-mate	48162.0	859.0	118.0	110.0	668.0	7217.0	15521.0
MUX8332.WHB5095.unmapped-both-read-and-mate	62779.0	669.0	120.0	163.0	872.0	9430.0	17026.0
MUX8337.WHB5109.unmapped-both-read-and-mate	102584.0	766.0	163.0	232.0	1464.0	14279.0	24319.0
MUX8353.WHB5055.unmapped-both-read-and-mate	60146.0	950.0	125.0	116.0	864.0	9860.0	30071.0
MUX8364.WHB5157.unmapped-both-read-and-mate	49299.0	1205.0	175.0	151.0	659.0	12793.0	41381.0
MUX8367.WHB5170.unmapped-both-read-and-mate	65517.0	1146.0	185.0	121.0	959.0	12864.0	29751.0
MUX8367.WHB5172.unmapped-both-read-and-mate	56382.0	1194.0	187.0	154.0	782.0	10598.0	26528.0
MUX8368.WHB5175.unmapped-both-read-and-mate	88588.0	1359.0	197.0	209.0	1295.0	12528.0	30654.0
MUX8368.WHB5176.unmapped-both-read-and-mate	126258.0	1076.0	256.0	227.0	1722.0	14736.0	31134.0
MUX8370.WHB5185.unmapped-both-read-and-mate	91058.0	922.0	182.0	145.0	1281.0	12033.0	23999.0
MUX8386.WHB5341.unmapped-both-read-and-mate	134.0	996.0	88.0	6145.0	55.0	10042.0	27603.0
MUX8388.WHB5350.unmapped-both-read-and-mate	101.0	833.0	81.0	138.0	38.0	11748.0	23712.0
MUX8390.WHB5360.unmapped-both-read-and-mate	295.0	429.0	197.0	330.0	91.0	30099.0	36706.0
MUX8391.WHB5365.unmapped-both-read-and-mate	88.0	744.0	66.0	229.0	31.0	8402.0	15660.0
MUX8435.WHB5403.unmapped-both-read-and-mate	124171.0	1296.0	276.0	355.0	1808.0	21775.0	69147.0
MUX8436.WHB5408.unmapped-both-read-and-mate	167751.0	1065.0	442.0	489.0	2483.0	22689.0	51622.0
MUX8437.WHB5414.unmapped-both-read-and-mate	59452.0	882.0	265.0	740.0	865.0	15746.0	32374.0
MUX8445.WHB5440.unmapped-both-read-and-mate	141020.0	1211.0	362.0	431.0	2071.0	27819.0	57267.0
MUX8459.WHB5456.unmapped-both-read-and-mate	218054.0	693.0	730.0	1004.0	3025.0	32138.0	40092.0
MUX8460.WHB5464.unmapped-both-read-and-mate	87517.0	727.0	244.0	290.0	1332.0	18517.0	23518.0
MUX8461.WHB5469.unmapped-both-read-and-mate	156460.0	621.0	492.0	651.0	2258.0	23841.0	32901.0
MUX8680.WHB5487.unmapped-both-read-and-mate	27.0	664.0	91.0	33.0	1114.0	2355.0	17014.0
MUX8688.WHB5534.unmapped-both-read-and-mate	22.0	525.0	159.0	21.0	1747.0	2041.0	10512.0
MUX8699.WHB5572.unmapped-both-read-and-mate	105.0	388.0	343.0	93.0	4303.0	5373.0	7944.0
MUX8700.WHB5577.unmapped-both-read-and-mate	56.0	375.0	195.0	38.0	1632.0	4551.0	6232.0
MUX8718.WHB5653.unmapped-both-read-and-mate	51.0	721.0	262.0	37.0	2459.0	7422.0	24905.0
MUX8721.WHB5669.unmapped-both-read-and-mate	16.0	426.0	56.0	9.0	672.0	966.0	13376.0
MUX8746.WHB5602.unmapped-both-read-and-mate	18.0	370.0	74.0	4.0	1196.0	1196.0	10249.0
MUX8748.WHB5680.unmapped-both-read-and-mate	50.0	370.0	81.0	24.0	2235.0	3618.0	11019.0
MUX8755.WHB5715.unmapped-both-read-and-mate	32.0	369.0	135.0	20.0	1862.0	1938.0	7387.0
MUX8783.WHB5850.unmapped-both-read-and-mate	91.0	440.0	264.0	150.0	3470.0	6028.0	13219.0
MUX8831.WHH6818.unmapped-both-read-and-mate	95.0	443.0	263.0	111.0	2983.0	4911.0	11317.0
MUX8835.WHH6868.unmapped-both-read-and-mate	119.0	492.0	439.0	166.0	3405.0	7311.0	16465.0
MUX8846.WHH6914.unmapped-both-read-and-mate	173.0	352.0	845.0	195.0	1838.0	7559.0	17301.0
MUX8850.WHH6931.unmapped-both-read-and-mate	65.0	359.0	603.0	56.0	2934.0	3441.0	6704.0
MUX8853.WHH6952.unmapped-both-read-and-mate	127.0	391.0	381.0	102.0	5030.0	5402.0	8356.0
MUX8855.WHH6964.unmapped-both-read-and-mate	79.0	271.0	517.0	46.0	4015.0	3072.0	6058.0
MUX8857.WHH6963.unmapped-both-read-and-mate	58.0	303.0	286.0	48.0	2431.0	3169.0	6270.0
MUX8871.WHH7034.unmapped-both-read-and-mate	68.0	515.0	282.0	84.0	2187.0	3243.0	14611.0
MUX8872.WHH7041.unmapped-both-read-and-mate	61.0	476.0	195.0	51.0	2162.0	5513.0	14772.0
MUX8935.WHH7083.unmapped-both-read-and-mate	80.0	532.0	339.0	68.0	2583.0	3592.0	12209.0
MUX8944.WHH6980.unmapped-both-read-and-mate	166.0	660.0	1380.0	162.0	2560.0	11878.0	33516.0
MUX8946.WHH7080.unmapped-both-read-and-mate	109.0	648.0	412.0	91.0	1817.0	5457.0	27771.0
MUX8950.WHH7139.unmapped-both-read-and-mate	191.0	542.0	616.0	395.0	2024.0	8407.0	19638.0
MUX8950.WHH7142.unmapped-both-read-and-mate	51.0	519.0	204.0	52.0	1436.0	2955.0	16341.0
MUX8951.WHH7153.unmapped-both-read-and-mate	48.0	460.0	121.0	51.0	1372.0	2444.0	11290.0
MUX8951.WHH7158.unmapped-both-read-and-mate	115.0	649.0	1126.0	73.0	2927.0	8962.0	20649.0
MUX8960.WHB3854.unmapped-both-read-and-mate	18.0	1271.0	57.0	28.0	9.0	2640.0	45247.0
MUX8972.WHB3888.unmapped-both-read-and-mate	57.0	876.0	34.0	33.0	18.0	4565.0	20684.0
MUX8974.WHB3866.unmapped-both-read-and-mate	67.0	2478.0	55.0	59.0	27.0	7337.0	105441.0
MUX8975.WHB3864.unmapped-both-read-and-mate	29.0	2088.0	20.0	28.0	14.0	3388.0	84503.0
MUX8981.WHB3909.unmapped-both-read-and-mate	43.0	942.0	37.0	44.0	13.0	4139.0	16872.0
MUX8981.WHB3910.unmapped-both-read-and-mate	23.0	750.0	17.0	20.0	3.0	2276.0	11439.0
MUX8982.WHB3915.unmapped-both-read-and-mate	44.0	1794.0	49.0	47.0	16.0	5038.0	79224.0
MUX8982.WHB3916.unmapped-both-read-and-mate	20.0	1463.0	24.0	14.0	6.0	2321.0	60115.0
MUX8983.WHB3922.unmapped-both-read-and-mate	57.0	1421.0	43.0	25.0	23.0	4585.0	55247.0
MUX8985.WHB3927.unmapped-both-read-and-mate	6.0	904.0	6.0	5.0	1.0	604.0	25553.0
MUX8985.WHB3928.unmapped-both-read-and-mate	36.0	1056.0	24.0	29.0	13.0	2958.0	33141.0
MUX8985.WHB3931.unmapped-both-read-and-mate	32.0	1184.0	23.0	26.0	13.0	3352.0	34753.0
MUX8989.WHB3939.unmapped-both-read-and-mate	51.0	1331.0	44.0	36.0	22.0	5944.0	48488.0
MUX9013.WHB3962.unmapped-both-read-and-mate	47.0	948.0	50.0	53.0	30.0	6892.0	20512.0
MUX9017.WHB3972.unmapped-both-read-and-mate	103.0	1698.0	69.0	86.0	40.0	10667.0	62251.0
MUX9019.WHB3989.unmapped-both-read-and-mate	100.0	1345.0	78.0	92.0	47.0	11345.0	58578.0
MUX9022.WHB3997.unmapped-both-read-and-mate	126.0	790.0	88.0	62.0	28.0	10496.0	16029.0
MUX9022.WHB3999.unmapped-both-read-and-mate	88.0	976.0	63.0	73.0	39.0	10018.0	16628.0
MUX9022.WHB4005.unmapped-both-read-and-mate	78.0	732.0	54.0	61.0	36.0	9556.0	15779.0
MUX9032.WHB4051.unmapped-both-read-and-mate	12.0	774.0	13.0	12.0	4.0	1380.0	18806.0
MUX9037.WHB4006.unmapped-both-read-and-mate	96.0	1093.0	74.0	69.0	34.0	11057.0	38968.0
MUX9037.WHB4007.unmapped-both-read-and-mate	126.0	1403.0	79.0	85.0	22.0	11037.0	44689.0
MUX9038.WHB4011.unmapped-both-read-and-mate	59.0	1203.0	55.0	61.0	19.0	7612.0	36390.0
MUX9038.WHB4012.unmapped-both-read-and-mate	36.0	1094.0	15.0	14.0	6.0	2633.0	26174.0
MUX9046.WHB4035.unmapped-both-read-and-mate	166.0	925.0	109.0	97.0	57.0	17253.0	34503.0
MUX9049.WHB4076.unmapped-both-read-and-mate	46.0	1452.0	17.0	27.0	4.0	2854.0	51900.0
MUX9049.WHB4077.unmapped-both-read-and-mate	26.0	1039.0	15.0	21.0	9.0	2352.0	39799.0
MUX9058.WHB4122.unmapped-both-read-and-mate	18.0	1146.0	77.0	31.0	4.0	2979.0	22768.0
MUX9084.WHB4137.unmapped-both-read-and-mate	12.0	421.0	13.0	28.0	8.0	2296.0	7481.0
MUX9085.WHB4142.unmapped-both-read-and-mate	8.0	818.0	21.0	9.0	1.0	587.0	6459.0
MUX9094.WHB4183.unmapped-both-read-and-mate	7.0	787.0	74.0	139.0	6.0	4685.0	15662.0
MUX9097.WHB4203.unmapped-both-read-and-mate	47.0	1033.0	49.0	29.0	nan	1864.0	16767.0
MUX9101.WHB4211.unmapped-both-read-and-mate	2.0	558.0	56.0	62.0	2.0	3003.0	5499.0
MUX9101.WHB4223.unmapped-both-read-and-mate	2.0	683.0	14.0	23.0	nan	775.0	5547.0
MUX9102.WHB4228.unmapped-both-read-and-mate	225.0	637.0	49.0	49.0	4.0	1612.0	5490.0
MUX9103.WHB4235.unmapped-both-read-and-mate	41.0	777.0	63.0	52.0	3.0	2154.0	6012.0
MUX9109.WHB4261.unmapped-both-read-and-mate	1.0	835.0	20.0	7.0	nan	418.0	28866.0
MUX9123.WHB4276.unmapped-both-read-and-mate	8.0	570.0	52.0	15.0	2.0	1252.0	6439.0
MUX9123.WHB4278.unmapped-both-read-and-mate	3.0	646.0	23.0	5.0	1.0	391.0	7364.0
MUX9126.WHB4281.unmapped-both-read-and-mate	57.0	1053.0	54.0	23.0	2.0	1216.0	22458.0
MUX9126.WHB4291.unmapped-both-read-and-mate	53.0	835.0	102.0	33.0	2.0	2581.0	16602.0
MUX9127.WHB4298.unmapped-both-read-and-mate	3.0	963.0	10.0	11.0	1.0	649.0	16545.0
MUX9130.WHB4315.unmapped-both-read-and-mate	7.0	739.0	16.0	9.0	1.0	338.0	8154.0
MUX9132.WHB4326.unmapped-both-read-and-mate	2.0	536.0	16.0	4.0	1.0	416.0	5082.0
MUX9137.WHB4338.unmapped-both-read-and-mate	10.0	1296.0	24.0	14.0	1.0	456.0	35128.0
MUX9142.WHB4367.unmapped-both-read-and-mate	18.0	745.0	22.0	7.0	5.0	576.0	7094.0
MUX9143.WHB4376.unmapped-both-read-and-mate	7.0	663.0	3.0	134.0	nan	147.0	5104.0
MUX9144.WHB4381.unmapped-both-read-and-mate	3.0	789.0	11.0	5.0	1.0	324.0	5418.0
MUX9145.WHB4387.unmapped-both-read-and-mate	13.0	801.0	73.0	10.0	nan	933.0	9648.0
MUX9148.WHB4394.unmapped-both-read-and-mate	4.0	859.0	18.0	8.0	nan	351.0	10887.0
MUX9148.WHB4400.unmapped-both-read-and-mate	4.0	901.0	64.0	9.0	1.0	708.0	11157.0
MUX9152.WHB4413.unmapped-both-read-and-mate	23.0	719.0	9.0	3.0	nan	109.0	6278.0
MUX9159.WHB4450.unmapped-both-read-and-mate	11.0	1995.0	11.0	6.0	3.0	2004.0	66492.0
MUX9159.WHB4451.unmapped-both-read-and-mate	10.0	1959.0	16.0	14.0	4.0	961.0	62720.0
MUX9194.WHB4480.unmapped-both-read-and-mate	16.0	774.0	16.0	5.0	2.0	781.0	5810.0
MUX9196.WHB4490.unmapped-both-read-and-mate	16.0	865.0	23.0	16.0	1.0	1399.0	8313.0
MUX9197.WHB4504.unmapped-both-read-and-mate	14.0	607.0	23.0	5.0	2.0	738.0	7764.0
MUX9200.WHB4515.unmapped-both-read-and-mate	16.0	944.0	93.0	16.0	6.0	3017.0	29637.0
MUX9201.WHB4526.unmapped-both-read-and-mate	18.0	899.0	36.0	22.0	12.0	3041.0	25869.0
MUX9204.WHB4539.unmapped-both-read-and-mate	29.0	1348.0	142.0	50.0	11.0	6199.0	65421.0
MUX9207.WHB4544.unmapped-both-read-and-mate	86.0	812.0	64.0	21.0	17.0	2447.0	15459.0
MUX9208.WHB4550.unmapped-both-read-and-mate	35.0	1087.0	88.0	44.0	12.0	3893.0	20932.0
MUX9210.WHB4560.unmapped-both-read-and-mate	27.0	954.0	130.0	30.0	5.0	3861.0	21299.0
MUX9216.WHB4587.unmapped-both-read-and-mate	7.0	1218.0	10.0	16.0	2.0	1288.0	49532.0
MUX9217.WHB4589.unmapped-both-read-and-mate	12.0	1272.0	21.0	18.0	4.0	1948.0	54100.0
MUX9227.WHB4596.unmapped-both-read-and-mate	16.0	826.0	16.0	12.0	3.0	1321.0	15558.0
MUX9227.WHB4598.unmapped-both-read-and-mate	30.0	645.0	37.0	22.0	11.0	2732.0	14584.0
MUX9228.WHB4604.unmapped-both-read-and-mate	18.0	961.0	18.0	12.0	2.0	2095.0	19776.0
MUX9229.WHB4603.unmapped-both-read-and-mate	42.0	810.0	29.0	21.0	13.0	2531.0	17554.0
MUX9229.WHB4605.unmapped-both-read-and-mate	36.0	862.0	32.0	30.0	9.0	3230.0	18872.0
MUX9232.WHB4622.unmapped-both-read-and-mate	15.0	1019.0	30.0	10.0	nan	533.0	33066.0
MUX9233.WHB4628.unmapped-both-read-and-mate	4.0	829.0	19.0	9.0	nan	419.0	26466.0
MUX9237.WHB4643.unmapped-both-read-and-mate	nan	1767.0	8.0	7.0	2.0	231.0	72358.0
MUX9238.WHB4651.unmapped-both-read-and-mate	45.0	1314.0	28.0	4.0	nan	523.0	50714.0
MUX9240.WHB4661.unmapped-both-read-and-mate	8.0	1248.0	75.0	6.0	nan	1122.0	43945.0
MUX9241.WHB4720.unmapped-both-read-and-mate	2.0	575.0	14.0	2.0	4.0	154.0	9455.0
MUX9242.WHB4667.unmapped-both-read-and-mate	nan	615.0	15.0	10.0	1.0	381.0	10144.0
MUX9245.WHB4689.unmapped-both-read-and-mate	7.0	1036.0	15.0	5.0	nan	257.0	32533.0
MUX9254.WHB4669.unmapped-both-read-and-mate	6.0	600.0	30.0	12.0	1.0	596.0	7407.0
MUX9255.WHB4675.unmapped-both-read-and-mate	3.0	585.0	10.0	9.0	1.0	564.0	6153.0
MUX9261.WHB4710.unmapped-both-read-and-mate	6.0	758.0	10.0	8.0	3.0	200.0	15909.0
MUX9263.WHB4722.unmapped-both-read-and-mate	nan	781.0	36.0	9.0	2.0	505.0	15408.0
MUX9264.WHB4715.unmapped-both-read-and-mate	10.0	683.0	16.0	7.0	nan	310.0	8552.0
MUX9276.WHB4733.unmapped-both-read-and-mate	10.0	1038.0	29.0	8.0	nan	530.0	37055.0
