Sample	Pseudomonadaceae	Hominidae	Sphingomonadaceae	Burkholderiaceae	Alcaligenaceae	Other	Unclassified
MUX10444.WHB8481.unmapped-both-read-and-mate	58.0	686.0	12773.0	134.0	31.0	3257.0	34828.0
MUX10464.WHB8520.unmapped-both-read-and-mate	59.0	742.0	9935.0	129.0	13.0	3025.0	62190.0
MUX10469.WHB8551.unmapped-both-read-and-mate	3.0	658.0	2022.0	31.0	5.0	689.0	20995.0
MUX10474.WHB8575.unmapped-both-read-and-mate	26.0	816.0	5182.0	100.0	8.0	1634.0	26384.0
MUX10479.WHB8597.unmapped-both-read-and-mate	75.0	711.0	10989.0	195.0	28.0	2968.0	29155.0
MUX10492.WHB8665.unmapped-both-read-and-mate	13.0	704.0	3064.0	33.0	6.0	801.0	27459.0
MUX10493.WHB8672.unmapped-both-read-and-mate	20.0	294.0	2032.0	20.0	5.0	566.0	4787.0
MUX10498.WHB8695.unmapped-both-read-and-mate	21.0	305.0	4597.0	43.0	9.0	1907.0	6727.0
MUX10498.WHB8696.unmapped-both-read-and-mate	78.0	345.0	12017.0	114.0	21.0	5488.0	13531.0
MUX10519.WHB8747.unmapped-both-read-and-mate	119.0	326.0	8079.0	3024.0	75.0	4463.0	12079.0
MUX10519.WHB8748.unmapped-both-read-and-mate	142.0	340.0	6319.0	6042.0	82.0	4250.0	12226.0
MUX10560.WHB6725.unmapped-both-read-and-mate	15.0	359.0	39.0	18.0	7.0	2757.0	5204.0
MUX10566.WHB7958.unmapped-both-read-and-mate	76.0	384.0	15872.0	128.0	30.0	4512.0	15070.0
MUX10590.WHB8028.unmapped-both-read-and-mate	76.0	537.0	10339.0	93.0	15.0	2936.0	15218.0
MUX10606.WHB10691.unmapped-both-read-and-mate	730.0	369.0	100649.0	1773.0	303.0	45468.0	127361.0
MUX10610.WHB10715.unmapped-both-read-and-mate	126.0	462.0	18369.0	287.0	58.0	8557.0	29708.0
MUX10622.WHB10737.unmapped-both-read-and-mate	95.0	340.0	13659.0	191.0	49.0	5331.0	18792.0
MUX10625.WHB10754.unmapped-both-read-and-mate	434.0	422.0	64052.0	1436.0	192.0	28467.0	78508.0
MUX10630.WHB10840.unmapped-both-read-and-mate	1223.0	410.0	174463.0	2609.0	480.0	76646.0	209310.0
MUX10638.WHB10782.unmapped-both-read-and-mate	523.0	554.0	74626.0	1077.0	222.0	32751.0	106647.0
MUX10642.WHB10865.unmapped-both-read-and-mate	1132.0	377.0	8288.0	143.0	24.0	5057.0	23569.0
MUX10668.WHB10816.unmapped-both-read-and-mate	127.0	554.0	15620.0	242.0	45.0	7169.0	27708.0
MUX10668.WHB10820.unmapped-both-read-and-mate	1405.0	748.0	200613.0	4625.0	577.0	91807.0	259101.0
MUX10670.WHB10829.unmapped-both-read-and-mate	495.0	377.0	79527.0	1106.0	225.0	35148.0	103376.0
MUX10675.WHB10986.unmapped-both-read-and-mate	1253.0	554.0	16566.0	244.0	46.0	9263.0	25348.0
