Sample	Pseudomonas	Homo	Ralstonia	Alcaligenes	Sphingomonas	Other	Unclassified
MUX10464.WHB8520.unmapped-both-read-and-mate	57.0	742.0	28.0	nan	3178.0	9898.0	62190.0
MUX10469.WHB8551.unmapped-both-read-and-mate	3.0	658.0	12.0	1.0	643.0	2091.0	20995.0
MUX10474.WHB8575.unmapped-both-read-and-mate	25.0	816.0	8.0	nan	1875.0	5042.0	26384.0
MUX10479.WHB8597.unmapped-both-read-and-mate	75.0	711.0	31.0	nan	3680.0	10469.0	29155.0
MUX10492.WHB8665.unmapped-both-read-and-mate	13.0	704.0	3.0	nan	995.0	2906.0	27459.0
MUX10493.WHB8672.unmapped-both-read-and-mate	20.0	294.0	3.0	nan	642.0	1978.0	4787.0
MUX10498.WHB8695.unmapped-both-read-and-mate	21.0	305.0	4.0	2.0	1346.0	5204.0	6727.0
MUX10498.WHB8696.unmapped-both-read-and-mate	78.0	345.0	12.0	nan	3522.0	14106.0	13531.0
MUX10519.WHB8747.unmapped-both-read-and-mate	117.0	326.0	2576.0	26.0	2477.0	10564.0	12079.0
MUX10519.WHB8748.unmapped-both-read-and-mate	140.0	340.0	5236.0	29.0	1744.0	9686.0	12226.0
MUX10560.WHB6725.unmapped-both-read-and-mate	15.0	359.0	1.0	nan	6.0	2814.0	5204.0
MUX10566.WHB7958.unmapped-both-read-and-mate	74.0	384.0	5.0	nan	5592.0	14947.0	15070.0
MUX10590.WHB8028.unmapped-both-read-and-mate	74.0	537.0	11.0	nan	3444.0	9930.0	15218.0
MUX10606.WHB10691.unmapped-both-read-and-mate	713.0	369.0	241.0	1.0	52273.0	95695.0	127361.0
MUX10610.WHB10715.unmapped-both-read-and-mate	125.0	462.0	32.0	nan	9658.0	17582.0	29708.0
MUX10622.WHB10737.unmapped-both-read-and-mate	94.0	340.0	7.0	nan	7208.0	12016.0	18792.0
MUX10625.WHB10754.unmapped-both-read-and-mate	430.0	422.0	588.0	nan	33949.0	59614.0	78508.0
MUX10630.WHB10840.unmapped-both-read-and-mate	1197.0	410.0	266.0	6.0	91377.0	162575.0	209310.0
MUX10638.WHB10782.unmapped-both-read-and-mate	513.0	554.0	54.0	3.0	39299.0	69330.0	106647.0
MUX10642.WHB10865.unmapped-both-read-and-mate	1131.0	377.0	10.0	nan	4440.0	9063.0	23569.0
MUX10668.WHB10816.unmapped-both-read-and-mate	126.0	554.0	19.0	2.0	8218.0	14838.0	27708.0
MUX10668.WHB10820.unmapped-both-read-and-mate	1388.0	748.0	242.0	3.0	106115.0	191279.0	259101.0
MUX10670.WHB10829.unmapped-both-read-and-mate	491.0	377.0	53.0	nan	41853.0	74104.0	103376.0
MUX10675.WHB10986.unmapped-both-read-and-mate	1252.0	554.0	18.0	2.0	8664.0	17436.0	25348.0
