Sample	Pseudomonas	Homo	Ralstonia	Alcaligenes	Sphingomonas	Other	Unclassified
MUX5299.WHH4933.unmapped-both-read-and-mate	3.0	462.0	nan	nan	nan	15.0	6204.0
MUX5300.WHH4939.unmapped-both-read-and-mate	4.0	423.0	nan	nan	4.0	39.0	5550.0
MUX5301.WHB829.unmapped-both-read-and-mate	3.0	352.0	nan	nan	1.0	198.0	4891.0
MUX5301.WHB859.unmapped-both-read-and-mate	nan	420.0	nan	nan	2.0	119.0	4945.0
MUX5301.WHH5002.unmapped-both-read-and-mate	1.0	567.0	1.0	nan	1.0	78.0	6288.0
MUX5303.WHH5035.unmapped-both-read-and-mate	14.0	854.0	124.0	nan	6.0	7373.0	31380.0
MUX5304.WHH5077.unmapped-both-read-and-mate	10.0	549.0	582.0	nan	2.0	3383.0	9154.0
MUX5305.WHH4949.unmapped-both-read-and-mate	nan	493.0	nan	nan	1.0	29.0	7443.0
MUX5306.WHH4953.unmapped-both-read-and-mate	2.0	458.0	nan	nan	nan	27.0	7311.0
MUX5306.WHH4957.unmapped-both-read-and-mate	nan	478.0	nan	nan	nan	25.0	6658.0
MUX5310.WHH4978.unmapped-both-read-and-mate	2.0	406.0	nan	nan	2.0	38.0	3742.0
MUX5310.WHH4979.unmapped-both-read-and-mate	2.0	440.0	2.0	nan	1.0	47.0	4083.0
MUX5310.WHH4980.unmapped-both-read-and-mate	nan	408.0	1.0	nan	nan	24.0	4091.0
MUX5310.WHH4987.unmapped-both-read-and-mate	5.0	331.0	nan	nan	6.0	25.0	3302.0
MUX5311.WHB876.unmapped-both-read-and-mate	26.0	328.0	3418.0	1.0	1.0	383.0	3729.0
MUX5311.WHB879.unmapped-both-read-and-mate	186.0	1776.0	3.0	3.0	nan	60481.0	179386.0
MUX5311.WHB880.unmapped-both-read-and-mate	213.0	1927.0	4.0	1.0	1.0	59810.0	182826.0
MUX5312.WHB904.unmapped-both-read-and-mate	28.0	415.0	4055.0	nan	nan	2166.0	5226.0
MUX5312.WHH4990.unmapped-both-read-and-mate	2.0	376.0	104.0	nan	13.0	288.0	3817.0
MUX5323.WHB742.unmapped-both-read-and-mate	2.0	690.0	nan	nan	2.0	118.0	12159.0
MUX5325.WHH4897.unmapped-both-read-and-mate	5.0	722.0	3.0	nan	nan	867.0	12708.0
MUX5328.WHB907.unmapped-both-read-and-mate	47.0	334.0	5905.0	1.0	6.0	3631.0	4938.0
MUX5328.WHB913.unmapped-both-read-and-mate	35.0	334.0	6380.0	1.0	2.0	1458.0	3968.0
MUX5328.WHB914.unmapped-both-read-and-mate	3.0	373.0	1241.0	nan	nan	150.0	3700.0
MUX5330.WHB929.unmapped-both-read-and-mate	23.0	426.0	2777.0	nan	2.0	1343.0	5499.0
MUX5331.WHB942.unmapped-both-read-and-mate	2.0	396.0	923.0	1.0	2.0	104.0	4204.0
MUX5331.WHB943.unmapped-both-read-and-mate	11.0	400.0	1258.0	nan	nan	138.0	4378.0
MUX5339.WHB951.unmapped-both-read-and-mate	24.0	642.0	2942.0	nan	5.0	1770.0	11855.0
MUX5340.WHB962.unmapped-both-read-and-mate	12.0	623.0	392.0	nan	nan	89.0	9875.0
MUX5341.WHB969.unmapped-both-read-and-mate	1.0	468.0	500.0	nan	1.0	68.0	8272.0
MUX5341.WHB975.unmapped-both-read-and-mate	3.0	562.0	1133.0	nan	nan	142.0	10428.0
MUX5341.WHB979.unmapped-both-read-and-mate	9.0	605.0	856.0	nan	nan	149.0	9941.0
MUX5344.WHB997.unmapped-both-read-and-mate	45.0	342.0	8874.0	nan	6.0	4662.0	6172.0
MUX5347.WHB1023.unmapped-both-read-and-mate	3.0	315.0	1351.0	nan	1.0	117.0	3561.0
MUX5349.WHB1048.unmapped-both-read-and-mate	5.0	418.0	739.0	nan	1.0	93.0	4833.0
MUX5849.WHB1082.unmapped-both-read-and-mate	13.0	352.0	586.0	nan	11.0	564.0	4369.0
MUX5850.WHB1086.unmapped-both-read-and-mate	6.0	407.0	845.0	nan	nan	147.0	3583.0
MUX5851.WHB1093.unmapped-both-read-and-mate	21.0	395.0	2905.0	nan	1.0	395.0	4481.0
MUX5851.WHB1094.unmapped-both-read-and-mate	12.0	381.0	1421.0	nan	3.0	181.0	3928.0
MUX5851.WHB1095.unmapped-both-read-and-mate	8.0	402.0	1535.0	nan	nan	230.0	3979.0
MUX5851.WHB1097.unmapped-both-read-and-mate	9.0	356.0	1136.0	nan	11.0	272.0	3894.0
MUX8076.WHB3389.unmapped-both-read-and-mate	379996.0	755.0	66.0	1.0	2068.0	106035.0	64906.0
MUX8078.WHB3402.unmapped-both-read-and-mate	564251.0	837.0	91.0	2.0	2919.0	147267.0	95327.0
MUX8080.WHB3405.unmapped-both-read-and-mate	737130.0	964.0	193.0	5.0	4487.0	187457.0	122122.0
MUX8082.WHB3416.unmapped-both-read-and-mate	155492.0	676.0	24.0	2.0	1103.0	40428.0	34896.0
MUX8084.WHB3428.unmapped-both-read-and-mate	365292.0	908.0	100.0	2.0	2356.0	87834.0	73822.0
MUX8085.WHB3432.unmapped-both-read-and-mate	362054.0	1066.0	67.0	2.0	2197.0	105774.0	79564.0
MUX8089.WHB3450.unmapped-both-read-and-mate	516571.0	981.0	92.0	5.0	3041.0	132066.0	90209.0
MUX8100.WHB3473.unmapped-both-read-and-mate	199140.0	834.0	45.0	5.0	134.0	31692.0	39635.0
MUX8100.WHB3475.unmapped-both-read-and-mate	802415.0	671.0	96.0	8.0	630.0	144313.0	91138.0
MUX8101.WHB3484.unmapped-both-read-and-mate	761848.0	815.0	88.0	18.0	171.0	157542.0	81625.0
MUX8104.WHB3500.unmapped-both-read-and-mate	1417062.0	899.0	150.0	20.0	995.0	255614.0	144009.0
MUX8106.WHB3510.unmapped-both-read-and-mate	1238640.0	763.0	124.0	13.0	887.0	212238.0	126817.0
MUX8107.WHB3513.unmapped-both-read-and-mate	991537.0	743.0	91.0	14.0	760.0	180151.0	102819.0
MUX8107.WHB3516.unmapped-both-read-and-mate	5975.0	744.0	14.0	1.0	47.0	6593.0	9506.0
MUX8108.WHB3519.unmapped-both-read-and-mate	310132.0	688.0	55.0	7.0	82.0	75997.0	38371.0
MUX8119.WHB3530.unmapped-both-read-and-mate	521467.0	936.0	106.0	12.0	170.0	195982.0	74150.0
MUX8122.WHB3544.unmapped-both-read-and-mate	616183.0	918.0	80.0	9.0	137.0	128945.0	77245.0
MUX8124.WHB3554.unmapped-both-read-and-mate	271432.0	791.0	36.0	13.0	88.0	102540.0	48317.0
MUX8183.WHB3574.unmapped-both-read-and-mate	232947.0	1012.0	33.0	5.0	79.0	55443.0	49023.0
MUX8184.WHB3583.unmapped-both-read-and-mate	213974.0	1127.0	36.0	3.0	78.0	42047.0	44583.0
MUX8189.WHB3606.unmapped-both-read-and-mate	354901.0	1006.0	63.0	5.0	134.0	64807.0	59806.0
MUX8193.WHB3624.unmapped-both-read-and-mate	4049.0	832.0	91.0	61.0	117.0	782784.0	64876.0
MUX8193.WHB3626.unmapped-both-read-and-mate	47120.0	782.0	19.0	nan	94.0	23892.0	23795.0
MUX8194.WHB3629.unmapped-both-read-and-mate	263046.0	817.0	31.0	1.0	88.0	47152.0	38440.0
MUX8196.WHB3662.unmapped-both-read-and-mate	94.0	1024.0	877.0	1.0	228.0	12087.0	26458.0
MUX8197.WHB3665.unmapped-both-read-and-mate	89053.0	1059.0	29.0	nan	57.0	15867.0	40689.0
MUX8198.WHB3670.unmapped-both-read-and-mate	104888.0	1140.0	13.0	1.0	35.0	12247.0	40179.0
MUX8205.WHB3645.unmapped-both-read-and-mate	190782.0	847.0	20.0	1.0	93.0	44939.0	30704.0
MUX8212.WHB3721.unmapped-both-read-and-mate	25792.0	697.0	32.0	1.0	178.0	13093.0	16614.0
MUX8219.WHB3738.unmapped-both-read-and-mate	144568.0	1093.0	16.0	1.0	26.0	13376.0	39796.0
MUX8222.WHB3755.unmapped-both-read-and-mate	143165.0	1138.0	30.0	nan	149.0	27821.0	43550.0
MUX8235.WHB3758.unmapped-both-read-and-mate	30843.0	896.0	36.0	1.0	274.0	26843.0	36038.0
MUX8237.WHB3768.unmapped-both-read-and-mate	441709.0	917.0	65.0	3.0	512.0	49003.0	67205.0
MUX8238.WHB3775.unmapped-both-read-and-mate	203161.0	872.0	31.0	2.0	196.0	20922.0	38508.0
MUX8239.WHB3779.unmapped-both-read-and-mate	308463.0	703.0	38.0	2.0	399.0	33350.0	44174.0
MUX8241.WHB3789.unmapped-both-read-and-mate	156.0	635.0	18.0	nan	91.0	10908.0	15754.0
MUX8243.WHB3796.unmapped-both-read-and-mate	361210.0	712.0	42.0	1.0	285.0	23727.0	40735.0
MUX8243.WHB3798.unmapped-both-read-and-mate	383.0	722.0	8.0	nan	704.0	9317.0	16268.0
MUX8244.WHB3803.unmapped-both-read-and-mate	469373.0	789.0	46.0	1.0	623.0	48287.0	58958.0
MUX8248.WHB3821.unmapped-both-read-and-mate	198983.0	969.0	24.0	4.0	143.0	15630.0	48851.0
MUX8248.WHB3822.unmapped-both-read-and-mate	332.0	870.0	6.0	nan	117.0	6130.0	28041.0
MUX8250.WHB3832.unmapped-both-read-and-mate	295108.0	983.0	40.0	nan	174.0	20348.0	51184.0
MUX8250.WHB3836.unmapped-both-read-and-mate	304.0	909.0	10.0	1.0	133.0	7046.0	26842.0
MUX8253.WHB3837.unmapped-both-read-and-mate	414013.0	729.0	48.0	5.0	461.0	43965.0	54013.0
MUX8257.WHB4866.unmapped-both-read-and-mate	651941.0	682.0	90.0	5.0	1068.0	109759.0	91606.0
MUX8257.WHB4867.unmapped-both-read-and-mate	702070.0	598.0	124.0	11.0	1223.0	139071.0	102381.0
MUX8277.WHB4914.unmapped-both-read-and-mate	246299.0	954.0	63.0	4.0	456.0	55530.0	59336.0
MUX8277.WHB4916.unmapped-both-read-and-mate	384136.0	858.0	37.0	2.0	435.0	41212.0	60439.0
MUX8277.WHB4918.unmapped-both-read-and-mate	274104.0	870.0	44.0	2.0	417.0	38743.0	52564.0
MUX8278.WHB4923.unmapped-both-read-and-mate	235142.0	964.0	47.0	2.0	288.0	32458.0	48300.0
MUX8281.WHB4938.unmapped-both-read-and-mate	218892.0	634.0	43.0	3.0	416.0	54337.0	48680.0
MUX8282.WHB4943.unmapped-both-read-and-mate	457729.0	608.0	66.0	7.0	540.0	56256.0	58730.0
MUX8302.WHB4954.unmapped-both-read-and-mate	162638.0	733.0	22.0	2.0	192.0	26612.0	31789.0
MUX8302.WHB4956.unmapped-both-read-and-mate	261484.0	613.0	27.0	3.0	337.0	32141.0	37137.0
MUX8303.WHB4959.unmapped-both-read-and-mate	1430.0	598.0	8.0	nan	20.0	4595.0	8590.0
MUX8309.WHB4965.unmapped-both-read-and-mate	219573.0	1101.0	26.0	3.0	209.0	28237.0	58709.0
MUX8310.WHB4969.unmapped-both-read-and-mate	191411.0	1182.0	22.0	2.0	282.0	22742.0	61202.0
MUX8310.WHB4970.unmapped-both-read-and-mate	1186.0	1188.0	7.0	nan	13.0	3197.0	44558.0
MUX8314.WHB4990.unmapped-both-read-and-mate	325928.0	944.0	47.0	2.0	387.0	39849.0	59828.0
MUX8315.WHB4996.unmapped-both-read-and-mate	693.0	891.0	4.0	nan	13.0	3240.0	26152.0
MUX8316.WHB5003.unmapped-both-read-and-mate	190906.0	887.0	24.0	4.0	208.0	20663.0	45765.0
MUX8329.WHB5079.unmapped-both-read-and-mate	100248.0	917.0	16.0	2.0	47.0	13003.0	25935.0
MUX8329.WHB5082.unmapped-both-read-and-mate	28804.0	908.0	5.0	nan	21.0	4023.0	13368.0
MUX8330.WHB5084.unmapped-both-read-and-mate	48121.0	859.0	6.0	nan	30.0	8118.0	15521.0
MUX8332.WHB5095.unmapped-both-read-and-mate	62725.0	669.0	8.0	nan	34.0	10597.0	17026.0
MUX8337.WHB5109.unmapped-both-read-and-mate	102514.0	766.0	19.0	2.0	67.0	16120.0	24319.0
MUX8353.WHB5055.unmapped-both-read-and-mate	60099.0	950.0	10.0	nan	46.0	10956.0	30071.0
MUX8364.WHB5157.unmapped-both-read-and-mate	49265.0	1205.0	10.0	nan	61.0	13741.0	41381.0
MUX8367.WHB5170.unmapped-both-read-and-mate	65474.0	1146.0	14.0	nan	68.0	14090.0	29751.0
MUX8367.WHB5172.unmapped-both-read-and-mate	56335.0	1194.0	12.0	nan	65.0	11691.0	26528.0
MUX8368.WHB5175.unmapped-both-read-and-mate	88523.0	1359.0	18.0	1.0	40.0	14235.0	30654.0
MUX8368.WHB5176.unmapped-both-read-and-mate	126162.0	1076.0	20.0	2.0	75.0	16940.0	31134.0
MUX8370.WHB5185.unmapped-both-read-and-mate	90994.0	922.0	14.0	nan	47.0	13644.0	23999.0
MUX8386.WHB5341.unmapped-both-read-and-mate	131.0	996.0	4946.0	nan	30.0	11357.0	27603.0
MUX8388.WHB5350.unmapped-both-read-and-mate	100.0	833.0	13.0	nan	35.0	11958.0	23712.0
MUX8390.WHB5360.unmapped-both-read-and-mate	293.0	429.0	89.0	1.0	79.0	30550.0	36706.0
MUX8391.WHB5365.unmapped-both-read-and-mate	87.0	744.0	146.0	nan	23.0	8560.0	15660.0
MUX8435.WHB5403.unmapped-both-read-and-mate	124089.0	1296.0	25.0	1.0	75.0	24195.0	69147.0
MUX8436.WHB5408.unmapped-both-read-and-mate	167623.0	1065.0	30.0	1.0	133.0	26067.0	51622.0
MUX8437.WHB5414.unmapped-both-read-and-mate	59405.0	882.0	13.0	2.0	87.0	17561.0	32374.0
MUX8445.WHB5440.unmapped-both-read-and-mate	140910.0	1211.0	23.0	2.0	94.0	30674.0	57267.0
MUX8459.WHB5456.unmapped-both-read-and-mate	217880.0	693.0	40.0	3.0	227.0	36801.0	40092.0
MUX8460.WHB5464.unmapped-both-read-and-mate	87427.0	727.0	10.0	1.0	63.0	20399.0	23518.0
MUX8461.WHB5469.unmapped-both-read-and-mate	156328.0	621.0	33.0	nan	159.0	27182.0	32901.0
MUX8680.WHB5487.unmapped-both-read-and-mate	27.0	664.0	5.0	1092.0	72.0	2424.0	17014.0
MUX8688.WHB5534.unmapped-both-read-and-mate	22.0	525.0	11.0	1732.0	126.0	2099.0	10512.0
MUX8699.WHB5572.unmapped-both-read-and-mate	104.0	388.0	22.0	4247.0	287.0	5557.0	7944.0
MUX8700.WHB5577.unmapped-both-read-and-mate	56.0	375.0	7.0	1594.0	140.0	4675.0	6232.0
MUX8718.WHB5653.unmapped-both-read-and-mate	51.0	721.0	11.0	2435.0	181.0	7553.0	24905.0
MUX8721.WHB5669.unmapped-both-read-and-mate	16.0	426.0	1.0	662.0	32.0	1008.0	13376.0
MUX8746.WHB5602.unmapped-both-read-and-mate	18.0	370.0	1.0	1177.0	63.0	1229.0	10249.0
MUX8748.WHB5680.unmapped-both-read-and-mate	50.0	370.0	8.0	2219.0	66.0	3665.0	11019.0
MUX8755.WHB5715.unmapped-both-read-and-mate	31.0	369.0	4.0	1839.0	110.0	2003.0	7387.0
MUX8783.WHB5850.unmapped-both-read-and-mate	89.0	440.0	28.0	3415.0	189.0	6282.0	13219.0
MUX8831.WHH6818.unmapped-both-read-and-mate	93.0	443.0	31.0	2933.0	197.0	5109.0	11317.0
MUX8835.WHH6868.unmapped-both-read-and-mate	119.0	492.0	44.0	3336.0	313.0	7628.0	16465.0
MUX8846.WHH6914.unmapped-both-read-and-mate	169.0	352.0	32.0	1777.0	536.0	8096.0	17301.0
MUX8850.WHH6931.unmapped-both-read-and-mate	63.0	359.0	5.0	2895.0	481.0	3655.0	6704.0
MUX8853.WHH6952.unmapped-both-read-and-mate	127.0	391.0	17.0	4967.0	310.0	5621.0	8356.0
MUX8855.WHH6964.unmapped-both-read-and-mate	79.0	271.0	13.0	3965.0	427.0	3245.0	6058.0
MUX8857.WHH6963.unmapped-both-read-and-mate	57.0	303.0	6.0	2396.0	231.0	3302.0	6270.0
MUX8871.WHH7034.unmapped-both-read-and-mate	68.0	515.0	13.0	2154.0	221.0	3408.0	14611.0
MUX8872.WHH7041.unmapped-both-read-and-mate	61.0	476.0	14.0	2131.0	130.0	5646.0	14772.0
MUX8935.WHH7083.unmapped-both-read-and-mate	80.0	532.0	14.0	2535.0	247.0	3786.0	12209.0
MUX8944.WHH6980.unmapped-both-read-and-mate	166.0	660.0	40.0	2516.0	972.0	12452.0	33516.0
MUX8946.WHH7080.unmapped-both-read-and-mate	108.0	648.0	14.0	1783.0	300.0	5681.0	27771.0
MUX8950.WHH7139.unmapped-both-read-and-mate	186.0	542.0	64.0	1891.0	443.0	9049.0	19638.0
MUX8950.WHH7142.unmapped-both-read-and-mate	51.0	519.0	8.0	1423.0	134.0	3082.0	16341.0
MUX8951.WHH7153.unmapped-both-read-and-mate	47.0	460.0	10.0	1351.0	86.0	2542.0	11290.0
MUX8951.WHH7158.unmapped-both-read-and-mate	113.0	649.0	18.0	2876.0	890.0	9306.0	20649.0
MUX8960.WHB3854.unmapped-both-read-and-mate	18.0	1271.0	5.0	nan	36.0	2693.0	45247.0
MUX8972.WHB3888.unmapped-both-read-and-mate	56.0	876.0	3.0	nan	8.0	4640.0	20684.0
MUX8974.WHB3866.unmapped-both-read-and-mate	65.0	2478.0	16.0	nan	19.0	7445.0	105441.0
MUX8975.WHB3864.unmapped-both-read-and-mate	29.0	2088.0	4.0	nan	3.0	3443.0	84503.0
MUX8981.WHB3909.unmapped-both-read-and-mate	43.0	942.0	11.0	nan	13.0	4209.0	16872.0
MUX8981.WHB3910.unmapped-both-read-and-mate	23.0	750.0	4.0	nan	8.0	2304.0	11439.0
MUX8982.WHB3915.unmapped-both-read-and-mate	44.0	1794.0	11.0	nan	17.0	5122.0	79224.0
MUX8982.WHB3916.unmapped-both-read-and-mate	20.0	1463.0	4.0	nan	8.0	2353.0	60115.0
MUX8983.WHB3922.unmapped-both-read-and-mate	57.0	1421.0	3.0	1.0	18.0	4654.0	55247.0
MUX8985.WHB3927.unmapped-both-read-and-mate	6.0	904.0	2.0	nan	2.0	612.0	25553.0
MUX8985.WHB3928.unmapped-both-read-and-mate	36.0	1056.0	6.0	nan	11.0	3007.0	33141.0
MUX8985.WHB3931.unmapped-both-read-and-mate	30.0	1184.0	2.0	nan	13.0	3401.0	34753.0
MUX8989.WHB3939.unmapped-both-read-and-mate	51.0	1331.0	5.0	nan	16.0	6025.0	48488.0
MUX9013.WHB3962.unmapped-both-read-and-mate	47.0	948.0	6.0	nan	19.0	7000.0	20512.0
MUX9017.WHB3972.unmapped-both-read-and-mate	102.0	1698.0	16.0	nan	30.0	10817.0	62251.0
MUX9019.WHB3989.unmapped-both-read-and-mate	97.0	1345.0	14.0	nan	29.0	11522.0	58578.0
MUX9022.WHB3997.unmapped-both-read-and-mate	126.0	790.0	20.0	nan	41.0	10613.0	16029.0
MUX9022.WHB3999.unmapped-both-read-and-mate	87.0	976.0	14.0	nan	23.0	10157.0	16628.0
MUX9022.WHB4005.unmapped-both-read-and-mate	77.0	732.0	6.0	nan	22.0	9680.0	15779.0
MUX9032.WHB4051.unmapped-both-read-and-mate	12.0	774.0	7.0	nan	7.0	1395.0	18806.0
MUX9037.WHB4006.unmapped-both-read-and-mate	95.0	1093.0	13.0	nan	34.0	11188.0	38968.0
MUX9037.WHB4007.unmapped-both-read-and-mate	126.0	1403.0	12.0	nan	31.0	11180.0	44689.0
MUX9038.WHB4011.unmapped-both-read-and-mate	58.0	1203.0	4.0	nan	19.0	7725.0	36390.0
MUX9038.WHB4012.unmapped-both-read-and-mate	36.0	1094.0	5.0	nan	7.0	2656.0	26174.0
MUX9046.WHB4035.unmapped-both-read-and-mate	166.0	925.0	20.0	nan	27.0	17469.0	34503.0
MUX9049.WHB4076.unmapped-both-read-and-mate	46.0	1452.0	11.0	nan	9.0	2882.0	51900.0
MUX9049.WHB4077.unmapped-both-read-and-mate	26.0	1039.0	8.0	nan	9.0	2380.0	39799.0
MUX9058.WHB4122.unmapped-both-read-and-mate	18.0	1146.0	16.0	nan	50.0	3025.0	22768.0
MUX9084.WHB4137.unmapped-both-read-and-mate	12.0	421.0	12.0	nan	9.0	2324.0	7481.0
MUX9085.WHB4142.unmapped-both-read-and-mate	8.0	818.0	6.0	nan	12.0	600.0	6459.0
MUX9094.WHB4183.unmapped-both-read-and-mate	6.0	787.0	133.0	1.0	52.0	4719.0	15662.0
MUX9097.WHB4203.unmapped-both-read-and-mate	47.0	1033.0	27.0	nan	27.0	1888.0	16767.0
MUX9101.WHB4211.unmapped-both-read-and-mate	2.0	558.0	61.0	nan	41.0	3021.0	5499.0
MUX9101.WHB4223.unmapped-both-read-and-mate	2.0	683.0	19.0	nan	8.0	785.0	5547.0
MUX9102.WHB4228.unmapped-both-read-and-mate	225.0	637.0	45.0	nan	33.0	1636.0	5490.0
MUX9103.WHB4235.unmapped-both-read-and-mate	41.0	777.0	48.0	nan	42.0	2182.0	6012.0
MUX9109.WHB4261.unmapped-both-read-and-mate	1.0	835.0	5.0	nan	13.0	427.0	28866.0
MUX9123.WHB4276.unmapped-both-read-and-mate	8.0	570.0	12.0	nan	37.0	1272.0	6439.0
MUX9123.WHB4278.unmapped-both-read-and-mate	3.0	646.0	3.0	nan	16.0	401.0	7364.0
MUX9126.WHB4281.unmapped-both-read-and-mate	57.0	1053.0	17.0	1.0	41.0	1236.0	22458.0
MUX9126.WHB4291.unmapped-both-read-and-mate	53.0	835.0	27.0	nan	76.0	2615.0	16602.0
MUX9127.WHB4298.unmapped-both-read-and-mate	3.0	963.0	8.0	nan	4.0	659.0	16545.0
MUX9130.WHB4315.unmapped-both-read-and-mate	7.0	739.0	8.0	nan	12.0	344.0	8154.0
MUX9132.WHB4326.unmapped-both-read-and-mate	2.0	536.0	3.0	nan	9.0	425.0	5082.0
MUX9137.WHB4338.unmapped-both-read-and-mate	10.0	1296.0	10.0	nan	18.0	467.0	35128.0
MUX9142.WHB4367.unmapped-both-read-and-mate	18.0	745.0	6.0	1.0	16.0	587.0	7094.0
MUX9143.WHB4376.unmapped-both-read-and-mate	7.0	663.0	1.0	nan	2.0	281.0	5104.0
MUX9144.WHB4381.unmapped-both-read-and-mate	3.0	789.0	4.0	nan	6.0	331.0	5418.0
MUX9145.WHB4387.unmapped-both-read-and-mate	13.0	801.0	3.0	nan	57.0	956.0	9648.0
MUX9148.WHB4394.unmapped-both-read-and-mate	4.0	859.0	5.0	nan	9.0	363.0	10887.0
MUX9148.WHB4400.unmapped-both-read-and-mate	4.0	901.0	6.0	nan	38.0	738.0	11157.0
MUX9152.WHB4413.unmapped-both-read-and-mate	23.0	719.0	3.0	nan	4.0	114.0	6278.0
MUX9159.WHB4450.unmapped-both-read-and-mate	11.0	1995.0	3.0	nan	3.0	2018.0	66492.0
MUX9159.WHB4451.unmapped-both-read-and-mate	10.0	1959.0	3.0	nan	8.0	984.0	62720.0
MUX9194.WHB4480.unmapped-both-read-and-mate	16.0	774.0	1.0	nan	5.0	798.0	5810.0
MUX9196.WHB4490.unmapped-both-read-and-mate	15.0	865.0	9.0	nan	10.0	1421.0	8313.0
MUX9197.WHB4504.unmapped-both-read-and-mate	14.0	607.0	2.0	nan	15.0	751.0	7764.0
MUX9200.WHB4515.unmapped-both-read-and-mate	16.0	944.0	2.0	nan	65.0	3065.0	29637.0
MUX9201.WHB4526.unmapped-both-read-and-mate	18.0	899.0	7.0	nan	21.0	3083.0	25869.0
MUX9204.WHB4539.unmapped-both-read-and-mate	29.0	1348.0	19.0	1.0	87.0	6295.0	65421.0
MUX9207.WHB4544.unmapped-both-read-and-mate	85.0	812.0	3.0	nan	30.0	2517.0	15459.0
MUX9208.WHB4550.unmapped-both-read-and-mate	34.0	1087.0	7.0	nan	57.0	3974.0	20932.0
MUX9210.WHB4560.unmapped-both-read-and-mate	26.0	954.0	5.0	nan	78.0	3944.0	21299.0
MUX9216.WHB4587.unmapped-both-read-and-mate	7.0	1218.0	7.0	nan	6.0	1303.0	49532.0
MUX9217.WHB4589.unmapped-both-read-and-mate	12.0	1272.0	3.0	nan	8.0	1980.0	54100.0
MUX9227.WHB4596.unmapped-both-read-and-mate	16.0	826.0	7.0	nan	4.0	1341.0	15558.0
MUX9227.WHB4598.unmapped-both-read-and-mate	30.0	645.0	7.0	nan	25.0	2770.0	14584.0
MUX9228.WHB4604.unmapped-both-read-and-mate	18.0	961.0	2.0	nan	6.0	2119.0	19776.0
MUX9229.WHB4603.unmapped-both-read-and-mate	40.0	810.0	1.0	nan	11.0	2584.0	17554.0
MUX9229.WHB4605.unmapped-both-read-and-mate	36.0	862.0	4.0	nan	12.0	3285.0	18872.0
MUX9232.WHB4622.unmapped-both-read-and-mate	15.0	1019.0	9.0	nan	23.0	541.0	33066.0
MUX9233.WHB4628.unmapped-both-read-and-mate	4.0	829.0	6.0	nan	12.0	429.0	26466.0
MUX9237.WHB4643.unmapped-both-read-and-mate	nan	1767.0	4.0	nan	4.0	240.0	72358.0
MUX9238.WHB4651.unmapped-both-read-and-mate	45.0	1314.0	3.0	nan	21.0	531.0	50714.0
MUX9240.WHB4661.unmapped-both-read-and-mate	7.0	1248.0	4.0	nan	48.0	1152.0	43945.0
MUX9241.WHB4720.unmapped-both-read-and-mate	2.0	575.0	1.0	nan	8.0	165.0	9455.0
MUX9242.WHB4667.unmapped-both-read-and-mate	nan	615.0	8.0	nan	11.0	388.0	10144.0
MUX9245.WHB4689.unmapped-both-read-and-mate	7.0	1036.0	2.0	nan	9.0	266.0	32533.0
MUX9254.WHB4669.unmapped-both-read-and-mate	6.0	600.0	9.0	nan	20.0	610.0	7407.0
MUX9255.WHB4675.unmapped-both-read-and-mate	3.0	585.0	5.0	nan	5.0	574.0	6153.0
MUX9261.WHB4710.unmapped-both-read-and-mate	6.0	758.0	8.0	nan	4.0	209.0	15909.0
MUX9263.WHB4722.unmapped-both-read-and-mate	nan	781.0	7.0	nan	16.0	529.0	15408.0
MUX9264.WHB4715.unmapped-both-read-and-mate	10.0	683.0	6.0	nan	6.0	321.0	8552.0
MUX9276.WHB4733.unmapped-both-read-and-mate	8.0	1038.0	5.0	nan	23.0	541.0	37055.0
MUX9277.WHB4739.unmapped-both-read-and-mate	10.0	1190.0	4.0	nan	16.0	513.0	39557.0
MUX9280.WHB4753.unmapped-both-read-and-mate	5.0	682.0	nan	nan	21.0	286.0	8404.0
MUX9281.WHB4760.unmapped-both-read-and-mate	6.0	587.0	2.0	nan	23.0	293.0	8037.0
MUX9283.WHB4787.unmapped-both-read-and-mate	3.0	566.0	4.0	nan	37.0	647.0	5322.0
MUX9285.WHB4766.unmapped-both-read-and-mate	5.0	860.0	1.0	nan	6.0	216.0	13685.0
MUX9285.WHB4771.unmapped-both-read-and-mate	3.0	643.0	2.0	nan	2.0	176.0	11928.0
MUX9286.WHB4781.unmapped-both-read-and-mate	2.0	907.0	4.0	nan	38.0	770.0	15734.0
MUX9292.WHB4790.unmapped-both-read-and-mate	6.0	892.0	4.0	nan	18.0	363.0	23989.0
MUX9293.WHB4802.unmapped-both-read-and-mate	4.0	862.0	1.0	nan	9.0	279.0	21183.0
MUX9295.WHB4795.unmapped-both-read-and-mate	6.0	2138.0	nan	1.0	92.0	1410.0	87537.0
MUX9295.WHB4804.unmapped-both-read-and-mate	5.0	1164.0	nan	nan	11.0	270.0	50570.0
MUX9305.WHB4819.unmapped-both-read-and-mate	3.0	1187.0	nan	nan	6.0	149.0	19732.0
MUX9305.WHB4825.unmapped-both-read-and-mate	3.0	1063.0	nan	nan	1.0	45.0	18247.0
MUX9309.WHB4845.unmapped-both-read-and-mate	1.0	1493.0	nan	1.0	6.0	359.0	35850.0
MUX9309.WHB4846.unmapped-both-read-and-mate	8.0	797.0	nan	nan	6.0	133.0	18829.0
