Sample	Proteobacteria	Chordata	Actinobacteria	Firmicutes	Bacteroidetes	Other	Unclassified
MUX10464.WHB8520.unmapped-both-read-and-mate	12750.0	742.0	258.0	42.0	16.0	95.0	62190.0
MUX10469.WHB8551.unmapped-both-read-and-mate	2677.0	658.0	32.0	19.0	7.0	15.0	20995.0
MUX10474.WHB8575.unmapped-both-read-and-mate	6776.0	816.0	98.0	7.0	9.0	60.0	26384.0
MUX10479.WHB8597.unmapped-both-read-and-mate	13926.0	711.0	215.0	9.0	4.0	101.0	29155.0
MUX10492.WHB8665.unmapped-both-read-and-mate	3813.0	704.0	65.0	3.0	2.0	34.0	27459.0
MUX10493.WHB8672.unmapped-both-read-and-mate	2556.0	294.0	59.0	2.0	3.0	23.0	4787.0
MUX10498.WHB8695.unmapped-both-read-and-mate	6458.0	305.0	71.0	7.0	nan	41.0	6727.0
MUX10498.WHB8696.unmapped-both-read-and-mate	17172.0	345.0	405.0	20.0	10.0	111.0	13531.0
MUX10519.WHB8747.unmapped-both-read-and-mate	15354.0	326.0	281.0	15.0	9.0	101.0	12079.0
MUX10519.WHB8748.unmapped-both-read-and-mate	16506.0	340.0	199.0	17.0	7.0	106.0	12226.0
MUX10560.WHB6725.unmapped-both-read-and-mate	2693.0	359.0	87.0	11.0	24.0	21.0	5204.0
MUX10566.WHB7958.unmapped-both-read-and-mate	20257.0	384.0	224.0	11.0	8.0	118.0	15070.0
MUX10590.WHB8028.unmapped-both-read-and-mate	13207.0	537.0	133.0	11.0	6.0	102.0	15218.0
MUX10606.WHB10691.unmapped-both-read-and-mate	144502.0	369.0	2953.0	94.0	88.0	1286.0	127361.0
MUX10610.WHB10715.unmapped-both-read-and-mate	26337.0	462.0	742.0	40.0	31.0	247.0	29708.0
MUX10622.WHB10737.unmapped-both-read-and-mate	18810.0	340.0	306.0	7.0	12.0	190.0	18792.0
MUX10625.WHB10754.unmapped-both-read-and-mate	91286.0	422.0	2386.0	58.0	51.0	800.0	78508.0
MUX10630.WHB10840.unmapped-both-read-and-mate	248538.0	410.0	4361.0	161.0	137.0	2224.0	209310.0
MUX10638.WHB10782.unmapped-both-read-and-mate	106033.0	554.0	2034.0	56.0	62.0	1014.0	106647.0
MUX10642.WHB10865.unmapped-both-read-and-mate	13921.0	377.0	589.0	4.0	7.0	123.0	23569.0
MUX10668.WHB10816.unmapped-both-read-and-mate	22623.0	554.0	326.0	22.0	14.0	218.0	27708.0
MUX10668.WHB10820.unmapped-both-read-and-mate	289385.0	748.0	6516.0	185.0	174.0	2767.0	259101.0
MUX10670.WHB10829.unmapped-both-read-and-mate	113702.0	377.0	1657.0	75.0	73.0	994.0	103376.0
MUX10675.WHB10986.unmapped-both-read-and-mate	26349.0	554.0	760.0	12.0	15.0	236.0	25348.0
MUX10681.WHB11014.unmapped-both-read-and-mate	41263.0	613.0	656.0	37.0	20.0	372.0	48884.0
MUX10685.WHB11036.unmapped-both-read-and-mate	47459.0	481.0	850.0	30.0	32.0	415.0	53765.0
MUX10691.WHB11068.unmapped-both-read-and-mate	19619.0	458.0	259.0	20.0	13.0	158.0	18460.0
MUX10701.WHB10905.unmapped-both-read-and-mate	19869.0	618.0	609.0	16.0	13.0	167.0	38776.0
MUX10704.WHB10923.unmapped-both-read-and-mate	20212.0	586.0	428.0	17.0	8.0	178.0	38707.0
MUX10706.WHB10925.unmapped-both-read-and-mate	54596.0	450.0	963.0	34.0	29.0	464.0	52232.0
MUX10712.WHB10956.unmapped-both-read-and-mate	16999.0	490.0	1761.0	10.0	11.0	161.0	20906.0
MUX10745.WHB11102.unmapped-both-read-and-mate	19167.0	388.0	350.0	13.0	9.0	166.0	21226.0
MUX10762.WHB8517.unmapped-both-read-and-mate	3925.0	544.0	56.0	2.0	2.0	35.0	19522.0
