Sample	Pseudomonadales	Burkholderiales	Primates	Sphingomonadales	Rhizobiales	Other	Unclassified
MUX5288.WHH4844.unmapped-both-read-and-mate	3.0	3.0	400.0	5.0	nan	16.0	4027.0
MUX5295.WHH4869.unmapped-both-read-and-mate	2.0	2.0	401.0	3.0	nan	21.0	3619.0
MUX5297.WHH4901.unmapped-both-read-and-mate	8.0	46.0	386.0	2.0	1.0	301.0	4035.0
MUX5299.WHH4929.unmapped-both-read-and-mate	4.0	3.0	502.0	2.0	1.0	31.0	6421.0
MUX5299.WHH4933.unmapped-both-read-and-mate	3.0	1.0	462.0	nan	nan	14.0	6204.0
MUX5300.WHH4939.unmapped-both-read-and-mate	8.0	6.0	423.0	4.0	nan	29.0	5550.0
MUX5301.WHB829.unmapped-both-read-and-mate	4.0	73.0	352.0	4.0	78.0	43.0	4891.0
MUX5301.WHB859.unmapped-both-read-and-mate	nan	13.0	420.0	8.0	60.0	40.0	4945.0
MUX5301.WHH5002.unmapped-both-read-and-mate	15.0	7.0	567.0	7.0	4.0	48.0	6288.0
MUX5303.WHH5035.unmapped-both-read-and-mate	14.0	216.0	854.0	26.0	3.0	7258.0	31380.0
MUX5304.WHH5077.unmapped-both-read-and-mate	112.0	3625.0	549.0	6.0	14.0	220.0	9154.0
MUX5305.WHH4949.unmapped-both-read-and-mate	nan	2.0	493.0	5.0	nan	23.0	7443.0
MUX5306.WHH4953.unmapped-both-read-and-mate	2.0	2.0	458.0	1.0	6.0	18.0	7311.0
MUX5306.WHH4957.unmapped-both-read-and-mate	1.0	7.0	478.0	1.0	3.0	13.0	6658.0
MUX5310.WHH4978.unmapped-both-read-and-mate	6.0	6.0	406.0	3.0	1.0	26.0	3742.0
MUX5310.WHH4979.unmapped-both-read-and-mate	7.0	13.0	440.0	2.0	7.0	23.0	4083.0
MUX5310.WHH4980.unmapped-both-read-and-mate	4.0	9.0	408.0	nan	nan	12.0	4091.0
MUX5310.WHH4987.unmapped-both-read-and-mate	7.0	5.0	331.0	7.0	1.0	16.0	3302.0
MUX5311.WHB876.unmapped-both-read-and-mate	27.0	3594.0	328.0	3.0	58.0	147.0	3729.0
MUX5311.WHB879.unmapped-both-read-and-mate	187.0	11.0	1776.0	3.0	5.0	60467.0	179386.0
MUX5311.WHB880.unmapped-both-read-and-mate	215.0	11.0	1927.0	3.0	6.0	59794.0	182826.0
MUX5312.WHB904.unmapped-both-read-and-mate	29.0	5705.0	415.0	6.0	386.0	123.0	5226.0
MUX5312.WHH4990.unmapped-both-read-and-mate	4.0	198.0	376.0	37.0	24.0	144.0	3817.0
MUX5323.WHB742.unmapped-both-read-and-mate	2.0	6.0	690.0	21.0	20.0	73.0	12159.0
MUX5325.WHH4897.unmapped-both-read-and-mate	7.0	30.0	722.0	4.0	4.0	830.0	12708.0
MUX5328.WHB907.unmapped-both-read-and-mate	47.0	8745.0	334.0	13.0	588.0	197.0	4938.0
MUX5328.WHB913.unmapped-both-read-and-mate	37.0	7674.0	334.0	4.0	45.0	116.0	3968.0
MUX5328.WHB914.unmapped-both-read-and-mate	10.0	1303.0	373.0	6.0	31.0	44.0	3700.0
MUX5330.WHB929.unmapped-both-read-and-mate	24.0	3787.0	426.0	6.0	244.0	84.0	5499.0
MUX5331.WHB942.unmapped-both-read-and-mate	7.0	977.0	396.0	5.0	15.0	28.0	4204.0
MUX5331.WHB943.unmapped-both-read-and-mate	13.0	1327.0	400.0	4.0	14.0	49.0	4378.0
MUX5339.WHB951.unmapped-both-read-and-mate	27.0	4309.0	642.0	10.0	316.0	79.0	11855.0
MUX5340.WHB962.unmapped-both-read-and-mate	20.0	416.0	623.0	2.0	14.0	41.0	9875.0
MUX5341.WHB969.unmapped-both-read-and-mate	2.0	524.0	468.0	3.0	15.0	26.0	8272.0
MUX5341.WHB975.unmapped-both-read-and-mate	3.0	1185.0	562.0	2.0	45.0	43.0	10428.0
MUX5341.WHB979.unmapped-both-read-and-mate	11.0	902.0	605.0	1.0	19.0	81.0	9941.0
MUX5344.WHB997.unmapped-both-read-and-mate	46.0	12213.0	342.0	18.0	1031.0	279.0	6172.0
MUX5347.WHB1023.unmapped-both-read-and-mate	3.0	1413.0	315.0	3.0	15.0	38.0	3561.0
MUX5349.WHB1048.unmapped-both-read-and-mate	6.0	779.0	418.0	3.0	16.0	34.0	4833.0
MUX5849.WHB1082.unmapped-both-read-and-mate	120.0	628.0	352.0	31.0	43.0	352.0	4369.0
MUX5850.WHB1086.unmapped-both-read-and-mate	9.0	898.0	407.0	nan	54.0	37.0	3583.0
MUX5851.WHB1093.unmapped-both-read-and-mate	21.0	3030.0	395.0	6.0	99.0	166.0	4481.0
MUX5851.WHB1094.unmapped-both-read-and-mate	12.0	1493.0	381.0	5.0	45.0	62.0	3928.0
MUX5851.WHB1095.unmapped-both-read-and-mate	8.0	1604.0	402.0	7.0	32.0	122.0	3979.0
MUX5851.WHB1097.unmapped-both-read-and-mate	20.0	1190.0	356.0	19.0	101.0	98.0	3894.0
MUX8076.WHB3389.unmapped-both-read-and-mate	380294.0	6488.0	755.0	3178.0	9407.0	88799.0	64906.0
MUX8078.WHB3402.unmapped-both-read-and-mate	564666.0	9708.0	837.0	4691.0	14674.0	120791.0	95327.0
MUX8080.WHB3405.unmapped-both-read-and-mate	737718.0	13066.0	964.0	7165.0	18064.0	153259.0	122122.0
MUX8082.WHB3416.unmapped-both-read-and-mate	155613.0	2691.0	676.0	1668.0	3882.0	33195.0	34896.0
MUX8084.WHB3428.unmapped-both-read-and-mate	365575.0	6295.0	908.0	3680.0	7982.0	72052.0	73822.0
MUX8085.WHB3432.unmapped-both-read-and-mate	362361.0	24332.0	1066.0	3460.0	7455.0	72486.0	79564.0
MUX8089.WHB3450.unmapped-both-read-and-mate	516993.0	9009.0	981.0	4717.0	12028.0	109028.0	90209.0
MUX8100.WHB3473.unmapped-both-read-and-mate	199283.0	7721.0	834.0	287.0	3224.0	20501.0	39635.0
MUX8100.WHB3475.unmapped-both-read-and-mate	803038.0	84508.0	671.0	1091.0	5040.0	53785.0	91138.0
MUX8101.WHB3484.unmapped-both-read-and-mate	762436.0	105605.0	815.0	370.0	5163.0	46093.0	81625.0
MUX8104.WHB3500.unmapped-both-read-and-mate	1418175.0	159620.0	899.0	1737.0	8250.0	86059.0	144009.0
MUX8106.WHB3510.unmapped-both-read-and-mate	1239754.0	127986.0	763.0	1518.0	6509.0	76135.0	126817.0
MUX8107.WHB3513.unmapped-both-read-and-mate	992323.0	116603.0	743.0	1310.0	5504.0	56813.0	102819.0
MUX8107.WHB3516.unmapped-both-read-and-mate	5979.0	1500.0	744.0	121.0	1647.0	3383.0	9506.0
MUX8108.WHB3519.unmapped-both-read-and-mate	310395.0	53802.0	688.0	206.0	2437.0	19433.0	38371.0
MUX8119.WHB3530.unmapped-both-read-and-mate	521847.0	154991.0	936.0	383.0	7443.0	33073.0	74150.0
MUX8122.WHB3544.unmapped-both-read-and-mate	616652.0	86270.0	918.0	317.0	3620.0	38495.0	77245.0
MUX8124.WHB3554.unmapped-both-read-and-mate	271647.0	79985.0	791.0	215.0	5890.0	16372.0	48317.0
MUX8183.WHB3574.unmapped-both-read-and-mate	233169.0	16293.0	1012.0	181.0	5594.0	33270.0	49023.0
MUX8184.WHB3583.unmapped-both-read-and-mate	214142.0	11687.0	1127.0	202.0	7759.0	22348.0	44583.0
MUX8189.WHB3606.unmapped-both-read-and-mate	355157.0	18503.0	1006.0	322.0	9194.0	36734.0	59806.0
MUX8193.WHB3624.unmapped-both-read-and-mate	4102.0	771405.0	832.0	216.0	4903.0	6476.0	64876.0
MUX8193.WHB3626.unmapped-both-read-and-mate	47167.0	2503.0	782.0	256.0	11280.0	9919.0	23795.0
MUX8194.WHB3629.unmapped-both-read-and-mate	263261.0	15224.0	817.0	210.0	7025.0	24598.0	38440.0
MUX8196.WHB3662.unmapped-both-read-and-mate	101.0	1398.0	1024.0	407.0	9640.0	1741.0	26458.0
MUX8197.WHB3665.unmapped-both-read-and-mate	89123.0	2258.0	1059.0	174.0	9278.0	4173.0	40689.0
MUX8198.WHB3670.unmapped-both-read-and-mate	104961.0	1810.0	1140.0	101.0	5829.0	4483.0	40179.0
MUX8205.WHB3645.unmapped-both-read-and-mate	190968.0	13591.0	847.0	203.0	3929.0	27144.0	30704.0
MUX8212.WHB3721.unmapped-both-read-and-mate	25824.0	1691.0	697.0	397.0	5706.0	5478.0	16614.0
MUX8219.WHB3738.unmapped-both-read-and-mate	144688.0	2475.0	1093.0	79.0	5689.0	5056.0	39796.0
MUX8222.WHB3755.unmapped-both-read-and-mate	143286.0	5066.0	1138.0	328.0	12362.0	10123.0	43550.0
MUX8235.WHB3758.unmapped-both-read-and-mate	30908.0	2006.0	896.0	683.0	14684.0	9716.0	36038.0
MUX8237.WHB3768.unmapped-both-read-and-mate	442105.0	8806.0	917.0	2886.0	12683.0	24812.0	67205.0
MUX8238.WHB3775.unmapped-both-read-and-mate	203327.0	3946.0	872.0	746.0	8279.0	8014.0	38508.0
MUX8239.WHB3779.unmapped-both-read-and-mate	308849.0	5950.0	703.0	2021.0	8477.0	16955.0	44174.0
MUX8241.WHB3789.unmapped-both-read-and-mate	156.0	195.0	635.0	234.0	8895.0	1693.0	15754.0
MUX8243.WHB3796.unmapped-both-read-and-mate	361496.0	6142.0	712.0	746.0	5947.0	10934.0	40735.0
MUX8243.WHB3798.unmapped-both-read-and-mate	385.0	157.0	722.0	1167.0	6990.0	1713.0	16268.0
MUX8244.WHB3803.unmapped-both-read-and-mate	469729.0	9204.0	789.0	2940.0	11337.0	25120.0	58958.0
MUX8248.WHB3821.unmapped-both-read-and-mate	199167.0	3512.0	969.0	517.0	5053.0	6535.0	48851.0
MUX8248.WHB3822.unmapped-both-read-and-mate	333.0	120.0	870.0	269.0	4098.0	1765.0	28041.0
MUX8250.WHB3832.unmapped-both-read-and-mate	295349.0	5080.0	983.0	592.0	5608.0	9041.0	51184.0
MUX8250.WHB3836.unmapped-both-read-and-mate	307.0	137.0	909.0	320.0	5074.0	1656.0	26842.0
MUX8253.WHB3837.unmapped-both-read-and-mate	414354.0	8124.0	729.0	2548.0	10980.0	22486.0	54013.0
MUX8257.WHB4866.unmapped-both-read-and-mate	652445.0	13564.0	682.0	4873.0	52424.0	39557.0	91606.0
MUX8257.WHB4867.unmapped-both-read-and-mate	702579.0	14611.0	598.0	5530.0	74488.0	45291.0	102381.0
MUX8277.WHB4914.unmapped-both-read-and-mate	246530.0	5351.0	954.0	2056.0	30890.0	17525.0	59336.0
MUX8277.WHB4916.unmapped-both-read-and-mate	384441.0	7185.0	858.0	2336.0	10859.0	21001.0	60439.0
MUX8277.WHB4918.unmapped-both-read-and-mate	274320.0	5334.0	870.0	2103.0	14204.0	17349.0	52564.0
MUX8278.WHB4923.unmapped-both-read-and-mate	235313.0	4813.0	964.0	1572.0	10113.0	16126.0	48300.0
MUX8281.WHB4938.unmapped-both-read-and-mate	219071.0	4896.0	634.0	1857.0	30900.0	16967.0	48680.0
MUX8282.WHB4943.unmapped-both-read-and-mate	458083.0	9148.0	608.0	2934.0	17235.0	27198.0	58730.0
MUX8302.WHB4954.unmapped-both-read-and-mate	162768.0	3157.0	733.0	1021.0	9193.0	13327.0	31789.0
MUX8302.WHB4956.unmapped-both-read-and-mate	261689.0	4929.0	613.0	1597.0	7644.0	18133.0	37137.0
MUX8303.WHB4959.unmapped-both-read-and-mate	1430.0	129.0	598.0	109.0	3611.0	774.0	8590.0
MUX8309.WHB4965.unmapped-both-read-and-mate	219878.0	4010.0	1101.0	1233.0	7643.0	15284.0	58709.0
MUX8310.WHB4969.unmapped-both-read-and-mate	191561.0	3621.0	1182.0	1169.0	5618.0	12490.0	61202.0
MUX8310.WHB4970.unmapped-both-read-and-mate	1186.0	126.0	1188.0	58.0	2568.0	465.0	44558.0
MUX8314.WHB4990.unmapped-both-read-and-mate	326213.0	6165.0	944.0	2098.0	9101.0	22636.0	59828.0
MUX8315.WHB4996.unmapped-both-read-and-mate	694.0	69.0	891.0	49.0	2731.0	407.0	26152.0
MUX8316.WHB5003.unmapped-both-read-and-mate	191082.0	3539.0	887.0	1041.0	4646.0	11497.0	45765.0
MUX8329.WHB5079.unmapped-both-read-and-mate	100332.0	1926.0	917.0	211.0	5916.0	4931.0	25935.0
MUX8329.WHB5082.unmapped-both-read-and-mate	28816.0	506.0	908.0	112.0	1645.0	1774.0	13368.0
MUX8330.WHB5084.unmapped-both-read-and-mate	48163.0	893.0	859.0	140.0	4511.0	2568.0	15521.0
MUX8332.WHB5095.unmapped-both-read-and-mate	62781.0	1202.0	669.0	150.0	5953.0	3278.0	17026.0
MUX8337.WHB5109.unmapped-both-read-and-mate	102587.0	1914.0	766.0	201.0	9187.0	4833.0	24319.0
MUX8353.WHB5055.unmapped-both-read-and-mate	60147.0	1140.0	950.0	164.0	6418.0	3242.0	30071.0
MUX8364.WHB5157.unmapped-both-read-and-mate	49299.0	978.0	1205.0	213.0	9237.0	3350.0	41381.0
MUX8367.WHB5170.unmapped-both-read-and-mate	65522.0	1270.0	1146.0	223.0	8570.0	4061.0	29751.0
MUX8367.WHB5172.unmapped-both-read-and-mate	56382.0	1088.0	1194.0	211.0	6963.0	3459.0	26528.0
MUX8368.WHB5175.unmapped-both-read-and-mate	88589.0	1757.0	1359.0	234.0	6475.0	5762.0	30654.0
MUX8368.WHB5176.unmapped-both-read-and-mate	126264.0	2245.0	1076.0	310.0	6511.0	7869.0	31134.0
MUX8370.WHB5185.unmapped-both-read-and-mate	91058.0	1694.0	922.0	219.0	6050.0	5678.0	23999.0
MUX8386.WHB5341.unmapped-both-read-and-mate	135.0	6506.0	996.0	117.0	8402.0	1304.0	27603.0
MUX8388.WHB5350.unmapped-both-read-and-mate	103.0	311.0	833.0	104.0	10409.0	1179.0	23712.0
MUX8390.WHB5360.unmapped-both-read-and-mate	296.0	696.0	429.0	249.0	26961.0	2810.0	36706.0
MUX8391.WHB5365.unmapped-both-read-and-mate	88.0	338.0	744.0	88.0	7499.0	803.0	15660.0
MUX8435.WHB5403.unmapped-both-read-and-mate	124174.0	2529.0	1296.0	335.0	8262.0	13085.0	69147.0
MUX8436.WHB5408.unmapped-both-read-and-mate	167756.0	3417.0	1065.0	538.0	7495.0	14648.0	51622.0
MUX8437.WHB5414.unmapped-both-read-and-mate	59453.0	1837.0	882.0	310.0	8967.0	6501.0	32374.0
MUX8445.WHB5440.unmapped-both-read-and-mate	141029.0	2897.0	1211.0	449.0	12886.0	14442.0	57267.0
MUX8459.WHB5456.unmapped-both-read-and-mate	218055.0	4661.0	693.0	856.0	10809.0	20570.0	40092.0
MUX8460.WHB5464.unmapped-both-read-and-mate	87519.0	1930.0	727.0	285.0	8719.0	9447.0	23518.0
MUX8461.WHB5469.unmapped-both-read-and-mate	156464.0	3349.0	621.0	597.0	7699.0	15593.0	32901.0
MUX8680.WHB5487.unmapped-both-read-and-mate	141.0	1428.0	664.0	99.0	365.0	1587.0	17014.0
MUX8688.WHB5534.unmapped-both-read-and-mate	87.0	2026.0	525.0	171.0	675.0	1031.0	10512.0
MUX8699.WHB5572.unmapped-both-read-and-mate	271.0	5171.0	388.0	351.0	789.0	3635.0	7944.0
MUX8700.WHB5577.unmapped-both-read-and-mate	190.0	2082.0	375.0	201.0	1188.0	2811.0	6232.0
MUX8718.WHB5653.unmapped-both-read-and-mate	154.0	2995.0	721.0	269.0	541.0	6272.0	24905.0
MUX8721.WHB5669.unmapped-both-read-and-mate	60.0	840.0	426.0	72.0	227.0	520.0	13376.0
MUX8746.WHB5602.unmapped-both-read-and-mate	84.0	1298.0	370.0	77.0	272.0	757.0	10249.0
MUX8748.WHB5680.unmapped-both-read-and-mate	124.0	2442.0	370.0	84.0	475.0	2883.0	11019.0
MUX8755.WHB5715.unmapped-both-read-and-mate	131.0	2151.0	369.0	140.0	536.0	1029.0	7387.0
MUX8783.WHB5850.unmapped-both-read-and-mate	151.0	4549.0	440.0	283.0	1190.0	3830.0	13219.0
MUX8831.WHH6818.unmapped-both-read-and-mate	258.0	3689.0	443.0	281.0	1434.0	2701.0	11317.0
MUX8835.WHH6868.unmapped-both-read-and-mate	334.0	4566.0	492.0	464.0	1543.0	4533.0	16465.0
MUX8846.WHH6914.unmapped-both-read-and-mate	276.0	3376.0	352.0	898.0	2377.0	3683.0	17301.0
MUX8850.WHH6931.unmapped-both-read-and-mate	143.0	3273.0	359.0	631.0	1081.0	1971.0	6704.0
MUX8853.WHH6952.unmapped-both-read-and-mate	343.0	5695.0	391.0	396.0	1189.0	3419.0	8356.0
MUX8855.WHH6964.unmapped-both-read-and-mate	193.0	4359.0	271.0	539.0	799.0	1839.0	6058.0
MUX8857.WHH6963.unmapped-both-read-and-mate	161.0	2747.0	303.0	296.0	1589.0	1199.0	6270.0
MUX8871.WHH7034.unmapped-both-read-and-mate	209.0	2735.0	515.0	294.0	1036.0	1590.0	14611.0
MUX8872.WHH7041.unmapped-both-read-and-mate	186.0	2495.0	476.0	204.0	2131.0	2966.0	14772.0
MUX8935.WHH7083.unmapped-both-read-and-mate	234.0	3128.0	532.0	357.0	598.0	2345.0	12209.0
MUX8944.WHH6980.unmapped-both-read-and-mate	463.0	3323.0	660.0	1463.0	1227.0	9670.0	33516.0
MUX8946.WHH7080.unmapped-both-read-and-mate	205.0	2291.0	648.0	439.0	1289.0	3662.0	27771.0
MUX8950.WHH7139.unmapped-both-read-and-mate	337.0	5300.0	542.0	655.0	1180.0	4161.0	19638.0
MUX8950.WHH7142.unmapped-both-read-and-mate	173.0	1728.0	519.0	214.0	648.0	1935.0	16341.0
MUX8951.WHH7153.unmapped-both-read-and-mate	137.0	1735.0	460.0	132.0	518.0	1514.0	11290.0
MUX8951.WHH7158.unmapped-both-read-and-mate	999.0	3427.0	649.0	1175.0	3227.0	4375.0	20649.0
MUX8960.WHB3854.unmapped-both-read-and-mate	23.0	54.0	1271.0	67.0	2272.0	336.0	45247.0
MUX8972.WHB3888.unmapped-both-read-and-mate	62.0	83.0	876.0	47.0	3937.0	578.0	20684.0
MUX8974.WHB3866.unmapped-both-read-and-mate	69.0	146.0	2478.0	66.0	6490.0	774.0	105441.0
MUX8975.WHB3864.unmapped-both-read-and-mate	41.0	79.0	2088.0	27.0	2946.0	386.0	84503.0
MUX8981.WHB3909.unmapped-both-read-and-mate	47.0	84.0	942.0	51.0	3709.0	385.0	16872.0
MUX8981.WHB3910.unmapped-both-read-and-mate	24.0	35.0	750.0	22.0	2018.0	240.0	11439.0
MUX8982.WHB3915.unmapped-both-read-and-mate	47.0	110.0	1794.0	62.0	4516.0	459.0	79224.0
MUX8982.WHB3916.unmapped-both-read-and-mate	20.0	34.0	1463.0	30.0	2051.0	250.0	60115.0
MUX8983.WHB3922.unmapped-both-read-and-mate	58.0	94.0	1421.0	57.0	4058.0	466.0	55247.0
MUX8985.WHB3927.unmapped-both-read-and-mate	6.0	9.0	904.0	7.0	535.0	65.0	25553.0
MUX8985.WHB3928.unmapped-both-read-and-mate	37.0	56.0	1056.0	33.0	2637.0	297.0	33141.0
MUX8985.WHB3931.unmapped-both-read-and-mate	33.0	59.0	1184.0	29.0	3022.0	303.0	34753.0
MUX8989.WHB3939.unmapped-both-read-and-mate	80.0	102.0	1331.0	53.0	4901.0	961.0	48488.0
MUX9013.WHB3962.unmapped-both-read-and-mate	51.0	136.0	948.0	66.0	6087.0	732.0	20512.0
MUX9017.WHB3972.unmapped-both-read-and-mate	112.0	209.0	1698.0	88.0	9528.0	1028.0	62251.0
MUX9019.WHB3989.unmapped-both-read-and-mate	101.0	216.0	1345.0	103.0	10231.0	1011.0	58578.0
MUX9022.WHB3997.unmapped-both-read-and-mate	157.0	152.0	790.0	114.0	9331.0	1046.0	16029.0
MUX9022.WHB3999.unmapped-both-read-and-mate	88.0	195.0	976.0	79.0	8451.0	1468.0	16628.0
MUX9022.WHB4005.unmapped-both-read-and-mate	85.0	153.0	732.0	77.0	8524.0	946.0	15779.0
MUX9032.WHB4051.unmapped-both-read-and-mate	15.0	38.0	774.0	19.0	1193.0	156.0	18806.0
MUX9037.WHB4006.unmapped-both-read-and-mate	101.0	182.0	1093.0	93.0	8437.0	2517.0	38968.0
MUX9037.WHB4007.unmapped-both-read-and-mate	126.0	175.0	1403.0	100.0	9650.0	1298.0	44689.0
MUX9038.WHB4011.unmapped-both-read-and-mate	62.0	130.0	1203.0	70.0	6746.0	798.0	36390.0
MUX9038.WHB4012.unmapped-both-read-and-mate	40.0	40.0	1094.0	23.0	2186.0	415.0	26174.0
MUX9046.WHB4035.unmapped-both-read-and-mate	180.0	260.0	925.0	140.0	14102.0	3000.0	34503.0
MUX9049.WHB4076.unmapped-both-read-and-mate	53.0	56.0	1452.0	21.0	2508.0	310.0	51900.0
MUX9049.WHB4077.unmapped-both-read-and-mate	32.0	44.0	1039.0	22.0	2046.0	279.0	39799.0
MUX9058.WHB4122.unmapped-both-read-and-mate	29.0	55.0	1146.0	83.0	2140.0	802.0	22768.0
MUX9084.WHB4137.unmapped-both-read-and-mate	16.0	58.0	421.0	16.0	1909.0	358.0	7481.0
MUX9085.WHB4142.unmapped-both-read-and-mate	11.0	14.0	818.0	26.0	307.0	268.0	6459.0
MUX9094.WHB4183.unmapped-both-read-and-mate	9.0	158.0	787.0	79.0	1132.0	3533.0	15662.0
MUX9097.WHB4203.unmapped-both-read-and-mate	50.0	35.0	1033.0	66.0	449.0	1389.0	16767.0
MUX9101.WHB4211.unmapped-both-read-and-mate	3.0	70.0	558.0	61.0	769.0	2222.0	5499.0
MUX9101.WHB4223.unmapped-both-read-and-mate	3.0	28.0	683.0	15.0	425.0	343.0	5547.0
MUX9102.WHB4228.unmapped-both-read-and-mate	230.0	92.0	637.0	53.0	741.0	823.0	5490.0
MUX9103.WHB4235.unmapped-both-read-and-mate	73.0	61.0	777.0	68.0	816.0	1295.0	6012.0
MUX9109.WHB4261.unmapped-both-read-and-mate	2.0	7.0	835.0	22.0	321.0	94.0	28866.0
MUX9123.WHB4276.unmapped-both-read-and-mate	11.0	26.0	570.0	57.0	939.0	296.0	6439.0
MUX9123.WHB4278.unmapped-both-read-and-mate	4.0	7.0	646.0	31.0	321.0	60.0	7364.0
MUX9126.WHB4281.unmapped-both-read-and-mate	58.0	29.0	1053.0	59.0	829.0	377.0	22458.0
MUX9126.WHB4291.unmapped-both-read-and-mate	89.0	42.0	835.0	113.0	1894.0	633.0	16602.0
MUX9127.WHB4298.unmapped-both-read-and-mate	12.0	14.0	963.0	13.0	431.0	204.0	16545.0
MUX9130.WHB4315.unmapped-both-read-and-mate	8.0	24.0	739.0	18.0	208.0	113.0	8154.0
MUX9132.WHB4326.unmapped-both-read-and-mate	3.0	6.0	536.0	19.0	254.0	157.0	5082.0
MUX9137.WHB4338.unmapped-both-read-and-mate	14.0	19.0	1296.0	30.0	236.0	206.0	35128.0
MUX9142.WHB4367.unmapped-both-read-and-mate	22.0	16.0	745.0	24.0	388.0	178.0	7094.0
MUX9143.WHB4376.unmapped-both-read-and-mate	16.0	141.0	663.0	5.0	86.0	43.0	5104.0
MUX9144.WHB4381.unmapped-both-read-and-mate	6.0	9.0	789.0	13.0	123.0	193.0	5418.0
MUX9145.WHB4387.unmapped-both-read-and-mate	15.0	19.0	801.0	84.0	737.0	174.0	9648.0
MUX9148.WHB4394.unmapped-both-read-and-mate	8.0	22.0	859.0	28.0	191.0	132.0	10887.0
MUX9148.WHB4400.unmapped-both-read-and-mate	6.0	11.0	901.0	70.0	418.0	281.0	11157.0
MUX9152.WHB4413.unmapped-both-read-and-mate	27.0	18.0	719.0	11.0	23.0	65.0	6278.0
MUX9159.WHB4450.unmapped-both-read-and-mate	17.0	20.0	1995.0	22.0	611.0	1365.0	66492.0
MUX9159.WHB4451.unmapped-both-read-and-mate	11.0	31.0	1959.0	17.0	649.0	297.0	62720.0
MUX9194.WHB4480.unmapped-both-read-and-mate	17.0	13.0	774.0	17.0	659.0	114.0	5810.0
MUX9196.WHB4490.unmapped-both-read-and-mate	21.0	32.0	865.0	28.0	1143.0	231.0	8313.0
MUX9197.WHB4504.unmapped-both-read-and-mate	15.0	11.0	607.0	24.0	645.0	87.0	7764.0
MUX9200.WHB4515.unmapped-both-read-and-mate	21.0	36.0	944.0	108.0	2099.0	884.0	29637.0
MUX9201.WHB4526.unmapped-both-read-and-mate	19.0	55.0	899.0	46.0	2634.0	375.0	25869.0
MUX9204.WHB4539.unmapped-both-read-and-mate	31.0	95.0	1348.0	155.0	3657.0	2493.0	65421.0
MUX9207.WHB4544.unmapped-both-read-and-mate	87.0	56.0	812.0	88.0	2149.0	255.0	15459.0
MUX9208.WHB4550.unmapped-both-read-and-mate	37.0	68.0	1087.0	97.0	3367.0	503.0	20932.0
MUX9210.WHB4560.unmapped-both-read-and-mate	28.0	50.0	954.0	146.0	3198.0	631.0	21299.0
MUX9216.WHB4587.unmapped-both-read-and-mate	7.0	32.0	1218.0	13.0	1137.0	134.0	49532.0
MUX9217.WHB4589.unmapped-both-read-and-mate	12.0	35.0	1272.0	26.0	1634.0	296.0	54100.0
MUX9227.WHB4596.unmapped-both-read-and-mate	19.0	29.0	826.0	21.0	1039.0	260.0	15558.0
MUX9227.WHB4598.unmapped-both-read-and-mate	36.0	74.0	645.0	41.0	2361.0	320.0	14584.0
MUX9228.WHB4604.unmapped-both-read-and-mate	18.0	39.0	961.0	29.0	1805.0	254.0	19776.0
MUX9229.WHB4603.unmapped-both-read-and-mate	43.0	60.0	810.0	35.0	2207.0	291.0	17554.0
MUX9229.WHB4605.unmapped-both-read-and-mate	51.0	72.0	862.0	39.0	2753.0	422.0	18872.0
MUX9232.WHB4622.unmapped-both-read-and-mate	16.0	22.0	1019.0	36.0	359.0	155.0	33066.0
MUX9233.WHB4628.unmapped-both-read-and-mate	4.0	15.0	829.0	22.0	324.0	86.0	26466.0
MUX9237.WHB4643.unmapped-both-read-and-mate	nan	16.0	1767.0	10.0	144.0	78.0	72358.0
MUX9238.WHB4651.unmapped-both-read-and-mate	47.0	7.0	1314.0	34.0	409.0	103.0	50714.0
MUX9240.WHB4661.unmapped-both-read-and-mate	13.0	22.0	1248.0	91.0	867.0	218.0	43945.0
MUX9241.WHB4720.unmapped-both-read-and-mate	2.0	19.0	575.0	14.0	105.0	36.0	9455.0
MUX9242.WHB4667.unmapped-both-read-and-mate	2.0	16.0	615.0	24.0	278.0	87.0	10144.0
MUX9245.WHB4689.unmapped-both-read-and-mate	8.0	7.0	1036.0	20.0	181.0	68.0	32533.0
MUX9254.WHB4669.unmapped-both-read-and-mate	6.0	25.0	600.0	35.0	511.0	68.0	7407.0
MUX9255.WHB4675.unmapped-both-read-and-mate	4.0	20.0	585.0	13.0	113.0	437.0	6153.0
MUX9261.WHB4710.unmapped-both-read-and-mate	7.0	16.0	758.0	14.0	144.0	46.0	15909.0
MUX9263.WHB4722.unmapped-both-read-and-mate	1.0	17.0	781.0	39.0	413.0	82.0	15408.0
MUX9264.WHB4715.unmapped-both-read-and-mate	11.0	10.0	683.0	19.0	130.0	173.0	8552.0
MUX9276.WHB4733.unmapped-both-read-and-mate	14.0	21.0	1038.0	32.0	331.0	179.0	37055.0
MUX9277.WHB4739.unmapped-both-read-and-mate	12.0	6.0	1190.0	22.0	198.0	305.0	39557.0
MUX9280.WHB4753.unmapped-both-read-and-mate	12.0	7.0	682.0	29.0	182.0	82.0	8404.0
MUX9281.WHB4760.unmapped-both-read-and-mate	6.0	6.0	587.0	37.0	149.0	126.0	8037.0
MUX9283.WHB4787.unmapped-both-read-and-mate	5.0	19.0	566.0	64.0	463.0	140.0	5322.0
MUX9285.WHB4766.unmapped-both-read-and-mate	8.0	6.0	860.0	15.0	121.0	78.0	13685.0
