Sample	Pseudomonadales	Burkholderiales	Primates	Sphingomonadales	Rhizobiales	Other	Unclassified
MUX10444.WHB8481.unmapped-both-read-and-mate	59.0	259.0	686.0	13068.0	1646.0	1221.0	34828.0
MUX10464.WHB8520.unmapped-both-read-and-mate	84.0	215.0	742.0	10184.0	1563.0	1115.0	62190.0
MUX10469.WHB8551.unmapped-both-read-and-mate	51.0	70.0	658.0	2076.0	341.0	212.0	20995.0
MUX10474.WHB8575.unmapped-both-read-and-mate	28.0	183.0	816.0	5332.0	830.0	577.0	26384.0
MUX10479.WHB8597.unmapped-both-read-and-mate	75.0	339.0	711.0	11313.0	1340.0	1188.0	29155.0
MUX10492.WHB8665.unmapped-both-read-and-mate	14.0	64.0	704.0	3144.0	375.0	320.0	27459.0
MUX10493.WHB8672.unmapped-both-read-and-mate	20.0	42.0	294.0	2087.0	258.0	236.0	4787.0
MUX10498.WHB8695.unmapped-both-read-and-mate	23.0	99.0	305.0	4691.0	1297.0	467.0	6727.0
MUX10498.WHB8696.unmapped-both-read-and-mate	88.0	262.0	345.0	12344.0	3514.0	1510.0	13531.0
MUX10519.WHB8747.unmapped-both-read-and-mate	126.0	3635.0	326.0	8259.0	2507.0	1233.0	12079.0
MUX10519.WHB8748.unmapped-both-read-and-mate	148.0	6880.0	340.0	6480.0	2084.0	1243.0	12226.0
MUX10560.WHB6725.unmapped-both-read-and-mate	18.0	56.0	359.0	49.0	2347.0	366.0	5204.0
MUX10566.WHB7958.unmapped-both-read-and-mate	79.0	262.0	384.0	16291.0	2306.0	1680.0	15070.0
MUX10590.WHB8028.unmapped-both-read-and-mate	78.0	156.0	537.0	10622.0	1546.0	1057.0	15218.0
MUX10606.WHB10691.unmapped-both-read-and-mate	759.0	3062.0	369.0	104179.0	24770.0	16153.0	127361.0
MUX10610.WHB10715.unmapped-both-read-and-mate	358.0	551.0	462.0	19023.0	4544.0	2921.0	29708.0
MUX10622.WHB10737.unmapped-both-read-and-mate	97.0	356.0	340.0	14116.0	2918.0	1838.0	18792.0
MUX10625.WHB10754.unmapped-both-read-and-mate	447.0	2301.0	422.0	66286.0	15548.0	9999.0	78508.0
MUX10630.WHB10840.unmapped-both-read-and-mate	1235.0	4834.0	410.0	180587.0	44510.0	24255.0	209310.0
MUX10638.WHB10782.unmapped-both-read-and-mate	534.0	2043.0	554.0	77303.0	18624.0	10695.0	106647.0
MUX10642.WHB10865.unmapped-both-read-and-mate	1133.0	884.0	377.0	8574.0	2436.0	1617.0	23569.0
MUX10668.WHB10816.unmapped-both-read-and-mate	133.0	476.0	554.0	16175.0	4177.0	2242.0	27708.0
MUX10668.WHB10820.unmapped-both-read-and-mate	1424.0	7368.0	748.0	207728.0	52124.0	30383.0	259101.0
MUX10670.WHB10829.unmapped-both-read-and-mate	504.0	2109.0	377.0	82456.0	20625.0	10807.0	103376.0
MUX10675.WHB10986.unmapped-both-read-and-mate	1261.0	1024.0	554.0	17113.0	5219.0	2755.0	25348.0
MUX10681.WHB11014.unmapped-both-read-and-mate	236.0	772.0	613.0	28895.0	8506.0	3939.0	48884.0
MUX10685.WHB11036.unmapped-both-read-and-mate	245.0	929.0	481.0	32843.0	10228.0	4541.0	53765.0
MUX10691.WHB11068.unmapped-both-read-and-mate	148.0	3770.0	458.0	10372.0	4194.0	1585.0	18460.0
MUX10701.WHB10905.unmapped-both-read-and-mate	898.0	764.0	618.0	13281.0	3533.0	2198.0	38776.0
MUX10704.WHB10923.unmapped-both-read-and-mate	453.0	544.0	586.0	14078.0	3699.0	2069.0	38707.0
MUX10706.WHB10925.unmapped-both-read-and-mate	870.0	1387.0	450.0	38249.0	10368.0	5212.0	52232.0
MUX10712.WHB10956.unmapped-both-read-and-mate	628.0	707.0	490.0	10631.0	3904.0	3072.0	20906.0
MUX10745.WHB11102.unmapped-both-read-and-mate	248.0	417.0	388.0	12566.0	4683.0	1791.0	21226.0
MUX10762.WHB8517.unmapped-both-read-and-mate	16.0	53.0	544.0	3109.0	500.0	342.0	19522.0
MUX3275.WHH429.unmapped-both-read-and-mate	8.0	18.0	1065.0	nan	5.0	14.0	6757.0
MUX3275.WHH520.unmapped-both-read-and-mate	13.0	21.0	772.0	2.0	3.0	19.0	4937.0
MUX3316.WHH533.unmapped-both-read-and-mate	21.0	31.0	769.0	nan	3.0	40.0	4670.0
MUX3316.WHH550.unmapped-both-read-and-mate	14.0	33.0	677.0	1.0	7.0	26.0	4486.0
MUX3316.WHH552.unmapped-both-read-and-mate	13.0	42.0	932.0	2.0	4.0	38.0	6090.0
MUX3316.WHH559.unmapped-both-read-and-mate	11.0	42.0	768.0	2.0	2.0	26.0	5292.0
MUX3316.WHH591.unmapped-both-read-and-mate	14.0	25.0	808.0	nan	4.0	44.0	4686.0
MUX3316.WHH608.unmapped-both-read-and-mate	9.0	36.0	665.0	nan	2.0	24.0	4118.0
MUX3316.WHH609.unmapped-both-read-and-mate	13.0	48.0	813.0	3.0	4.0	32.0	5045.0
MUX3316.WHH612.unmapped-both-read-and-mate	9.0	34.0	866.0	1.0	7.0	27.0	5612.0
MUX3316.WHH617.unmapped-both-read-and-mate	14.0	31.0	673.0	1.0	3.0	25.0	4459.0
MUX3316.WHH620.unmapped-both-read-and-mate	13.0	52.0	671.0	nan	nan	40.0	4342.0
MUX3359.WHH635.unmapped-both-read-and-mate	12.0	41.0	610.0	5.0	7.0	38.0	4545.0
MUX3359.WHH636.unmapped-both-read-and-mate	5.0	39.0	619.0	nan	2.0	29.0	3942.0
MUX3359.WHH675.unmapped-both-read-and-mate	15.0	26.0	546.0	1.0	1.0	12.0	3625.0
MUX3359.WHH687.unmapped-both-read-and-mate	7.0	23.0	649.0	6.0	nan	24.0	3803.0
MUX3381.WHH718.unmapped-both-read-and-mate	18.0	32.0	693.0	4.0	1.0	45.0	5015.0
MUX3381.WHH728.unmapped-both-read-and-mate	20.0	57.0	812.0	4.0	5.0	26.0	5360.0
MUX3381.WHH732.unmapped-both-read-and-mate	21.0	57.0	670.0	5.0	3.0	50.0	4502.0
MUX3381.WHH758.unmapped-both-read-and-mate	8.0	13.0	750.0	3.0	1.0	39.0	5369.0
MUX3381.WHH761.unmapped-both-read-and-mate	12.0	16.0	775.0	1.0	3.0	22.0	4882.0
MUX3381.WHH771.unmapped-both-read-and-mate	60.0	32.0	678.0	9.0	3.0	28.0	5006.0
MUX3381.WHH772.unmapped-both-read-and-mate	45.0	30.0	772.0	8.0	7.0	36.0	5373.0
MUX3381.WHH782.unmapped-both-read-and-mate	8.0	40.0	787.0	5.0	3.0	74.0	5135.0
MUX3434.WHH839.unmapped-both-read-and-mate	8.0	17.0	722.0	3.0	12.0	42.0	4499.0
MUX3434.WHH849.unmapped-both-read-and-mate	17.0	47.0	766.0	5.0	14.0	28.0	4566.0
MUX3434.WHH860.unmapped-both-read-and-mate	9.0	19.0	862.0	1.0	2.0	23.0	5397.0
MUX3434.WHH868.unmapped-both-read-and-mate	35.0	46.0	763.0	2.0	7.0	38.0	5346.0
MUX3434.WHH872.unmapped-both-read-and-mate	35.0	39.0	887.0	4.0	4.0	39.0	5862.0
MUX3529.WHH942.unmapped-both-read-and-mate	34.0	82.0	657.0	1.0	35.0	47.0	4202.0
MUX3529.WHH966.unmapped-both-read-and-mate	19.0	40.0	708.0	1.0	16.0	25.0	4779.0
MUX3529.WHH981.unmapped-both-read-and-mate	28.0	71.0	793.0	3.0	45.0	34.0	5008.0
MUX3529.WHH987.unmapped-both-read-and-mate	9.0	76.0	777.0	3.0	28.0	38.0	4595.0
MUX3529.WHH999.unmapped-both-read-and-mate	16.0	38.0	654.0	2.0	7.0	32.0	4206.0
MUX3936.WHH1096.unmapped-both-read-and-mate	66.0	47.0	716.0	4.0	13.0	115.0	4808.0
MUX3936.WHH1097.unmapped-both-read-and-mate	12.0	23.0	669.0	1.0	7.0	14.0	4181.0
MUX3936.WHH1122.unmapped-both-read-and-mate	17.0	9.0	747.0	6.0	3.0	31.0	4306.0
MUX3936.WHH1136.unmapped-both-read-and-mate	93.0	3530.0	803.0	20.0	214.0	322.0	7809.0
MUX3936.WHH1147.unmapped-both-read-and-mate	136.0	8100.0	594.0	41.0	436.0	778.0	9412.0
MUX3949.WHH1158.unmapped-both-read-and-mate	5.0	22.0	763.0	nan	nan	21.0	3942.0
MUX3949.WHH1190.unmapped-both-read-and-mate	4.0	109.0	718.0	4.0	3.0	19.0	4294.0
MUX3949.WHH1197.unmapped-both-read-and-mate	24.0	2158.0	844.0	3.0	54.0	140.0	5290.0
MUX3949.WHH1237.unmapped-both-read-and-mate	3.0	36.0	673.0	2.0	21.0	24.0	3813.0
MUX3949.WHH1248.unmapped-both-read-and-mate	3555.0	4027.0	699.0	32.0	185.0	1051.0	6478.0
MUX3949.WHH1249.unmapped-both-read-and-mate	38.0	2993.0	673.0	7.0	110.0	172.0	5258.0
MUX3969.WHH1253.unmapped-both-read-and-mate	16.0	51.0	586.0	4.0	16.0	85.0	4465.0
MUX3969.WHH1276.unmapped-both-read-and-mate	36.0	73.0	678.0	5.0	35.0	76.0	4710.0
MUX3969.WHH1284.unmapped-both-read-and-mate	11.0	108.0	685.0	12.0	66.0	105.0	5017.0
MUX3969.WHH1291.unmapped-both-read-and-mate	20.0	120.0	685.0	22.0	47.0	103.0	4997.0
MUX3969.WHH1294.unmapped-both-read-and-mate	10.0	56.0	697.0	3.0	16.0	41.0	4988.0
MUX3969.WHH1302.unmapped-both-read-and-mate	2519.0	650.0	731.0	39.0	53.0	2437.0	6703.0
MUX3969.WHH1303.unmapped-both-read-and-mate	55.0	98.0	596.0	14.0	55.0	66.0	4518.0
MUX3969.WHH1319.unmapped-both-read-and-mate	8.0	27.0	752.0	nan	16.0	41.0	4929.0
MUX3969.WHH1321.unmapped-both-read-and-mate	10.0	70.0	730.0	11.0	20.0	43.0	4704.0
MUX3969.WHH1324.unmapped-both-read-and-mate	3.0	35.0	720.0	2.0	15.0	62.0	5286.0
MUX3969.WHH1329.unmapped-both-read-and-mate	114.0	72.0	665.0	11.0	43.0	243.0	4365.0
MUX3969.WHH1342.unmapped-both-read-and-mate	23.0	57.0	645.0	8.0	29.0	78.0	4832.0
MUX3969.WHH1343.unmapped-both-read-and-mate	26.0	98.0	762.0	7.0	16.0	97.0	5414.0
MUX3971.WHH1351.unmapped-both-read-and-mate	30.0	2302.0	625.0	13.0	73.0	302.0	5440.0
MUX3971.WHH1385.unmapped-both-read-and-mate	39.0	3053.0	677.0	12.0	116.0	232.0	6501.0
MUX3971.WHH1398.unmapped-both-read-and-mate	83.0	5212.0	731.0	16.0	191.0	358.0	7449.0
MUX3971.WHH1401.unmapped-both-read-and-mate	49.0	2005.0	662.0	4.0	75.0	181.0	5635.0
MUX3971.WHH1403.unmapped-both-read-and-mate	146.0	7730.0	722.0	32.0	271.0	531.0	9581.0
MUX3971.WHH1423.unmapped-both-read-and-mate	67.0	56.0	572.0	5.0	6.0	64.0	4481.0
MUX3971.WHH1439.unmapped-both-read-and-mate	87.0	4296.0	697.0	20.0	225.0	409.0	7860.0
MUX4050.WHH1462.unmapped-both-read-and-mate	48.0	3019.0	656.0	13.0	90.0	2407.0	5372.0
MUX4050.WHH1493.unmapped-both-read-and-mate	10.0	200.0	899.0	14.0	16.0	34.0	5419.0
MUX4050.WHH1507.unmapped-both-read-and-mate	69.0	3392.0	786.0	11.0	106.0	193.0	6049.0
MUX4050.WHH1511.unmapped-both-read-and-mate	18.0	1589.0	800.0	5.0	50.0	124.0	6084.0
MUX4050.WHH1512.unmapped-both-read-and-mate	32.0	2043.0	754.0	3.0	63.0	118.0	5152.0
MUX4050.WHH1513.unmapped-both-read-and-mate	34.0	1673.0	648.0	5.0	49.0	100.0	4663.0
