Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX10560.WHB6725.unmapped-both-read-and-mate	2835.0	359.0	1.0	nan	5204.0
MUX10566.WHB7958.unmapped-both-read-and-mate	20616.0	384.0	nan	2.0	15070.0
MUX10590.WHB8028.unmapped-both-read-and-mate	13456.0	537.0	2.0	1.0	15218.0
MUX10606.WHB10691.unmapped-both-read-and-mate	148900.0	369.0	3.0	20.0	127361.0
MUX10610.WHB10715.unmapped-both-read-and-mate	27390.0	462.0	3.0	4.0	29708.0
MUX10622.WHB10737.unmapped-both-read-and-mate	19320.0	340.0	1.0	4.0	18792.0
MUX10625.WHB10754.unmapped-both-read-and-mate	94552.0	422.0	7.0	22.0	78508.0
MUX10630.WHB10840.unmapped-both-read-and-mate	255323.0	410.0	54.0	44.0	209310.0
MUX10638.WHB10782.unmapped-both-read-and-mate	109136.0	554.0	28.0	35.0	106647.0
MUX10642.WHB10865.unmapped-both-read-and-mate	14625.0	377.0	15.0	4.0	23569.0
MUX10668.WHB10816.unmapped-both-read-and-mate	23179.0	554.0	16.0	8.0	27708.0
MUX10668.WHB10820.unmapped-both-read-and-mate	298917.0	748.0	56.0	54.0	259101.0
MUX10670.WHB10829.unmapped-both-read-and-mate	116453.0	377.0	28.0	20.0	103376.0
MUX10675.WHB10986.unmapped-both-read-and-mate	27355.0	554.0	10.0	7.0	25348.0
MUX10681.WHB11014.unmapped-both-read-and-mate	42340.0	613.0	3.0	5.0	48884.0
MUX10685.WHB11036.unmapped-both-read-and-mate	48776.0	481.0	3.0	7.0	53765.0
MUX10691.WHB11068.unmapped-both-read-and-mate	20055.0	458.0	6.0	8.0	18460.0
MUX10701.WHB10905.unmapped-both-read-and-mate	20665.0	618.0	7.0	2.0	38776.0
MUX10704.WHB10923.unmapped-both-read-and-mate	20838.0	586.0	4.0	1.0	38707.0
MUX10706.WHB10925.unmapped-both-read-and-mate	56071.0	450.0	3.0	12.0	52232.0
MUX10712.WHB10956.unmapped-both-read-and-mate	18937.0	490.0	2.0	3.0	20906.0
MUX10745.WHB11102.unmapped-both-read-and-mate	19700.0	388.0	2.0	3.0	21226.0
MUX10762.WHB8517.unmapped-both-read-and-mate	4019.0	544.0	1.0	nan	19522.0
MUX3275.WHH429.unmapped-both-read-and-mate	45.0	1065.0	nan	nan	6757.0
MUX3275.WHH520.unmapped-both-read-and-mate	57.0	772.0	1.0	nan	4937.0
MUX3316.WHH533.unmapped-both-read-and-mate	95.0	769.0	nan	nan	4670.0
MUX3316.WHH550.unmapped-both-read-and-mate	81.0	677.0	nan	nan	4486.0
MUX3316.WHH552.unmapped-both-read-and-mate	99.0	932.0	nan	nan	6090.0
MUX3316.WHH559.unmapped-both-read-and-mate	83.0	768.0	nan	nan	5292.0
MUX3316.WHH591.unmapped-both-read-and-mate	85.0	808.0	2.0	nan	4686.0
MUX3316.WHH608.unmapped-both-read-and-mate	70.0	665.0	1.0	nan	4118.0
MUX3316.WHH609.unmapped-both-read-and-mate	100.0	813.0	nan	nan	5045.0
MUX3316.WHH612.unmapped-both-read-and-mate	77.0	866.0	nan	1.0	5612.0
MUX3316.WHH617.unmapped-both-read-and-mate	74.0	673.0	nan	nan	4459.0
MUX3316.WHH620.unmapped-both-read-and-mate	105.0	671.0	nan	nan	4342.0
MUX3359.WHH635.unmapped-both-read-and-mate	103.0	610.0	nan	nan	4545.0
MUX3359.WHH636.unmapped-both-read-and-mate	74.0	619.0	nan	1.0	3942.0
MUX3359.WHH675.unmapped-both-read-and-mate	55.0	546.0	nan	nan	3625.0
MUX3359.WHH687.unmapped-both-read-and-mate	60.0	649.0	nan	nan	3803.0
MUX3381.WHH718.unmapped-both-read-and-mate	100.0	693.0	nan	nan	5015.0
MUX3381.WHH728.unmapped-both-read-and-mate	112.0	812.0	nan	nan	5360.0
MUX3381.WHH732.unmapped-both-read-and-mate	133.0	670.0	3.0	nan	4502.0
MUX3381.WHH758.unmapped-both-read-and-mate	63.0	750.0	nan	1.0	5369.0
MUX3381.WHH761.unmapped-both-read-and-mate	53.0	775.0	nan	1.0	4882.0
MUX3381.WHH771.unmapped-both-read-and-mate	132.0	678.0	nan	nan	5006.0
MUX3381.WHH772.unmapped-both-read-and-mate	125.0	772.0	1.0	nan	5373.0
MUX3381.WHH782.unmapped-both-read-and-mate	130.0	787.0	nan	nan	5135.0
MUX3434.WHH839.unmapped-both-read-and-mate	81.0	722.0	1.0	nan	4499.0
MUX3434.WHH849.unmapped-both-read-and-mate	111.0	766.0	nan	nan	4566.0
MUX3434.WHH860.unmapped-both-read-and-mate	49.0	862.0	5.0	nan	5397.0
MUX3434.WHH868.unmapped-both-read-and-mate	127.0	763.0	1.0	nan	5346.0
MUX3434.WHH872.unmapped-both-read-and-mate	116.0	887.0	5.0	nan	5862.0
MUX3529.WHH942.unmapped-both-read-and-mate	188.0	657.0	11.0	nan	4202.0
MUX3529.WHH966.unmapped-both-read-and-mate	101.0	708.0	nan	nan	4779.0
MUX3529.WHH981.unmapped-both-read-and-mate	181.0	793.0	nan	nan	5008.0
MUX3529.WHH987.unmapped-both-read-and-mate	154.0	777.0	nan	nan	4595.0
MUX3529.WHH999.unmapped-both-read-and-mate	92.0	654.0	1.0	2.0	4206.0
MUX3936.WHH1096.unmapped-both-read-and-mate	244.0	716.0	1.0	nan	4808.0
MUX3936.WHH1097.unmapped-both-read-and-mate	56.0	669.0	1.0	nan	4181.0
MUX3936.WHH1122.unmapped-both-read-and-mate	66.0	747.0	nan	nan	4306.0
MUX3936.WHH1136.unmapped-both-read-and-mate	4172.0	803.0	7.0	nan	7809.0
MUX3936.WHH1147.unmapped-both-read-and-mate	9481.0	594.0	7.0	3.0	9412.0
MUX3949.WHH1158.unmapped-both-read-and-mate	46.0	763.0	nan	2.0	3942.0
MUX3949.WHH1190.unmapped-both-read-and-mate	139.0	718.0	nan	nan	4294.0
MUX3949.WHH1197.unmapped-both-read-and-mate	2377.0	844.0	nan	2.0	5290.0
MUX3949.WHH1237.unmapped-both-read-and-mate	86.0	673.0	nan	nan	3813.0
MUX3949.WHH1248.unmapped-both-read-and-mate	8847.0	699.0	2.0	1.0	6478.0
MUX3949.WHH1249.unmapped-both-read-and-mate	3317.0	673.0	3.0	nan	5258.0
MUX3969.WHH1253.unmapped-both-read-and-mate	172.0	586.0	nan	nan	4465.0
MUX3969.WHH1276.unmapped-both-read-and-mate	224.0	678.0	nan	1.0	4710.0
MUX3969.WHH1284.unmapped-both-read-and-mate	302.0	685.0	nan	nan	5017.0
MUX3969.WHH1291.unmapped-both-read-and-mate	309.0	685.0	2.0	1.0	4997.0
MUX3969.WHH1294.unmapped-both-read-and-mate	126.0	697.0	nan	nan	4988.0
MUX3969.WHH1302.unmapped-both-read-and-mate	5687.0	731.0	11.0	nan	6703.0
MUX3969.WHH1303.unmapped-both-read-and-mate	288.0	596.0	nan	nan	4518.0
MUX3969.WHH1319.unmapped-both-read-and-mate	92.0	752.0	nan	nan	4929.0
MUX3969.WHH1321.unmapped-both-read-and-mate	153.0	730.0	1.0	nan	4704.0
MUX3969.WHH1324.unmapped-both-read-and-mate	116.0	720.0	nan	1.0	5286.0
MUX3969.WHH1329.unmapped-both-read-and-mate	481.0	665.0	2.0	nan	4365.0
MUX3969.WHH1342.unmapped-both-read-and-mate	190.0	645.0	5.0	nan	4832.0
MUX3969.WHH1343.unmapped-both-read-and-mate	243.0	762.0	1.0	nan	5414.0
MUX3971.WHH1351.unmapped-both-read-and-mate	2712.0	625.0	8.0	nan	5440.0
