Sample	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Mammalia	Actinobacteria	Other	Unclassified
MUX5288.WHH4844.unmapped-both-read-and-mate	4.0	6.0	3.0	400.0	8.0	6.0	4027.0
MUX5295.WHH4869.unmapped-both-read-and-mate	5.0	7.0	2.0	401.0	11.0	3.0	3619.0
MUX5297.WHH4901.unmapped-both-read-and-mate	17.0	10.0	50.0	386.0	164.0	117.0	4035.0
MUX5299.WHH4929.unmapped-both-read-and-mate	12.0	11.0	3.0	502.0	5.0	10.0	6421.0
MUX5299.WHH4933.unmapped-both-read-and-mate	6.0	nan	1.0	462.0	7.0	4.0	6204.0
MUX5300.WHH4939.unmapped-both-read-and-mate	13.0	5.0	6.0	423.0	17.0	6.0	5550.0
MUX5301.WHB829.unmapped-both-read-and-mate	18.0	82.0	75.0	352.0	17.0	10.0	4891.0
MUX5301.WHB859.unmapped-both-read-and-mate	8.0	75.0	14.0	420.0	10.0	14.0	4945.0
MUX5301.WHH5002.unmapped-both-read-and-mate	20.0	12.0	7.0	567.0	17.0	25.0	6288.0
MUX5303.WHH5035.unmapped-both-read-and-mate	23.0	31.0	219.0	854.0	3842.0	3402.0	31380.0
MUX5304.WHH5077.unmapped-both-read-and-mate	153.0	32.0	3633.0	549.0	39.0	120.0	9154.0
MUX5305.WHH4949.unmapped-both-read-and-mate	4.0	5.0	2.0	493.0	3.0	16.0	7443.0
MUX5306.WHH4953.unmapped-both-read-and-mate	5.0	7.0	2.0	458.0	9.0	6.0	7311.0
MUX5306.WHH4957.unmapped-both-read-and-mate	3.0	5.0	8.0	478.0	5.0	4.0	6658.0
MUX5310.WHH4978.unmapped-both-read-and-mate	10.0	5.0	7.0	406.0	8.0	12.0	3742.0
MUX5310.WHH4979.unmapped-both-read-and-mate	20.0	10.0	13.0	440.0	6.0	3.0	4083.0
MUX5310.WHH4980.unmapped-both-read-and-mate	6.0	nan	9.0	408.0	8.0	2.0	4091.0
MUX5310.WHH4987.unmapped-both-read-and-mate	9.0	9.0	5.0	331.0	10.0	3.0	3302.0
MUX5311.WHB876.unmapped-both-read-and-mate	41.0	67.0	3595.0	328.0	42.0	84.0	3729.0
MUX5311.WHB879.unmapped-both-read-and-mate	235.0	12.0	12.0	1776.0	32809.0	27605.0	179386.0
MUX5311.WHB880.unmapped-both-read-and-mate	286.0	14.0	12.0	1927.0	32823.0	26894.0	182826.0
MUX5312.WHB904.unmapped-both-read-and-mate	44.0	420.0	5709.0	415.0	6.0	70.0	5226.0
MUX5312.WHH4990.unmapped-both-read-and-mate	6.0	64.0	200.0	376.0	67.0	70.0	3817.0
MUX5323.WHB742.unmapped-both-read-and-mate	42.0	43.0	7.0	690.0	15.0	15.0	12159.0
MUX5325.WHH4897.unmapped-both-read-and-mate	12.0	8.0	30.0	722.0	420.0	405.0	12708.0
MUX5328.WHB907.unmapped-both-read-and-mate	62.0	635.0	8750.0	334.0	26.0	117.0	4938.0
MUX5328.WHB913.unmapped-both-read-and-mate	50.0	54.0	7679.0	334.0	14.0	79.0	3968.0
MUX5328.WHB914.unmapped-both-read-and-mate	18.0	46.0	1303.0	373.0	6.0	21.0	3700.0
MUX5330.WHB929.unmapped-both-read-and-mate	30.0	264.0	3787.0	426.0	16.0	48.0	5499.0
MUX5331.WHB942.unmapped-both-read-and-mate	11.0	21.0	978.0	396.0	7.0	15.0	4204.0
MUX5331.WHB943.unmapped-both-read-and-mate	18.0	20.0	1330.0	400.0	10.0	29.0	4378.0
MUX5339.WHB951.unmapped-both-read-and-mate	36.0	345.0	4310.0	642.0	17.0	33.0	11855.0
MUX5340.WHB962.unmapped-both-read-and-mate	40.0	17.0	416.0	623.0	13.0	7.0	9875.0
MUX5341.WHB969.unmapped-both-read-and-mate	4.0	21.0	524.0	468.0	7.0	14.0	8272.0
MUX5341.WHB975.unmapped-both-read-and-mate	12.0	53.0	1185.0	562.0	9.0	19.0	10428.0
MUX5341.WHB979.unmapped-both-read-and-mate	19.0	63.0	902.0	605.0	9.0	21.0	9941.0
MUX5344.WHB997.unmapped-both-read-and-mate	79.0	1094.0	12227.0	342.0	28.0	159.0	6172.0
MUX5347.WHB1023.unmapped-both-read-and-mate	4.0	19.0	1414.0	315.0	9.0	26.0	3561.0
MUX5349.WHB1048.unmapped-both-read-and-mate	11.0	21.0	780.0	418.0	2.0	24.0	4833.0
MUX5849.WHB1082.unmapped-both-read-and-mate	156.0	110.0	632.0	352.0	244.0	32.0	4369.0
MUX5850.WHB1086.unmapped-both-read-and-mate	15.0	56.0	898.0	407.0	15.0	14.0	3583.0
MUX5851.WHB1093.unmapped-both-read-and-mate	35.0	106.0	3037.0	395.0	16.0	128.0	4481.0
MUX5851.WHB1094.unmapped-both-read-and-mate	25.0	53.0	1495.0	381.0	6.0	38.0	3928.0
MUX5851.WHB1095.unmapped-both-read-and-mate	18.0	42.0	1605.0	402.0	53.0	55.0	3979.0
MUX5851.WHB1097.unmapped-both-read-and-mate	39.0	139.0	1191.0	356.0	32.0	27.0	3894.0
MUX8076.WHB3389.unmapped-both-read-and-mate	382405.0	16410.0	7500.0	755.0	73759.0	8092.0	64906.0
MUX8078.WHB3402.unmapped-both-read-and-mate	567848.0	25584.0	11132.0	837.0	98183.0	11783.0	95327.0
MUX8080.WHB3405.unmapped-both-read-and-mate	741844.0	32744.0	15029.0	964.0	124024.0	15631.0	122122.0
MUX8082.WHB3416.unmapped-both-read-and-mate	156464.0	7153.0	3096.0	676.0	26975.0	3361.0	34896.0
MUX8084.WHB3428.unmapped-both-read-and-mate	367599.0	15038.0	7336.0	908.0	57994.0	7617.0	73822.0
MUX8085.WHB3432.unmapped-both-read-and-mate	364478.0	14402.0	25315.0	1066.0	58254.0	7645.0	79564.0
MUX8089.WHB3450.unmapped-both-read-and-mate	519790.0	22047.0	10419.0	981.0	88815.0	10704.0	90209.0
MUX8100.WHB3473.unmapped-both-read-and-mate	200360.0	4882.0	8218.0	834.0	13612.0	3944.0	39635.0
MUX8100.WHB3475.unmapped-both-read-and-mate	807408.0	9389.0	86824.0	671.0	28001.0	15840.0	91138.0
MUX8101.WHB3484.unmapped-both-read-and-mate	766525.0	7964.0	107770.0	815.0	22972.0	14436.0	81625.0
MUX8104.WHB3500.unmapped-both-read-and-mate	1425721.0	14806.0	163443.0	899.0	42510.0	27361.0	144009.0
MUX8106.WHB3510.unmapped-both-read-and-mate	1246417.0	12208.0	131351.0	763.0	38160.0	23766.0	126817.0
MUX8107.WHB3513.unmapped-both-read-and-mate	997711.0	10369.0	119294.0	743.0	26180.0	18999.0	102819.0
MUX8107.WHB3516.unmapped-both-read-and-mate	6050.0	2066.0	1529.0	744.0	2801.0	184.0	9506.0
MUX8108.WHB3519.unmapped-both-read-and-mate	312106.0	3898.0	54622.0	688.0	9600.0	6047.0	38371.0
MUX8119.WHB3530.unmapped-both-read-and-mate	524800.0	9454.0	156528.0	936.0	16609.0	10346.0	74150.0
MUX8122.WHB3544.unmapped-both-read-and-mate	620036.0	6031.0	88008.0	918.0	19531.0	11748.0	77245.0
MUX8124.WHB3554.unmapped-both-read-and-mate	273256.0	6972.0	80825.0	791.0	7596.0	5460.0	48317.0
MUX8183.WHB3574.unmapped-both-read-and-mate	234413.0	6816.0	16970.0	1012.0	25843.0	4465.0	49023.0
MUX8184.WHB3583.unmapped-both-read-and-mate	215324.0	9094.0	12245.0	1127.0	15481.0	3994.0	44583.0
MUX8189.WHB3606.unmapped-both-read-and-mate	357069.0	11181.0	19450.0	1006.0	25681.0	6529.0	59806.0
MUX8193.WHB3624.unmapped-both-read-and-mate	6119.0	5590.0	772748.0	832.0	1056.0	1589.0	64876.0
MUX8193.WHB3626.unmapped-both-read-and-mate	47544.0	12517.0	2663.0	782.0	7107.0	1294.0	23795.0
MUX8194.WHB3629.unmapped-both-read-and-mate	264669.0	8329.0	15917.0	817.0	16300.0	5103.0	38440.0
MUX8196.WHB3662.unmapped-both-read-and-mate	231.0	11023.0	1459.0	1024.0	204.0	370.0	26458.0
MUX8197.WHB3665.unmapped-both-read-and-mate	89660.0	9904.0	2481.0	1059.0	992.0	1969.0	40689.0
MUX8198.WHB3670.unmapped-both-read-and-mate	105521.0	6308.0	2079.0	1140.0	1145.0	2131.0	40179.0
MUX8205.WHB3645.unmapped-both-read-and-mate	192006.0	5252.0	14128.0	847.0	20960.0	3489.0	30704.0
MUX8212.WHB3721.unmapped-both-read-and-mate	26020.0	9514.0	1784.0	697.0	983.0	795.0	16614.0
MUX8219.WHB3738.unmapped-both-read-and-mate	145423.0	6052.0	2824.0	1093.0	760.0	2928.0	39796.0
MUX8222.WHB3755.unmapped-both-read-and-mate	144127.0	13997.0	5473.0	1138.0	4299.0	3269.0	43550.0
MUX8235.WHB3758.unmapped-both-read-and-mate	31257.0	22095.0	2132.0	896.0	1270.0	1243.0	36038.0
MUX8237.WHB3768.unmapped-both-read-and-mate	444557.0	21242.0	10001.0	917.0	6173.0	9319.0	67205.0
MUX8238.WHB3775.unmapped-both-read-and-mate	204506.0	10450.0	4492.0	872.0	765.0	4099.0	38508.0
MUX8239.WHB3779.unmapped-both-read-and-mate	310582.0	14395.0	6816.0	703.0	3917.0	6542.0	44174.0
MUX8241.WHB3789.unmapped-both-read-and-mate	257.0	10133.0	229.0	635.0	236.0	318.0	15754.0
MUX8243.WHB3796.unmapped-both-read-and-mate	363340.0	7362.0	7114.0	712.0	407.0	7042.0	40735.0
MUX8243.WHB3798.unmapped-both-read-and-mate	504.0	9274.0	181.0	722.0	160.0	293.0	16268.0
MUX8244.WHB3803.unmapped-both-read-and-mate	472334.0	20045.0	10508.0	789.0	5676.0	9767.0	58958.0
MUX8248.WHB3821.unmapped-both-read-and-mate	200284.0	6169.0	4054.0	969.0	279.0	3998.0	48851.0
MUX8248.WHB3822.unmapped-both-read-and-mate	407.0	5723.0	130.0	870.0	129.0	196.0	28041.0
MUX8250.WHB3832.unmapped-both-read-and-mate	296903.0	6872.0	5863.0	983.0	333.0	5699.0	51184.0
MUX8250.WHB3836.unmapped-both-read-and-mate	378.0	6588.0	165.0	909.0	138.0	225.0	26842.0
MUX8253.WHB3837.unmapped-both-read-and-mate	416642.0	18460.0	9271.0	729.0	5244.0	8875.0	54013.0
MUX8257.WHB4866.unmapped-both-read-and-mate	656169.0	69412.0	15353.0	682.0	7759.0	14170.0	91606.0
MUX8257.WHB4867.unmapped-both-read-and-mate	706589.0	94389.0	16558.0	598.0	9562.0	15401.0	102381.0
MUX8277.WHB4914.unmapped-both-read-and-mate	248079.0	38094.0	6096.0	954.0	4345.0	5738.0	59336.0
MUX8277.WHB4916.unmapped-both-read-and-mate	386498.0	18140.0	8206.0	858.0	4852.0	8126.0	60439.0
MUX8277.WHB4918.unmapped-both-read-and-mate	275894.0	20848.0	6108.0	870.0	4560.0	5900.0	52564.0
MUX8278.WHB4923.unmapped-both-read-and-mate	236632.0	15557.0	5427.0	964.0	5151.0	5170.0	48300.0
MUX8281.WHB4938.unmapped-both-read-and-mate	220462.0	36894.0	5528.0	634.0	5497.0	5310.0	48680.0
MUX8282.WHB4943.unmapped-both-read-and-mate	460587.0	27059.0	10432.0	608.0	6817.0	9703.0	58730.0
MUX8302.WHB4954.unmapped-both-read-and-mate	163683.0	13755.0	3647.0	733.0	4816.0	3565.0	31789.0
MUX8302.WHB4956.unmapped-both-read-and-mate	263142.0	13899.0	5652.0	613.0	5746.0	5553.0	37137.0
MUX8303.WHB4959.unmapped-both-read-and-mate	1480.0	3993.0	143.0	598.0	183.0	254.0	8590.0
MUX8309.WHB4965.unmapped-both-read-and-mate	221072.0	12942.0	4603.0	1101.0	4837.0	4594.0	58709.0
MUX8310.WHB4969.unmapped-both-read-and-mate	192685.0	10250.0	4144.0	1182.0	3413.0	3967.0	61202.0
MUX8310.WHB4970.unmapped-both-read-and-mate	1220.0	2809.0	139.0	1188.0	128.0	107.0	44558.0
MUX8314.WHB4990.unmapped-both-read-and-mate	328058.0	17527.0	7110.0	944.0	6728.0	6790.0	59828.0
MUX8315.WHB4996.unmapped-both-read-and-mate	726.0	2928.0	78.0	891.0	112.0	106.0	26152.0
MUX8316.WHB5003.unmapped-both-read-and-mate	192117.0	8560.0	4082.0	887.0	2950.0	4096.0	45765.0
MUX8329.WHB5079.unmapped-both-read-and-mate	100903.0	7267.0	2185.0	917.0	907.0	2054.0	25935.0
MUX8329.WHB5082.unmapped-both-read-and-mate	29049.0	2185.0	573.0	908.0	235.0	811.0	13368.0
MUX8330.WHB5084.unmapped-both-read-and-mate	48450.0	5311.0	1033.0	859.0	369.0	1112.0	15521.0
MUX8332.WHB5095.unmapped-both-read-and-mate	63167.0	6928.0	1380.0	669.0	499.0	1390.0	17026.0
MUX8337.WHB5109.unmapped-both-read-and-mate	103196.0	10432.0	2155.0	766.0	690.0	2249.0	24319.0
MUX8353.WHB5055.unmapped-both-read-and-mate	60479.0	7365.0	1297.0	950.0	603.0	1367.0	30071.0
MUX8364.WHB5157.unmapped-both-read-and-mate	49669.0	10222.0	1116.0	1205.0	895.0	1175.0	41381.0
MUX8367.WHB5170.unmapped-both-read-and-mate	65919.0	9708.0	1470.0	1146.0	1165.0	1384.0	29751.0
MUX8367.WHB5172.unmapped-both-read-and-mate	56714.0	7930.0	1237.0	1194.0	965.0	1257.0	26528.0
MUX8368.WHB5175.unmapped-both-read-and-mate	89107.0	7927.0	2017.0	1359.0	1844.0	1922.0	30654.0
MUX8368.WHB5176.unmapped-both-read-and-mate	127008.0	8363.0	2603.0	1076.0	2608.0	2617.0	31134.0
MUX8370.WHB5185.unmapped-both-read-and-mate	91560.0	7471.0	1935.0	922.0	1840.0	1893.0	23999.0
MUX8386.WHB5341.unmapped-both-read-and-mate	294.0	8907.0	6570.0	996.0	252.0	441.0	27603.0
MUX8388.WHB5350.unmapped-both-read-and-mate	207.0	10879.0	378.0	833.0	280.0	362.0	23712.0
MUX8390.WHB5360.unmapped-both-read-and-mate	573.0	28138.0	766.0	429.0	617.0	918.0	36706.0
MUX8391.WHB5365.unmapped-both-read-and-mate	182.0	7837.0	364.0	744.0	170.0	263.0	15660.0
MUX8435.WHB5403.unmapped-both-read-and-mate	124878.0	12320.0	2869.0	1296.0	5511.0	2807.0	69147.0
MUX8436.WHB5408.unmapped-both-read-and-mate	168713.0	12287.0	3889.0	1065.0	5390.0	3575.0	51622.0
MUX8437.WHB5414.unmapped-both-read-and-mate	59873.0	11259.0	2010.0	882.0	2377.0	1549.0	32374.0
MUX8445.WHB5440.unmapped-both-read-and-mate	141885.0	17450.0	3300.0	1211.0	5925.0	3143.0	57267.0
MUX8459.WHB5456.unmapped-both-read-and-mate	219254.0	17733.0	5278.0	693.0	7975.0	4711.0	40092.0
MUX8460.WHB5464.unmapped-both-read-and-mate	88055.0	11751.0	2182.0	727.0	3799.0	2113.0	23518.0
MUX8461.WHB5469.unmapped-both-read-and-mate	157439.0	12864.0	3783.0	621.0	6013.0	3603.0	32901.0
MUX8680.WHB5487.unmapped-both-read-and-mate	168.0	1016.0	1439.0	664.0	948.0	49.0	17014.0
MUX8688.WHB5534.unmapped-both-read-and-mate	141.0	1292.0	2041.0	525.0	320.0	196.0	10512.0
MUX8699.WHB5572.unmapped-both-read-and-mate	350.0	2243.0	5195.0	388.0	2265.0	164.0	7944.0
MUX8700.WHB5577.unmapped-both-read-and-mate	243.0	3117.0	2098.0	375.0	904.0	110.0	6232.0
MUX8718.WHB5653.unmapped-both-read-and-mate	214.0	1545.0	3012.0	721.0	592.0	4868.0	24905.0
MUX8721.WHB5669.unmapped-both-read-and-mate	74.0	430.0	847.0	426.0	324.0	44.0	13376.0
MUX8746.WHB5602.unmapped-both-read-and-mate	99.0	549.0	1300.0	370.0	518.0	22.0	10249.0
MUX8748.WHB5680.unmapped-both-read-and-mate	156.0	1097.0	2443.0	370.0	2219.0	93.0	11019.0
MUX8755.WHB5715.unmapped-both-read-and-mate	162.0	1090.0	2157.0	369.0	530.0	48.0	7387.0
MUX8783.WHB5850.unmapped-both-read-and-mate	260.0	2155.0	4589.0	440.0	2801.0	198.0	13219.0
MUX8831.WHH6818.unmapped-both-read-and-mate	346.0	3655.0	3727.0	443.0	473.0	162.0	11317.0
MUX8835.WHH6868.unmapped-both-read-and-mate	457.0	4504.0	4628.0	492.0	1460.0	391.0	16465.0
MUX8846.WHH6914.unmapped-both-read-and-mate	426.0	5119.0	3453.0	352.0	854.0	758.0	17301.0
MUX8850.WHH6931.unmapped-both-read-and-mate	199.0	2684.0	3301.0	359.0	743.0	172.0	6704.0
MUX8853.WHH6952.unmapped-both-read-and-mate	455.0	3044.0	5743.0	391.0	1643.0	157.0	8356.0
MUX8855.WHH6964.unmapped-both-read-and-mate	256.0	2447.0	4376.0	271.0	533.0	117.0	6058.0
MUX8857.WHH6963.unmapped-both-read-and-mate	218.0	2612.0	2772.0	303.0	289.0	101.0	6270.0
MUX8871.WHH7034.unmapped-both-read-and-mate	285.0	2498.0	2760.0	515.0	203.0	118.0	14611.0
MUX8872.WHH7041.unmapped-both-read-and-mate	252.0	3411.0	2516.0	476.0	1663.0	140.0	14772.0
MUX8935.WHH7083.unmapped-both-read-and-mate	314.0	2595.0	3150.0	532.0	473.0	130.0	12209.0
MUX8944.WHH6980.unmapped-both-read-and-mate	665.0	10431.0	3370.0	660.0	1032.0	648.0	33516.0
MUX8946.WHH7080.unmapped-both-read-and-mate	277.0	4741.0	2324.0	648.0	382.0	162.0	27771.0
MUX8950.WHH7139.unmapped-both-read-and-mate	571.0	4657.0	5438.0	542.0	569.0	398.0	19638.0
MUX8950.WHH7142.unmapped-both-read-and-mate	229.0	2073.0	1749.0	519.0	540.0	107.0	16341.0
MUX8951.WHH7153.unmapped-both-read-and-mate	187.0	1592.0	1752.0	460.0	403.0	102.0	11290.0
MUX8951.WHH7158.unmapped-both-read-and-mate	1112.0	7305.0	3459.0	649.0	1051.0	276.0	20649.0
MUX8960.WHB3854.unmapped-both-read-and-mate	69.0	2417.0	61.0	1271.0	116.0	89.0	45247.0
MUX8972.WHB3888.unmapped-both-read-and-mate	119.0	4125.0	90.0	876.0	96.0	277.0	20684.0
MUX8974.WHB3866.unmapped-both-read-and-mate	134.0	6767.0	167.0	2478.0	210.0	267.0	105441.0
MUX8975.WHB3864.unmapped-both-read-and-mate	81.0	3082.0	91.0	2088.0	116.0	109.0	84503.0
MUX8981.WHB3909.unmapped-both-read-and-mate	89.0	3899.0	96.0	942.0	77.0	115.0	16872.0
MUX8981.WHB3910.unmapped-both-read-and-mate	53.0	2113.0	41.0	750.0	61.0	71.0	11439.0
MUX8982.WHB3915.unmapped-both-read-and-mate	100.0	4753.0	123.0	1794.0	84.0	134.0	79224.0
MUX8982.WHB3916.unmapped-both-read-and-mate	49.0	2152.0	43.0	1463.0	62.0	79.0	60115.0
MUX8983.WHB3922.unmapped-both-read-and-mate	100.0	4259.0	110.0	1421.0	125.0	139.0	55247.0
MUX8985.WHB3927.unmapped-both-read-and-mate	10.0	560.0	10.0	904.0	20.0	22.0	25553.0
MUX8985.WHB3928.unmapped-both-read-and-mate	61.0	2759.0	63.0	1056.0	72.0	105.0	33141.0
MUX8985.WHB3931.unmapped-both-read-and-mate	73.0	3167.0	66.0	1184.0	57.0	83.0	34753.0
MUX8989.WHB3939.unmapped-both-read-and-mate	125.0	5129.0	119.0	1331.0	170.0	554.0	48488.0
MUX9013.WHB3962.unmapped-both-read-and-mate	130.0	6380.0	143.0	948.0	203.0	216.0	20512.0
MUX9017.WHB3972.unmapped-both-read-and-mate	204.0	9941.0	244.0	1698.0	248.0	328.0	62251.0
MUX9019.WHB3989.unmapped-both-read-and-mate	201.0	10676.0	252.0	1345.0	220.0	313.0	58578.0
MUX9022.WHB3997.unmapped-both-read-and-mate	261.0	9782.0	177.0	790.0	284.0	296.0	16029.0
MUX9022.WHB3999.unmapped-both-read-and-mate	164.0	8819.0	219.0	976.0	806.0	273.0	16628.0
MUX9022.WHB4005.unmapped-both-read-and-mate	170.0	8901.0	184.0	732.0	219.0	311.0	15779.0
MUX9032.WHB4051.unmapped-both-read-and-mate	30.0	1251.0	41.0	774.0	46.0	53.0	18806.0
MUX9037.WHB4006.unmapped-both-read-and-mate	433.0	8858.0	220.0	1093.0	231.0	1588.0	38968.0
MUX9037.WHB4007.unmapped-both-read-and-mate	231.0	10101.0	197.0	1403.0	241.0	579.0	44689.0
MUX9038.WHB4011.unmapped-both-read-and-mate	132.0	7085.0	140.0	1203.0	172.0	277.0	36390.0
MUX9038.WHB4012.unmapped-both-read-and-mate	78.0	2296.0	46.0	1094.0	56.0	228.0	26174.0
MUX9046.WHB4035.unmapped-both-read-and-mate	368.0	14781.0	318.0	925.0	848.0	1367.0	34503.0
MUX9049.WHB4076.unmapped-both-read-and-mate	82.0	2623.0	71.0	1452.0	74.0	98.0	51900.0
MUX9049.WHB4077.unmapped-both-read-and-mate	58.0	2153.0	51.0	1039.0	85.0	76.0	39799.0
MUX9058.WHB4122.unmapped-both-read-and-mate	510.0	2306.0	60.0	1146.0	169.0	64.0	22768.0
MUX9084.WHB4137.unmapped-both-read-and-mate	38.0	1990.0	65.0	421.0	97.0	167.0	7481.0
MUX9085.WHB4142.unmapped-both-read-and-mate	95.0	415.0	14.0	818.0	80.0	22.0	6459.0
MUX9094.WHB4183.unmapped-both-read-and-mate	3263.0	1234.0	161.0	787.0	163.0	90.0	15662.0
MUX9097.WHB4203.unmapped-both-read-and-mate	926.0	532.0	40.0	1033.0	383.0	108.0	16767.0
MUX9101.WHB4211.unmapped-both-read-and-mate	1122.0	848.0	74.0	558.0	258.0	823.0	5499.0
MUX9101.WHB4223.unmapped-both-read-and-mate	265.0	443.0	28.0	683.0	61.0	17.0	5547.0
MUX9102.WHB4228.unmapped-both-read-and-mate	916.0	834.0	93.0	637.0	72.0	24.0	5490.0
MUX9103.WHB4235.unmapped-both-read-and-mate	1104.0	903.0	63.0	777.0	140.0	103.0	6012.0
MUX9109.WHB4261.unmapped-both-read-and-mate	34.0	348.0	7.0	835.0	45.0	12.0	28866.0
MUX9123.WHB4276.unmapped-both-read-and-mate	70.0	1020.0	27.0	570.0	187.0	25.0	6439.0
MUX9123.WHB4278.unmapped-both-read-and-mate	21.0	358.0	7.0	646.0	28.0	9.0	7364.0
MUX9126.WHB4281.unmapped-both-read-and-mate	149.0	901.0	29.0	1053.0	210.0	63.0	22458.0
MUX9126.WHB4291.unmapped-both-read-and-mate	209.0	2037.0	44.0	835.0	394.0	87.0	16602.0
MUX9127.WHB4298.unmapped-both-read-and-mate	31.0	459.0	15.0	963.0	124.0	45.0	16545.0
MUX9130.WHB4315.unmapped-both-read-and-mate	29.0	231.0	25.0	739.0	19.0	67.0	8154.0
MUX9132.WHB4326.unmapped-both-read-and-mate	25.0	280.0	6.0	536.0	123.0	5.0	5082.0
MUX9137.WHB4338.unmapped-both-read-and-mate	62.0	271.0	21.0	1296.0	131.0	20.0	35128.0
MUX9142.WHB4367.unmapped-both-read-and-mate	47.0	417.0	19.0	745.0	117.0	28.0	7094.0
MUX9143.WHB4376.unmapped-both-read-and-mate	26.0	95.0	141.0	663.0	10.0	19.0	5104.0
MUX9144.WHB4381.unmapped-both-read-and-mate	29.0	141.0	9.0	789.0	125.0	40.0	5418.0
MUX9145.WHB4387.unmapped-both-read-and-mate	57.0	829.0	20.0	801.0	101.0	22.0	9648.0
MUX9148.WHB4394.unmapped-both-read-and-mate	30.0	231.0	23.0	859.0	53.0	44.0	10887.0
MUX9148.WHB4400.unmapped-both-read-and-mate	71.0	501.0	11.0	901.0	183.0	20.0	11157.0
MUX9152.WHB4413.unmapped-both-read-and-mate	64.0	37.0	19.0	719.0	16.0	8.0	6278.0
MUX9159.WHB4450.unmapped-both-read-and-mate	39.0	651.0	23.0	1995.0	104.0	1218.0	66492.0
MUX9159.WHB4451.unmapped-both-read-and-mate	39.0	687.0	36.0	1959.0	111.0	132.0	62720.0
MUX9194.WHB4480.unmapped-both-read-and-mate	31.0	706.0	16.0	774.0	31.0	36.0	5810.0
MUX9196.WHB4490.unmapped-both-read-and-mate	51.0	1208.0	36.0	865.0	95.0	65.0	8313.0
MUX9197.WHB4504.unmapped-both-read-and-mate	31.0	687.0	11.0	607.0	15.0	38.0	7764.0
MUX9200.WHB4515.unmapped-both-read-and-mate	70.0	2273.0	37.0	944.0	623.0	145.0	29637.0
MUX9201.WHB4526.unmapped-both-read-and-mate	51.0	2765.0	68.0	899.0	164.0	81.0	25869.0
MUX9204.WHB4539.unmapped-both-read-and-mate	217.0	3935.0	117.0	1348.0	686.0	1476.0	65421.0
MUX9207.WHB4544.unmapped-both-read-and-mate	134.0	2317.0	57.0	812.0	54.0	73.0	15459.0
MUX9208.WHB4550.unmapped-both-read-and-mate	135.0	3593.0	74.0	1087.0	82.0	188.0	20932.0
MUX9210.WHB4560.unmapped-both-read-and-mate	80.0	3437.0	61.0	954.0	360.0	115.0	21299.0
MUX9216.WHB4587.unmapped-both-read-and-mate	28.0	1180.0	34.0	1218.0	34.0	47.0	49532.0
MUX9217.WHB4589.unmapped-both-read-and-mate	51.0	1709.0	42.0	1272.0	70.0	131.0	54100.0
MUX9227.WHB4596.unmapped-both-read-and-mate	47.0	1096.0	35.0	826.0	45.0	145.0	15558.0
MUX9227.WHB4598.unmapped-both-read-and-mate	70.0	2490.0	80.0	645.0	37.0	155.0	14584.0
MUX9228.WHB4604.unmapped-both-read-and-mate	44.0	1900.0	49.0	961.0	58.0	94.0	19776.0
MUX9229.WHB4603.unmapped-both-read-and-mate	76.0	2343.0	65.0	810.0	73.0	79.0	17554.0
MUX9229.WHB4605.unmapped-both-read-and-mate	85.0	2884.0	80.0	862.0	164.0	124.0	18872.0
MUX9232.WHB4622.unmapped-both-read-and-mate	40.0	401.0	24.0	1019.0	28.0	95.0	33066.0
MUX9233.WHB4628.unmapped-both-read-and-mate	36.0	352.0	15.0	829.0	33.0	15.0	26466.0
MUX9237.WHB4643.unmapped-both-read-and-mate	22.0	156.0	21.0	1767.0	14.0	35.0	72358.0
MUX9238.WHB4651.unmapped-both-read-and-mate	96.0	452.0	8.0	1314.0	27.0	17.0	50714.0
MUX9240.WHB4661.unmapped-both-read-and-mate	52.0	973.0	22.0	1248.0	103.0	61.0	43945.0
MUX9241.WHB4720.unmapped-both-read-and-mate	22.0	119.0	19.0	575.0	8.0	8.0	9455.0
MUX9242.WHB4667.unmapped-both-read-and-mate	19.0	310.0	17.0	615.0	33.0	28.0	10144.0
MUX9245.WHB4689.unmapped-both-read-and-mate	23.0	205.0	8.0	1036.0	30.0	18.0	32533.0
MUX9254.WHB4669.unmapped-both-read-and-mate	28.0	557.0	25.0	600.0	25.0	10.0	7407.0
MUX9255.WHB4675.unmapped-both-read-and-mate	49.0	132.0	20.0	585.0	81.0	305.0	6153.0
MUX9261.WHB4710.unmapped-both-read-and-mate	21.0	162.0	17.0	758.0	16.0	11.0	15909.0
MUX9263.WHB4722.unmapped-both-read-and-mate	33.0	455.0	18.0	781.0	37.0	9.0	15408.0
MUX9264.WHB4715.unmapped-both-read-and-mate	37.0	154.0	11.0	683.0	79.0	62.0	8552.0
MUX9276.WHB4733.unmapped-both-read-and-mate	42.0	368.0	21.0	1038.0	78.0	68.0	37055.0
MUX9277.WHB4739.unmapped-both-read-and-mate	45.0	228.0	6.0	1190.0	135.0	129.0	39557.0
MUX9280.WHB4753.unmapped-both-read-and-mate	30.0	217.0	7.0	682.0	25.0	33.0	8404.0
MUX9281.WHB4760.unmapped-both-read-and-mate	29.0	193.0	6.0	587.0	50.0	46.0	8037.0
MUX9283.WHB4787.unmapped-both-read-and-mate	27.0	540.0	20.0	566.0	88.0	16.0	5322.0
