Sample	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Mammalia	Actinobacteria	Other	Unclassified
MUX10444.WHB8481.unmapped-both-read-and-mate	227.0	15252.0	279.0	686.0	174.0	321.0	34828.0
MUX10464.WHB8520.unmapped-both-read-and-mate	262.0	12108.0	233.0	742.0	256.0	302.0	62190.0
MUX10469.WHB8551.unmapped-both-read-and-mate	90.0	2492.0	75.0	658.0	32.0	61.0	20995.0
MUX10474.WHB8575.unmapped-both-read-and-mate	118.0	6378.0	202.0	816.0	94.0	158.0	26384.0
MUX10479.WHB8597.unmapped-both-read-and-mate	254.0	13096.0	365.0	711.0	213.0	327.0	29155.0
MUX10492.WHB8665.unmapped-both-read-and-mate	70.0	3645.0	68.0	704.0	62.0	72.0	27459.0
MUX10493.WHB8672.unmapped-both-read-and-mate	54.0	2427.0	45.0	294.0	58.0	59.0	4787.0
MUX10498.WHB8695.unmapped-both-read-and-mate	99.0	6177.0	109.0	305.0	69.0	123.0	6727.0
MUX10498.WHB8696.unmapped-both-read-and-mate	242.0	16444.0	295.0	345.0	400.0	337.0	13531.0
MUX10519.WHB8747.unmapped-both-read-and-mate	350.0	11121.0	3704.0	326.0	275.0	310.0	12079.0
MUX10519.WHB8748.unmapped-both-read-and-mate	407.0	8925.0	6963.0	340.0	196.0	344.0	12226.0
MUX10560.WHB6725.unmapped-both-read-and-mate	55.0	2551.0	61.0	359.0	87.0	82.0	5204.0
MUX10566.WHB7958.unmapped-both-read-and-mate	336.0	19368.0	290.0	384.0	219.0	405.0	15070.0
MUX10590.WHB8028.unmapped-both-read-and-mate	234.0	12640.0	176.0	537.0	130.0	279.0	15218.0
MUX10606.WHB10691.unmapped-both-read-and-mate	4599.0	134357.0	3335.0	369.0	2910.0	3722.0	127361.0
MUX10610.WHB10715.unmapped-both-read-and-mate	804.0	24521.0	606.0	462.0	739.0	727.0	29708.0
MUX10622.WHB10737.unmapped-both-read-and-mate	417.0	17732.0	381.0	340.0	302.0	493.0	18792.0
MUX10625.WHB10754.unmapped-both-read-and-mate	1936.0	85459.0	2453.0	422.0	2359.0	2374.0	78508.0
MUX10630.WHB10840.unmapped-both-read-and-mate	5082.0	234206.0	5361.0	410.0	4295.0	6477.0	209310.0
MUX10638.WHB10782.unmapped-both-read-and-mate	2208.0	99959.0	2256.0	554.0	2007.0	2769.0	106647.0
MUX10642.WHB10865.unmapped-both-read-and-mate	1355.0	11453.0	910.0	377.0	585.0	341.0	23569.0
MUX10668.WHB10816.unmapped-both-read-and-mate	487.0	21271.0	522.0	554.0	321.0	602.0	27708.0
MUX10668.WHB10820.unmapped-both-read-and-mate	5955.0	270817.0	7976.0	748.0	6393.0	7886.0	259101.0
MUX10670.WHB10829.unmapped-both-read-and-mate	2236.0	107378.0	2333.0	377.0	1621.0	2933.0	103376.0
MUX10675.WHB10986.unmapped-both-read-and-mate	1653.0	23215.0	1068.0	554.0	746.0	690.0	25348.0
MUX10681.WHB11014.unmapped-both-read-and-mate	819.0	38945.0	845.0	613.0	645.0	1094.0	48884.0
MUX10685.WHB11036.unmapped-both-read-and-mate	961.0	44752.0	1003.0	481.0	836.0	1234.0	53765.0
MUX10691.WHB11068.unmapped-both-read-and-mate	408.0	15121.0	3812.0	458.0	256.0	472.0	18460.0
MUX10701.WHB10905.unmapped-both-read-and-mate	1206.0	17548.0	795.0	618.0	600.0	525.0	38776.0
MUX10704.WHB10923.unmapped-both-read-and-mate	747.0	18555.0	589.0	586.0	425.0	527.0	38707.0
MUX10706.WHB10925.unmapped-both-read-and-mate	1628.0	50662.0	1482.0	450.0	942.0	1372.0	52232.0
MUX10712.WHB10956.unmapped-both-read-and-mate	865.0	15118.0	743.0	490.0	1756.0	460.0	20906.0
MUX10745.WHB11102.unmapped-both-read-and-mate	511.0	17930.0	456.0	388.0	342.0	466.0	21226.0
MUX10762.WHB8517.unmapped-both-read-and-mate	64.0	3744.0	63.0	544.0	56.0	93.0	19522.0
MUX3275.WHH429.unmapped-both-read-and-mate	16.0	6.0	19.0	1065.0	1.0	3.0	6757.0
MUX3275.WHH520.unmapped-both-read-and-mate	21.0	7.0	21.0	772.0	4.0	5.0	4937.0
MUX3316.WHH533.unmapped-both-read-and-mate	40.0	3.0	34.0	769.0	9.0	9.0	4670.0
MUX3316.WHH550.unmapped-both-read-and-mate	33.0	9.0	34.0	677.0	1.0	4.0	4486.0
MUX3316.WHH552.unmapped-both-read-and-mate	32.0	6.0	43.0	932.0	15.0	3.0	6090.0
MUX3316.WHH559.unmapped-both-read-and-mate	25.0	4.0	42.0	768.0	7.0	5.0	5292.0
MUX3316.WHH591.unmapped-both-read-and-mate	38.0	4.0	25.0	808.0	4.0	16.0	4686.0
MUX3316.WHH608.unmapped-both-read-and-mate	26.0	2.0	37.0	665.0	2.0	4.0	4118.0
MUX3316.WHH609.unmapped-both-read-and-mate	37.0	7.0	48.0	813.0	2.0	6.0	5045.0
MUX3316.WHH612.unmapped-both-read-and-mate	25.0	9.0	34.0	866.0	1.0	9.0	5612.0
MUX3316.WHH617.unmapped-both-read-and-mate	28.0	4.0	33.0	673.0	3.0	6.0	4459.0
