Sample	Pseudomonas mendocina	Homo sapiens	Alcaligenes faecalis	Sphingobium sp. YG1	Ralstonia insidiosa	Other	Unclassified
MUX10469.WHB8551.unmapped-both-read-and-mate	nan	658.0	nan	825.0	1.0	1924.0	20995.0
MUX10474.WHB8575.unmapped-both-read-and-mate	nan	816.0	nan	1946.0	2.0	5002.0	26384.0
MUX10479.WHB8597.unmapped-both-read-and-mate	3.0	711.0	nan	4411.0	8.0	9833.0	29155.0
MUX10492.WHB8665.unmapped-both-read-and-mate	nan	704.0	nan	1237.0	1.0	2679.0	27459.0
MUX10493.WHB8672.unmapped-both-read-and-mate	nan	294.0	nan	831.0	1.0	1811.0	4787.0
MUX10498.WHB8695.unmapped-both-read-and-mate	2.0	305.0	2.0	2068.0	2.0	4503.0	6727.0
MUX10498.WHB8696.unmapped-both-read-and-mate	5.0	345.0	nan	5295.0	1.0	12417.0	13531.0
MUX10519.WHB8747.unmapped-both-read-and-mate	1.0	326.0	19.0	3558.0	625.0	11557.0	12079.0
MUX10519.WHB8748.unmapped-both-read-and-mate	2.0	340.0	26.0	2844.0	1262.0	12701.0	12226.0
MUX10560.WHB6725.unmapped-both-read-and-mate	2.0	359.0	nan	nan	nan	2834.0	5204.0
MUX10566.WHB7958.unmapped-both-read-and-mate	2.0	384.0	nan	6069.0	1.0	14546.0	15070.0
MUX10590.WHB8028.unmapped-both-read-and-mate	2.0	537.0	nan	4183.0	9.0	9265.0	15218.0
MUX10606.WHB10691.unmapped-both-read-and-mate	32.0	369.0	1.0	18890.0	145.0	129855.0	127361.0
MUX10610.WHB10715.unmapped-both-read-and-mate	6.0	462.0	nan	3358.0	18.0	24015.0	29708.0
MUX10622.WHB10737.unmapped-both-read-and-mate	3.0	340.0	nan	2500.0	2.0	16820.0	18792.0
MUX10625.WHB10754.unmapped-both-read-and-mate	21.0	422.0	nan	11899.0	429.0	82232.0	78508.0
MUX10630.WHB10840.unmapped-both-read-and-mate	60.0	410.0	2.0	31906.0	127.0	223326.0	209310.0
MUX10638.WHB10782.unmapped-both-read-and-mate	18.0	554.0	1.0	13350.0	19.0	95811.0	106647.0
MUX10642.WHB10865.unmapped-both-read-and-mate	3.0	377.0	nan	1466.0	1.0	13174.0	23569.0
MUX10668.WHB10816.unmapped-both-read-and-mate	3.0	554.0	2.0	2830.0	8.0	20360.0	27708.0
MUX10668.WHB10820.unmapped-both-read-and-mate	73.0	748.0	3.0	35576.0	81.0	263294.0	259101.0
MUX10670.WHB10829.unmapped-both-read-and-mate	30.0	377.0	nan	14311.0	6.0	102154.0	103376.0
MUX10675.WHB10986.unmapped-both-read-and-mate	7.0	554.0	nan	3092.0	nan	24273.0	25348.0
MUX10681.WHB11014.unmapped-both-read-and-mate	3.0	613.0	nan	5381.0	17.0	36947.0	48884.0
MUX10685.WHB11036.unmapped-both-read-and-mate	6.0	481.0	1.0	6228.0	13.0	42538.0	53765.0
MUX10691.WHB11068.unmapped-both-read-and-mate	3.0	458.0	3.0	2226.0	281.0	17556.0	18460.0
MUX10701.WHB10905.unmapped-both-read-and-mate	2.0	618.0	nan	2456.0	4.0	18212.0	38776.0
MUX10704.WHB10923.unmapped-both-read-and-mate	1.0	586.0	nan	2416.0	5.0	18421.0	38707.0
MUX10706.WHB10925.unmapped-both-read-and-mate	14.0	450.0	1.0	6947.0	49.0	49075.0	52232.0
MUX10712.WHB10956.unmapped-both-read-and-mate	6.0	490.0	nan	1796.0	44.0	17096.0	20906.0
MUX10745.WHB11102.unmapped-both-read-and-mate	5.0	388.0	nan	2571.0	13.0	17116.0	21226.0
MUX10762.WHB8517.unmapped-both-read-and-mate	2.0	544.0	nan	1149.0	nan	2869.0	19522.0
MUX3275.WHH429.unmapped-both-read-and-mate	nan	1065.0	nan	nan	2.0	43.0	6757.0
MUX3275.WHH520.unmapped-both-read-and-mate	nan	772.0	nan	nan	2.0	56.0	4937.0
MUX3316.WHH533.unmapped-both-read-and-mate	1.0	769.0	nan	nan	2.0	92.0	4670.0
MUX3316.WHH550.unmapped-both-read-and-mate	nan	677.0	nan	nan	1.0	80.0	4486.0
MUX3316.WHH552.unmapped-both-read-and-mate	1.0	932.0	nan	nan	4.0	94.0	6090.0
MUX3316.WHH559.unmapped-both-read-and-mate	1.0	768.0	nan	nan	nan	82.0	5292.0
MUX3316.WHH591.unmapped-both-read-and-mate	nan	808.0	nan	nan	3.0	84.0	4686.0
MUX3316.WHH608.unmapped-both-read-and-mate	nan	665.0	nan	nan	9.0	62.0	4118.0
MUX3316.WHH609.unmapped-both-read-and-mate	nan	813.0	nan	nan	7.0	93.0	5045.0
MUX3316.WHH612.unmapped-both-read-and-mate	nan	866.0	nan	nan	5.0	73.0	5612.0
MUX3316.WHH617.unmapped-both-read-and-mate	nan	673.0	nan	nan	5.0	69.0	4459.0
MUX3316.WHH620.unmapped-both-read-and-mate	nan	671.0	nan	nan	4.0	101.0	4342.0
MUX3359.WHH635.unmapped-both-read-and-mate	nan	610.0	nan	nan	3.0	100.0	4545.0
MUX3359.WHH636.unmapped-both-read-and-mate	nan	619.0	nan	nan	2.0	73.0	3942.0
MUX3359.WHH675.unmapped-both-read-and-mate	nan	546.0	nan	nan	nan	55.0	3625.0
MUX3359.WHH687.unmapped-both-read-and-mate	2.0	649.0	nan	nan	3.0	55.0	3803.0
MUX3381.WHH718.unmapped-both-read-and-mate	2.0	693.0	nan	nan	1.0	97.0	5015.0
MUX3381.WHH728.unmapped-both-read-and-mate	nan	812.0	nan	nan	6.0	106.0	5360.0
MUX3381.WHH732.unmapped-both-read-and-mate	2.0	670.0	nan	nan	2.0	132.0	4502.0
MUX3381.WHH758.unmapped-both-read-and-mate	2.0	750.0	nan	nan	1.0	61.0	5369.0
MUX3381.WHH761.unmapped-both-read-and-mate	1.0	775.0	nan	nan	1.0	52.0	4882.0
MUX3381.WHH771.unmapped-both-read-and-mate	nan	678.0	nan	nan	nan	132.0	5006.0
MUX3381.WHH772.unmapped-both-read-and-mate	nan	772.0	nan	nan	3.0	123.0	5373.0
MUX3381.WHH782.unmapped-both-read-and-mate	nan	787.0	nan	nan	1.0	129.0	5135.0
MUX3434.WHH839.unmapped-both-read-and-mate	nan	722.0	nan	nan	3.0	79.0	4499.0
MUX3434.WHH849.unmapped-both-read-and-mate	nan	766.0	nan	nan	2.0	109.0	4566.0
MUX3434.WHH860.unmapped-both-read-and-mate	nan	862.0	nan	nan	3.0	51.0	5397.0
MUX3434.WHH868.unmapped-both-read-and-mate	nan	763.0	nan	nan	4.0	124.0	5346.0
MUX3434.WHH872.unmapped-both-read-and-mate	1.0	887.0	nan	nan	2.0	118.0	5862.0
MUX3529.WHH942.unmapped-both-read-and-mate	1.0	657.0	nan	nan	7.0	191.0	4202.0
MUX3529.WHH966.unmapped-both-read-and-mate	nan	708.0	nan	nan	2.0	99.0	4779.0
MUX3529.WHH981.unmapped-both-read-and-mate	nan	793.0	nan	nan	4.0	177.0	5008.0
MUX3529.WHH987.unmapped-both-read-and-mate	nan	777.0	nan	nan	10.0	144.0	4595.0
MUX3529.WHH999.unmapped-both-read-and-mate	2.0	654.0	nan	nan	2.0	91.0	4206.0
MUX3936.WHH1096.unmapped-both-read-and-mate	1.0	716.0	nan	nan	3.0	241.0	4808.0
MUX3936.WHH1097.unmapped-both-read-and-mate	3.0	669.0	nan	nan	3.0	51.0	4181.0
MUX3936.WHH1122.unmapped-both-read-and-mate	1.0	747.0	nan	nan	nan	65.0	4306.0
MUX3936.WHH1136.unmapped-both-read-and-mate	5.0	803.0	14.0	nan	600.0	3560.0	7809.0
MUX3936.WHH1147.unmapped-both-read-and-mate	2.0	594.0	31.0	nan	1492.0	7966.0	9412.0
MUX3949.WHH1158.unmapped-both-read-and-mate	nan	763.0	nan	nan	2.0	46.0	3942.0
MUX3949.WHH1190.unmapped-both-read-and-mate	nan	718.0	nan	nan	32.0	107.0	4294.0
MUX3949.WHH1197.unmapped-both-read-and-mate	nan	844.0	nan	1.0	185.0	2193.0	5290.0
MUX3949.WHH1237.unmapped-both-read-and-mate	nan	673.0	nan	nan	nan	86.0	3813.0
MUX3949.WHH1248.unmapped-both-read-and-mate	6.0	699.0	1.0	1.0	342.0	8500.0	6478.0
MUX3949.WHH1249.unmapped-both-read-and-mate	nan	673.0	nan	nan	253.0	3067.0	5258.0
MUX3969.WHH1253.unmapped-both-read-and-mate	nan	586.0	nan	nan	nan	172.0	4465.0
MUX3969.WHH1276.unmapped-both-read-and-mate	nan	678.0	nan	nan	nan	225.0	4710.0
MUX3969.WHH1284.unmapped-both-read-and-mate	nan	685.0	nan	nan	2.0	300.0	5017.0
MUX3969.WHH1291.unmapped-both-read-and-mate	nan	685.0	2.0	nan	2.0	308.0	4997.0
MUX3969.WHH1294.unmapped-both-read-and-mate	nan	697.0	nan	nan	nan	126.0	4988.0
MUX3969.WHH1302.unmapped-both-read-and-mate	14.0	731.0	nan	1.0	1.0	5682.0	6703.0
MUX3969.WHH1303.unmapped-both-read-and-mate	nan	596.0	nan	nan	3.0	285.0	4518.0
MUX3969.WHH1319.unmapped-both-read-and-mate	1.0	752.0	nan	nan	nan	91.0	4929.0
MUX3969.WHH1321.unmapped-both-read-and-mate	1.0	730.0	nan	nan	2.0	151.0	4704.0
MUX3969.WHH1324.unmapped-both-read-and-mate	nan	720.0	nan	nan	4.0	113.0	5286.0
MUX3969.WHH1329.unmapped-both-read-and-mate	1.0	665.0	nan	nan	nan	482.0	4365.0
MUX3969.WHH1342.unmapped-both-read-and-mate	3.0	645.0	nan	nan	nan	192.0	4832.0
MUX3969.WHH1343.unmapped-both-read-and-mate	3.0	762.0	nan	nan	3.0	238.0	5414.0
MUX3971.WHH1351.unmapped-both-read-and-mate	1.0	625.0	1.0	nan	411.0	2307.0	5440.0
MUX3971.WHH1385.unmapped-both-read-and-mate	1.0	677.0	1.0	nan	566.0	2884.0	6501.0
MUX3971.WHH1398.unmapped-both-read-and-mate	2.0	731.0	nan	nan	1032.0	4826.0	7449.0
MUX3971.WHH1401.unmapped-both-read-and-mate	nan	662.0	nan	nan	396.0	1918.0	5635.0
MUX3971.WHH1403.unmapped-both-read-and-mate	3.0	722.0	nan	1.0	1538.0	7168.0	9581.0
MUX3971.WHH1423.unmapped-both-read-and-mate	2.0	572.0	nan	nan	5.0	191.0	4481.0
MUX3971.WHH1439.unmapped-both-read-and-mate	nan	697.0	25.0	nan	767.0	4245.0	7860.0
MUX4050.WHH1462.unmapped-both-read-and-mate	2.0	656.0	nan	nan	225.0	5350.0	5372.0
MUX4050.WHH1493.unmapped-both-read-and-mate	nan	899.0	nan	nan	40.0	234.0	5419.0
MUX4050.WHH1507.unmapped-both-read-and-mate	2.0	786.0	nan	nan	271.0	3498.0	6049.0
MUX4050.WHH1511.unmapped-both-read-and-mate	nan	800.0	nan	nan	129.0	1657.0	6084.0
MUX4050.WHH1512.unmapped-both-read-and-mate	1.0	754.0	nan	nan	154.0	2104.0	5152.0
MUX4050.WHH1513.unmapped-both-read-and-mate	1.0	648.0	nan	nan	148.0	1712.0	4663.0
MUX4050.WHH1536.unmapped-both-read-and-mate	nan	715.0	nan	nan	nan	198.0	4922.0
MUX4068.WHH1580.unmapped-both-read-and-mate	nan	616.0	nan	nan	5.0	250.0	4566.0
MUX4068.WHH1584.unmapped-both-read-and-mate	1.0	711.0	nan	nan	nan	192.0	5044.0
MUX4068.WHH1587.unmapped-both-read-and-mate	nan	691.0	nan	nan	2.0	370.0	5413.0
MUX4068.WHH1603.unmapped-both-read-and-mate	nan	604.0	nan	nan	nan	116.0	4245.0
