Sample	Pseudomonas mendocina	Homo sapiens	Alcaligenes faecalis	Sphingobium sp. YG1	Ralstonia insidiosa	Other	Unclassified
MUX5304.WHH5077.unmapped-both-read-and-mate	nan	549.0	nan	nan	490.0	3487.0	9154.0
MUX5305.WHH4949.unmapped-both-read-and-mate	nan	493.0	nan	nan	nan	30.0	7443.0
MUX5306.WHH4953.unmapped-both-read-and-mate	nan	458.0	nan	nan	nan	29.0	7311.0
MUX5306.WHH4957.unmapped-both-read-and-mate	nan	478.0	nan	nan	nan	25.0	6658.0
MUX5310.WHH4978.unmapped-both-read-and-mate	nan	406.0	nan	nan	nan	42.0	3742.0
MUX5310.WHH4979.unmapped-both-read-and-mate	nan	440.0	nan	nan	nan	52.0	4083.0
MUX5310.WHH4980.unmapped-both-read-and-mate	nan	408.0	nan	nan	1.0	24.0	4091.0
MUX5310.WHH4987.unmapped-both-read-and-mate	nan	331.0	nan	nan	nan	36.0	3302.0
MUX5311.WHB876.unmapped-both-read-and-mate	nan	328.0	nan	nan	2876.0	953.0	3729.0
MUX5311.WHB879.unmapped-both-read-and-mate	2.0	1776.0	3.0	2.0	3.0	60663.0	179386.0
MUX5311.WHB880.unmapped-both-read-and-mate	2.0	1927.0	1.0	nan	3.0	60023.0	182826.0
MUX5312.WHB904.unmapped-both-read-and-mate	2.0	415.0	nan	nan	3360.0	2887.0	5226.0
MUX5312.WHH4990.unmapped-both-read-and-mate	nan	376.0	nan	nan	nan	407.0	3817.0
MUX5323.WHB742.unmapped-both-read-and-mate	nan	690.0	nan	nan	nan	122.0	12159.0
MUX5325.WHH4897.unmapped-both-read-and-mate	nan	722.0	nan	nan	nan	875.0	12708.0
MUX5328.WHB907.unmapped-both-read-and-mate	nan	334.0	nan	nan	4893.0	4697.0	4938.0
MUX5328.WHB913.unmapped-both-read-and-mate	nan	334.0	nan	nan	5392.0	2484.0	3968.0
MUX5328.WHB914.unmapped-both-read-and-mate	nan	373.0	nan	nan	1028.0	366.0	3700.0
MUX5330.WHB929.unmapped-both-read-and-mate	1.0	426.0	nan	nan	2338.0	1806.0	5499.0
MUX5331.WHB942.unmapped-both-read-and-mate	nan	396.0	1.0	nan	760.0	271.0	4204.0
MUX5331.WHB943.unmapped-both-read-and-mate	nan	400.0	nan	nan	1032.0	375.0	4378.0
MUX5339.WHB951.unmapped-both-read-and-mate	nan	642.0	nan	1.0	2477.0	2263.0	11855.0
MUX5340.WHB962.unmapped-both-read-and-mate	nan	623.0	nan	nan	327.0	166.0	9875.0
MUX5341.WHB969.unmapped-both-read-and-mate	nan	468.0	nan	nan	415.0	155.0	8272.0
MUX5341.WHB975.unmapped-both-read-and-mate	nan	562.0	nan	nan	948.0	330.0	10428.0
MUX5341.WHB979.unmapped-both-read-and-mate	nan	605.0	nan	nan	720.0	294.0	9941.0
MUX5344.WHB997.unmapped-both-read-and-mate	nan	342.0	nan	nan	7387.0	6200.0	6172.0
MUX5347.WHB1023.unmapped-both-read-and-mate	nan	315.0	nan	nan	1131.0	341.0	3561.0
MUX5349.WHB1048.unmapped-both-read-and-mate	nan	418.0	nan	nan	615.0	223.0	4833.0
MUX5849.WHB1082.unmapped-both-read-and-mate	nan	352.0	nan	nan	489.0	685.0	4369.0
MUX5850.WHB1086.unmapped-both-read-and-mate	nan	407.0	nan	nan	707.0	291.0	3583.0
MUX5851.WHB1093.unmapped-both-read-and-mate	nan	395.0	nan	nan	2433.0	889.0	4481.0
MUX5851.WHB1094.unmapped-both-read-and-mate	nan	381.0	nan	nan	1194.0	423.0	3928.0
MUX5851.WHB1095.unmapped-both-read-and-mate	nan	402.0	nan	nan	1292.0	481.0	3979.0
MUX5851.WHB1097.unmapped-both-read-and-mate	nan	356.0	nan	nan	948.0	480.0	3894.0
MUX8076.WHB3389.unmapped-both-read-and-mate	271850.0	755.0	nan	17.0	3.0	216296.0	64906.0
MUX8078.WHB3402.unmapped-both-read-and-mate	401946.0	837.0	nan	43.0	8.0	312533.0	95327.0
MUX8080.WHB3405.unmapped-both-read-and-mate	526966.0	964.0	1.0	54.0	13.0	402238.0	122122.0
MUX8082.WHB3416.unmapped-both-read-and-mate	110887.0	676.0	nan	13.0	1.0	86148.0	34896.0
MUX8084.WHB3428.unmapped-both-read-and-mate	258837.0	908.0	nan	33.0	4.0	196710.0	73822.0
MUX8085.WHB3432.unmapped-both-read-and-mate	256632.0	1066.0	1.0	38.0	8.0	213415.0	79564.0
MUX8089.WHB3450.unmapped-both-read-and-mate	367697.0	981.0	nan	29.0	4.0	284045.0	90209.0
MUX8100.WHB3473.unmapped-both-read-and-mate	140526.0	834.0	1.0	3.0	3.0	90483.0	39635.0
MUX8100.WHB3475.unmapped-both-read-and-mate	567080.0	671.0	3.0	5.0	9.0	380365.0	91138.0
MUX8101.WHB3484.unmapped-both-read-and-mate	542299.0	815.0	7.0	7.0	6.0	377348.0	81625.0
MUX8104.WHB3500.unmapped-both-read-and-mate	1006329.0	899.0	4.0	30.0	4.0	667474.0	144009.0
MUX8106.WHB3510.unmapped-both-read-and-mate	880333.0	763.0	7.0	22.0	6.0	571534.0	126817.0
MUX8107.WHB3513.unmapped-both-read-and-mate	703575.0	743.0	10.0	6.0	3.0	468959.0	102819.0
MUX8107.WHB3516.unmapped-both-read-and-mate	4163.0	744.0	nan	7.0	nan	8460.0	9506.0
MUX8108.WHB3519.unmapped-both-read-and-mate	221024.0	688.0	3.0	7.0	3.0	165236.0	38371.0
MUX8119.WHB3530.unmapped-both-read-and-mate	372376.0	936.0	10.0	11.0	2.0	345338.0	74150.0
MUX8122.WHB3544.unmapped-both-read-and-mate	435053.0	918.0	3.0	7.0	5.0	310286.0	77245.0
MUX8124.WHB3554.unmapped-both-read-and-mate	191935.0	791.0	5.0	5.0	2.0	182162.0	48317.0
MUX8183.WHB3574.unmapped-both-read-and-mate	165112.0	1012.0	3.0	4.0	2.0	123386.0	49023.0
MUX8184.WHB3583.unmapped-both-read-and-mate	151852.0	1127.0	1.0	3.0	3.0	104279.0	44583.0
MUX8189.WHB3606.unmapped-both-read-and-mate	253230.0	1006.0	2.0	12.0	5.0	166661.0	59806.0
MUX8193.WHB3624.unmapped-both-read-and-mate	1670.0	832.0	56.0	8.0	1.0	785367.0	64876.0
MUX8193.WHB3626.unmapped-both-read-and-mate	33443.0	782.0	nan	10.0	1.0	37671.0	23795.0
MUX8194.WHB3629.unmapped-both-read-and-mate	187478.0	817.0	nan	8.0	2.0	122830.0	38440.0
MUX8196.WHB3662.unmapped-both-read-and-mate	3.0	1024.0	nan	15.0	31.0	13238.0	26458.0
MUX8197.WHB3665.unmapped-both-read-and-mate	63271.0	1059.0	nan	12.0	7.0	41716.0	40689.0
MUX8198.WHB3670.unmapped-both-read-and-mate	74419.0	1140.0	nan	1.0	1.0	42763.0	40179.0
MUX8205.WHB3645.unmapped-both-read-and-mate	135510.0	847.0	nan	2.0	nan	100323.0	30704.0
MUX8212.WHB3721.unmapped-both-read-and-mate	18310.0	697.0	nan	11.0	4.0	20771.0	16614.0
MUX8219.WHB3738.unmapped-both-read-and-mate	103006.0	1093.0	nan	1.0	2.0	54978.0	39796.0
MUX8222.WHB3755.unmapped-both-read-and-mate	101434.0	1138.0	nan	4.0	4.0	69723.0	43550.0
MUX8235.WHB3758.unmapped-both-read-and-mate	21582.0	896.0	nan	11.0	4.0	36400.0	36038.0
MUX8237.WHB3768.unmapped-both-read-and-mate	312731.0	917.0	nan	27.0	7.0	178527.0	67205.0
MUX8238.WHB3775.unmapped-both-read-and-mate	143742.0	872.0	nan	15.0	5.0	80550.0	38508.0
MUX8239.WHB3779.unmapped-both-read-and-mate	218446.0	703.0	nan	19.0	5.0	123782.0	44174.0
MUX8241.WHB3789.unmapped-both-read-and-mate	41.0	635.0	nan	13.0	2.0	11117.0	15754.0
MUX8243.WHB3796.unmapped-both-read-and-mate	256712.0	712.0	nan	18.0	6.0	128529.0	40735.0
MUX8243.WHB3798.unmapped-both-read-and-mate	201.0	722.0	nan	8.0	2.0	10201.0	16268.0
MUX8244.WHB3803.unmapped-both-read-and-mate	334199.0	789.0	1.0	30.0	3.0	184097.0	58958.0
MUX8248.WHB3821.unmapped-both-read-and-mate	140430.0	969.0	3.0	8.0	2.0	74341.0	48851.0
MUX8248.WHB3822.unmapped-both-read-and-mate	202.0	870.0	nan	4.0	nan	6379.0	28041.0
MUX8250.WHB3832.unmapped-both-read-and-mate	207901.0	983.0	nan	13.0	4.0	107752.0	51184.0
MUX8250.WHB3836.unmapped-both-read-and-mate	166.0	909.0	1.0	13.0	nan	7314.0	26842.0
MUX8253.WHB3837.unmapped-both-read-and-mate	292787.0	729.0	nan	15.0	5.0	165685.0	54013.0
MUX8257.WHB4866.unmapped-both-read-and-mate	465284.0	682.0	3.0	47.0	10.0	297519.0	91606.0
MUX8257.WHB4867.unmapped-both-read-and-mate	500310.0	598.0	3.0	43.0	21.0	342122.0	102381.0
MUX8277.WHB4914.unmapped-both-read-and-mate	173703.0	954.0	2.0	20.0	6.0	128621.0	59336.0
MUX8277.WHB4916.unmapped-both-read-and-mate	272052.0	858.0	nan	26.0	5.0	153739.0	60439.0
MUX8277.WHB4918.unmapped-both-read-and-mate	194301.0	870.0	nan	11.0	4.0	118994.0	52564.0
MUX8278.WHB4923.unmapped-both-read-and-mate	166242.0	964.0	1.0	12.0	5.0	101677.0	48300.0
MUX8281.WHB4938.unmapped-both-read-and-mate	155107.0	634.0	nan	20.0	6.0	118558.0	48680.0
MUX8282.WHB4943.unmapped-both-read-and-mate	327004.0	608.0	2.0	19.0	6.0	187567.0	58730.0
MUX8302.WHB4954.unmapped-both-read-and-mate	115682.0	733.0	nan	11.0	3.0	73770.0	31789.0
MUX8302.WHB4956.unmapped-both-read-and-mate	185850.0	613.0	1.0	8.0	nan	108133.0	37137.0
MUX8303.WHB4959.unmapped-both-read-and-mate	949.0	598.0	nan	1.0	3.0	5100.0	8590.0
MUX8309.WHB4965.unmapped-both-read-and-mate	155971.0	1101.0	nan	5.0	nan	92072.0	58709.0
MUX8310.WHB4969.unmapped-both-read-and-mate	135984.0	1182.0	1.0	10.0	2.0	78462.0	61202.0
MUX8310.WHB4970.unmapped-both-read-and-mate	831.0	1188.0	nan	3.0	2.0	3567.0	44558.0
MUX8314.WHB4990.unmapped-both-read-and-mate	230881.0	944.0	1.0	26.0	4.0	135301.0	59828.0
MUX8315.WHB4996.unmapped-both-read-and-mate	460.0	891.0	nan	1.0	3.0	3486.0	26152.0
MUX8316.WHB5003.unmapped-both-read-and-mate	135102.0	887.0	1.0	12.0	2.0	76688.0	45765.0
MUX8329.WHB5079.unmapped-both-read-and-mate	70976.0	917.0	1.0	2.0	1.0	42336.0	25935.0
MUX8329.WHB5082.unmapped-both-read-and-mate	20344.0	908.0	nan	1.0	1.0	12507.0	13368.0
MUX8330.WHB5084.unmapped-both-read-and-mate	34083.0	859.0	nan	4.0	1.0	22187.0	15521.0
MUX8332.WHB5095.unmapped-both-read-and-mate	44282.0	669.0	nan	1.0	2.0	29079.0	17026.0
MUX8337.WHB5109.unmapped-both-read-and-mate	73231.0	766.0	nan	6.0	2.0	45483.0	24319.0
MUX8353.WHB5055.unmapped-both-read-and-mate	42829.0	950.0	nan	2.0	1.0	28279.0	30071.0
MUX8364.WHB5157.unmapped-both-read-and-mate	34869.0	1205.0	nan	5.0	3.0	28200.0	41381.0
MUX8367.WHB5170.unmapped-both-read-and-mate	46278.0	1146.0	nan	7.0	2.0	33359.0	29751.0
MUX8367.WHB5172.unmapped-both-read-and-mate	39794.0	1194.0	nan	nan	1.0	28308.0	26528.0
MUX8368.WHB5175.unmapped-both-read-and-mate	62384.0	1359.0	nan	nan	4.0	40429.0	30654.0
MUX8368.WHB5176.unmapped-both-read-and-mate	89285.0	1076.0	1.0	3.0	2.0	53908.0	31134.0
MUX8370.WHB5185.unmapped-both-read-and-mate	64646.0	922.0	nan	5.0	nan	40048.0	23999.0
MUX8386.WHB5341.unmapped-both-read-and-mate	2.0	996.0	nan	1.0	1241.0	15220.0	27603.0
MUX8388.WHB5350.unmapped-both-read-and-mate	nan	833.0	nan	1.0	2.0	12103.0	23712.0
MUX8390.WHB5360.unmapped-both-read-and-mate	4.0	429.0	1.0	3.0	4.0	31000.0	36706.0
MUX8391.WHB5365.unmapped-both-read-and-mate	nan	744.0	nan	1.0	43.0	8772.0	15660.0
MUX8435.WHB5403.unmapped-both-read-and-mate	88128.0	1296.0	nan	1.0	1.0	60255.0	69147.0
MUX8436.WHB5408.unmapped-both-read-and-mate	119630.0	1065.0	nan	3.0	7.0	74214.0	51622.0
MUX8437.WHB5414.unmapped-both-read-and-mate	42192.0	882.0	nan	5.0	4.0	34867.0	32374.0
MUX8445.WHB5440.unmapped-both-read-and-mate	99975.0	1211.0	1.0	7.0	8.0	71712.0	57267.0
MUX8459.WHB5456.unmapped-both-read-and-mate	156040.0	693.0	1.0	11.0	7.0	98892.0	40092.0
MUX8460.WHB5464.unmapped-both-read-and-mate	62186.0	727.0	nan	1.0	1.0	45712.0	23518.0
MUX8461.WHB5469.unmapped-both-read-and-mate	111009.0	621.0	nan	7.0	6.0	72680.0	32901.0
MUX8680.WHB5487.unmapped-both-read-and-mate	nan	664.0	975.0	1.0	1.0	2643.0	17014.0
MUX8688.WHB5534.unmapped-both-read-and-mate	1.0	525.0	1529.0	2.0	2.0	2456.0	10512.0
MUX8699.WHB5572.unmapped-both-read-and-mate	2.0	388.0	3811.0	2.0	7.0	6395.0	7944.0
MUX8700.WHB5577.unmapped-both-read-and-mate	1.0	375.0	1401.0	nan	5.0	5065.0	6232.0
MUX8718.WHB5653.unmapped-both-read-and-mate	1.0	721.0	2176.0	1.0	5.0	8048.0	24905.0
MUX8721.WHB5669.unmapped-both-read-and-mate	1.0	426.0	589.0	nan	nan	1129.0	13376.0
MUX8746.WHB5602.unmapped-both-read-and-mate	1.0	370.0	1044.0	2.0	nan	1441.0	10249.0
MUX8748.WHB5680.unmapped-both-read-and-mate	1.0	370.0	1972.0	nan	3.0	4032.0	11019.0
MUX8755.WHB5715.unmapped-both-read-and-mate	nan	369.0	1637.0	1.0	1.0	2348.0	7387.0
MUX8783.WHB5850.unmapped-both-read-and-mate	5.0	440.0	3000.0	3.0	6.0	6989.0	13219.0
MUX8831.WHH6818.unmapped-both-read-and-mate	4.0	443.0	2596.0	2.0	7.0	5754.0	11317.0
MUX8835.WHH6868.unmapped-both-read-and-mate	3.0	492.0	2968.0	2.0	10.0	8457.0	16465.0
MUX8846.WHH6914.unmapped-both-read-and-mate	3.0	352.0	1598.0	7.0	6.0	8996.0	17301.0
MUX8850.WHH6931.unmapped-both-read-and-mate	nan	359.0	2582.0	4.0	1.0	4512.0	6704.0
MUX8853.WHH6952.unmapped-both-read-and-mate	2.0	391.0	4390.0	3.0	5.0	6642.0	8356.0
MUX8855.WHH6964.unmapped-both-read-and-mate	3.0	271.0	3513.0	1.0	2.0	4210.0	6058.0
MUX8857.WHH6963.unmapped-both-read-and-mate	2.0	303.0	2112.0	2.0	2.0	3874.0	6270.0
MUX8871.WHH7034.unmapped-both-read-and-mate	3.0	515.0	1912.0	1.0	3.0	3945.0	14611.0
MUX8872.WHH7041.unmapped-both-read-and-mate	nan	476.0	1888.0	2.0	nan	6092.0	14772.0
MUX8935.WHH7083.unmapped-both-read-and-mate	2.0	532.0	2246.0	nan	1.0	4413.0	12209.0
MUX8944.WHH6980.unmapped-both-read-and-mate	7.0	660.0	2215.0	6.0	8.0	13910.0	33516.0
MUX8946.WHH7080.unmapped-both-read-and-mate	nan	648.0	1563.0	3.0	5.0	6315.0	27771.0
MUX8950.WHH7139.unmapped-both-read-and-mate	1.0	542.0	1660.0	6.0	10.0	9956.0	19638.0
MUX8950.WHH7142.unmapped-both-read-and-mate	nan	519.0	1274.0	4.0	nan	3420.0	16341.0
MUX8951.WHH7153.unmapped-both-read-and-mate	1.0	460.0	1197.0	2.0	1.0	2835.0	11290.0
MUX8951.WHH7158.unmapped-both-read-and-mate	nan	649.0	2562.0	7.0	6.0	10628.0	20649.0
MUX8960.WHB3854.unmapped-both-read-and-mate	nan	1271.0	nan	2.0	3.0	2747.0	45247.0
MUX8972.WHB3888.unmapped-both-read-and-mate	1.0	876.0	nan	8.0	1.0	4697.0	20684.0
MUX8974.WHB3866.unmapped-both-read-and-mate	nan	2478.0	nan	nan	4.0	7541.0	105441.0
MUX8975.WHB3864.unmapped-both-read-and-mate	nan	2088.0	nan	1.0	1.0	3477.0	84503.0
MUX8981.WHB3909.unmapped-both-read-and-mate	nan	942.0	nan	1.0	3.0	4272.0	16872.0
MUX8981.WHB3910.unmapped-both-read-and-mate	nan	750.0	nan	2.0	1.0	2336.0	11439.0
MUX8982.WHB3915.unmapped-both-read-and-mate	nan	1794.0	nan	1.0	1.0	5192.0	79224.0
MUX8982.WHB3916.unmapped-both-read-and-mate	nan	1463.0	nan	4.0	1.0	2380.0	60115.0
MUX8983.WHB3922.unmapped-both-read-and-mate	1.0	1421.0	nan	5.0	nan	4727.0	55247.0
MUX8985.WHB3927.unmapped-both-read-and-mate	nan	904.0	nan	nan	nan	622.0	25553.0
MUX8985.WHB3928.unmapped-both-read-and-mate	nan	1056.0	nan	nan	3.0	3057.0	33141.0
MUX8985.WHB3931.unmapped-both-read-and-mate	nan	1184.0	nan	nan	nan	3446.0	34753.0
MUX8989.WHB3939.unmapped-both-read-and-mate	2.0	1331.0	nan	nan	1.0	6094.0	48488.0
MUX9013.WHB3962.unmapped-both-read-and-mate	nan	948.0	nan	3.0	1.0	7068.0	20512.0
MUX9017.WHB3972.unmapped-both-read-and-mate	2.0	1698.0	nan	5.0	3.0	10955.0	62251.0
MUX9019.WHB3989.unmapped-both-read-and-mate	1.0	1345.0	nan	2.0	1.0	11658.0	58578.0
MUX9022.WHB3997.unmapped-both-read-and-mate	1.0	790.0	nan	5.0	8.0	10786.0	16029.0
MUX9022.WHB3999.unmapped-both-read-and-mate	1.0	976.0	nan	2.0	4.0	10274.0	16628.0
MUX9022.WHB4005.unmapped-both-read-and-mate	nan	732.0	nan	1.0	nan	9784.0	15779.0
MUX9032.WHB4051.unmapped-both-read-and-mate	1.0	774.0	nan	1.0	3.0	1416.0	18806.0
MUX9037.WHB4006.unmapped-both-read-and-mate	1.0	1093.0	nan	2.0	nan	11327.0	38968.0
MUX9037.WHB4007.unmapped-both-read-and-mate	2.0	1403.0	nan	1.0	4.0	11342.0	44689.0
MUX9038.WHB4011.unmapped-both-read-and-mate	nan	1203.0	nan	4.0	nan	7802.0	36390.0
MUX9038.WHB4012.unmapped-both-read-and-mate	nan	1094.0	nan	nan	1.0	2703.0	26174.0
MUX9046.WHB4035.unmapped-both-read-and-mate	2.0	925.0	nan	4.0	4.0	17672.0	34503.0
MUX9049.WHB4076.unmapped-both-read-and-mate	nan	1452.0	nan	1.0	3.0	2944.0	51900.0
MUX9049.WHB4077.unmapped-both-read-and-mate	1.0	1039.0	nan	nan	5.0	2417.0	39799.0
MUX9058.WHB4122.unmapped-both-read-and-mate	nan	1146.0	nan	2.0	11.0	3096.0	22768.0
MUX9084.WHB4137.unmapped-both-read-and-mate	nan	421.0	nan	nan	9.0	2348.0	7481.0
MUX9085.WHB4142.unmapped-both-read-and-mate	nan	818.0	nan	nan	4.0	622.0	6459.0
MUX9094.WHB4183.unmapped-both-read-and-mate	nan	787.0	1.0	3.0	111.0	4796.0	15662.0
MUX9097.WHB4203.unmapped-both-read-and-mate	4.0	1033.0	nan	nan	24.0	1961.0	16767.0
MUX9101.WHB4211.unmapped-both-read-and-mate	nan	558.0	nan	1.0	50.0	3074.0	5499.0
MUX9101.WHB4223.unmapped-both-read-and-mate	1.0	683.0	nan	nan	14.0	799.0	5547.0
MUX9102.WHB4228.unmapped-both-read-and-mate	nan	637.0	nan	2.0	35.0	1902.0	5490.0
MUX9103.WHB4235.unmapped-both-read-and-mate	nan	777.0	nan	nan	40.0	2273.0	6012.0
MUX9109.WHB4261.unmapped-both-read-and-mate	nan	835.0	nan	nan	4.0	442.0	28866.0
MUX9123.WHB4276.unmapped-both-read-and-mate	nan	570.0	nan	nan	10.0	1319.0	6439.0
MUX9123.WHB4278.unmapped-both-read-and-mate	nan	646.0	nan	1.0	1.0	421.0	7364.0
MUX9126.WHB4281.unmapped-both-read-and-mate	nan	1053.0	1.0	2.0	15.0	1334.0	22458.0
MUX9126.WHB4291.unmapped-both-read-and-mate	nan	835.0	nan	nan	24.0	2747.0	16602.0
MUX9127.WHB4298.unmapped-both-read-and-mate	nan	963.0	nan	1.0	6.0	667.0	16545.0
MUX9130.WHB4315.unmapped-both-read-and-mate	nan	739.0	nan	nan	8.0	363.0	8154.0
MUX9132.WHB4326.unmapped-both-read-and-mate	nan	536.0	nan	nan	1.0	438.0	5082.0
MUX9137.WHB4338.unmapped-both-read-and-mate	nan	1296.0	nan	nan	3.0	502.0	35128.0
MUX9142.WHB4367.unmapped-both-read-and-mate	nan	745.0	1.0	1.0	5.0	621.0	7094.0
MUX9143.WHB4376.unmapped-both-read-and-mate	nan	663.0	nan	nan	1.0	290.0	5104.0
MUX9144.WHB4381.unmapped-both-read-and-mate	nan	789.0	nan	nan	4.0	340.0	5418.0
MUX9145.WHB4387.unmapped-both-read-and-mate	nan	801.0	nan	3.0	3.0	1023.0	9648.0
MUX9148.WHB4394.unmapped-both-read-and-mate	nan	859.0	nan	nan	5.0	376.0	10887.0
MUX9148.WHB4400.unmapped-both-read-and-mate	nan	901.0	nan	3.0	5.0	778.0	11157.0
MUX9152.WHB4413.unmapped-both-read-and-mate	2.0	719.0	nan	1.0	nan	141.0	6278.0
MUX9159.WHB4450.unmapped-both-read-and-mate	nan	1995.0	nan	nan	3.0	2032.0	66492.0
MUX9159.WHB4451.unmapped-both-read-and-mate	nan	1959.0	nan	nan	1.0	1004.0	62720.0
MUX9194.WHB4480.unmapped-both-read-and-mate	nan	774.0	nan	nan	1.0	819.0	5810.0
MUX9196.WHB4490.unmapped-both-read-and-mate	nan	865.0	nan	1.0	5.0	1449.0	8313.0
MUX9197.WHB4504.unmapped-both-read-and-mate	nan	607.0	nan	nan	nan	782.0	7764.0
MUX9200.WHB4515.unmapped-both-read-and-mate	nan	944.0	nan	2.0	2.0	3144.0	29637.0
MUX9201.WHB4526.unmapped-both-read-and-mate	nan	899.0	nan	3.0	4.0	3122.0	25869.0
MUX9204.WHB4539.unmapped-both-read-and-mate	nan	1348.0	nan	nan	9.0	6422.0	65421.0
MUX9207.WHB4544.unmapped-both-read-and-mate	1.0	812.0	nan	nan	3.0	2631.0	15459.0
MUX9208.WHB4550.unmapped-both-read-and-mate	nan	1087.0	nan	5.0	3.0	4064.0	20932.0
MUX9210.WHB4560.unmapped-both-read-and-mate	nan	954.0	nan	nan	2.0	4051.0	21299.0
MUX9216.WHB4587.unmapped-both-read-and-mate	nan	1218.0	nan	nan	nan	1323.0	49532.0
MUX9217.WHB4589.unmapped-both-read-and-mate	nan	1272.0	nan	2.0	1.0	2000.0	54100.0
MUX9227.WHB4596.unmapped-both-read-and-mate	nan	826.0	nan	1.0	2.0	1365.0	15558.0
MUX9227.WHB4598.unmapped-both-read-and-mate	nan	645.0	nan	nan	2.0	2830.0	14584.0
MUX9228.WHB4604.unmapped-both-read-and-mate	nan	961.0	nan	1.0	nan	2144.0	19776.0
MUX9229.WHB4603.unmapped-both-read-and-mate	nan	810.0	nan	nan	1.0	2635.0	17554.0
MUX9229.WHB4605.unmapped-both-read-and-mate	nan	862.0	nan	nan	2.0	3335.0	18872.0
MUX9232.WHB4622.unmapped-both-read-and-mate	nan	1019.0	nan	nan	9.0	579.0	33066.0
MUX9233.WHB4628.unmapped-both-read-and-mate	nan	829.0	nan	nan	6.0	445.0	26466.0
MUX9237.WHB4643.unmapped-both-read-and-mate	nan	1767.0	nan	nan	3.0	245.0	72358.0
MUX9238.WHB4651.unmapped-both-read-and-mate	nan	1314.0	nan	1.0	2.0	597.0	50714.0
MUX9240.WHB4661.unmapped-both-read-and-mate	nan	1248.0	nan	1.0	4.0	1206.0	43945.0
MUX9241.WHB4720.unmapped-both-read-and-mate	nan	575.0	nan	nan	1.0	175.0	9455.0
MUX9242.WHB4667.unmapped-both-read-and-mate	nan	615.0	nan	1.0	7.0	399.0	10144.0
MUX9245.WHB4689.unmapped-both-read-and-mate	nan	1036.0	nan	nan	2.0	282.0	32533.0
MUX9254.WHB4669.unmapped-both-read-and-mate	nan	600.0	nan	3.0	7.0	635.0	7407.0
MUX9255.WHB4675.unmapped-both-read-and-mate	2.0	585.0	nan	nan	4.0	581.0	6153.0
MUX9261.WHB4710.unmapped-both-read-and-mate	nan	758.0	nan	nan	7.0	220.0	15909.0
MUX9263.WHB4722.unmapped-both-read-and-mate	nan	781.0	nan	nan	6.0	546.0	15408.0
MUX9264.WHB4715.unmapped-both-read-and-mate	nan	683.0	nan	1.0	5.0	337.0	8552.0
MUX9276.WHB4733.unmapped-both-read-and-mate	nan	1038.0	nan	nan	3.0	574.0	37055.0
MUX9277.WHB4739.unmapped-both-read-and-mate	1.0	1190.0	nan	nan	4.0	538.0	39557.0
MUX9280.WHB4753.unmapped-both-read-and-mate	nan	682.0	nan	nan	nan	312.0	8404.0
MUX9281.WHB4760.unmapped-both-read-and-mate	nan	587.0	nan	nan	1.0	323.0	8037.0
MUX9283.WHB4787.unmapped-both-read-and-mate	nan	566.0	nan	2.0	4.0	685.0	5322.0
MUX9285.WHB4766.unmapped-both-read-and-mate	nan	860.0	nan	nan	1.0	227.0	13685.0
MUX9285.WHB4771.unmapped-both-read-and-mate	nan	643.0	nan	nan	1.0	182.0	11928.0
MUX9286.WHB4781.unmapped-both-read-and-mate	nan	907.0	nan	2.0	3.0	809.0	15734.0
MUX9292.WHB4790.unmapped-both-read-and-mate	nan	892.0	nan	3.0	4.0	384.0	23989.0
MUX9293.WHB4802.unmapped-both-read-and-mate	nan	862.0	nan	1.0	nan	292.0	21183.0
MUX9295.WHB4795.unmapped-both-read-and-mate	nan	2138.0	1.0	5.0	nan	1503.0	87537.0
MUX9295.WHB4804.unmapped-both-read-and-mate	nan	1164.0	nan	1.0	nan	285.0	50570.0
MUX9305.WHB4819.unmapped-both-read-and-mate	nan	1187.0	nan	nan	nan	158.0	19732.0
MUX9305.WHB4825.unmapped-both-read-and-mate	nan	1063.0	nan	nan	nan	49.0	18247.0
MUX9309.WHB4845.unmapped-both-read-and-mate	nan	1493.0	1.0	nan	nan	366.0	35850.0
MUX9309.WHB4846.unmapped-both-read-and-mate	nan	797.0	nan	nan	nan	147.0	18829.0
MUX9340.WHB4101.unmapped-both-read-and-mate	nan	1266.0	nan	nan	1.0	2995.0	50260.0
MUX9367.WHB6115.unmapped-both-read-and-mate	3.0	556.0	2237.0	nan	3.0	3424.0	7199.0
MUX9367.WHB6118.unmapped-both-read-and-mate	1.0	288.0	1284.0	3.0	5.0	6578.0	5789.0
MUX9369.WHB6119.unmapped-both-read-and-mate	nan	378.0	1615.0	4.0	1.0	6516.0	7299.0
MUX9391.WHB6196.unmapped-both-read-and-mate	4.0	356.0	1871.0	18.0	5.0	8096.0	8061.0
MUX9400.WHB6147.unmapped-both-read-and-mate	2.0	420.0	977.0	14.0	12.0	5335.0	9181.0
MUX9402.WHB6165.unmapped-both-read-and-mate	1.0	517.0	2444.0	30.0	4.0	10691.0	16482.0
MUX9426.WHB8814.unmapped-both-read-and-mate	1.0	529.0	1242.0	13.0	1.0	6002.0	13671.0
MUX9430.WHB8858.unmapped-both-read-and-mate	1.0	596.0	1606.0	2.0	2.0	3047.0	13770.0
MUX9430.WHB8859.unmapped-both-read-and-mate	2.0	483.0	1613.0	3.0	4.0	3915.0	11751.0
