#Read position (bp)	Clipping profile
0.0	3.1871740390187364
1.0	1.6998261541433264
2.0	1.6418775352520767
3.0	1.5839289163608268
4.0	1.4873478848754105
5.0	1.3714506470929109
6.0	1.3328182344987445
7.0	1.2748696156074946
8.0	1.2169209967162449
9.0	1.1782885841220785
10.0	1.1010237589337455
11.0	1.0817075526366622
12.0	1.0623913463395789
13.0	1.0237589337454123
14.0	1.0044427274483292
15.0	0.9271779022599961
16.0	0.9078616959629129
17.0	0.8112806644774966
18.0	0.7919644581804134
19.0	0.7533320455862469
20.0	0.7533320455862469
21.0	0.7533320455862469
22.0	0.7146996329920804
23.0	0.6953834266949971
24.0	0.6760672203979139
25.0	0.6374348078037473
26.0	0.6181186015066641
27.0	0.5988023952095809
28.0	0.5988023952095809
29.0	0.5988023952095809
30.0	0.5988023952095809
31.0	0.5794861889124976
32.0	0.5601699826154143
33.0	0.5601699826154143
34.0	0.5601699826154143
35.0	0.5601699826154143
36.0	0.5601699826154143
37.0	0.5215375700212479
38.0	0.46358895112999804
39.0	0.46358895112999804
40.0	0.4442727448329148
41.0	0.4442727448329148
42.0	0.4442727448329148
43.0	0.4249565385358316
44.0	0.4056403322387483
45.0	0.4056403322387483
46.0	0.38632412594166504
47.0	0.38632412594166504
48.0	0.38632412594166504
49.0	0.38632412594166504
50.0	0.38632412594166504
51.0	0.38632412594166504
52.0	0.3670079196445818
53.0	2.240679930461657
54.0	0.3283755070504153
55.0	0.30905930075333204
56.0	0.2897430944562488
57.0	0.30905930075333204
58.0	0.30905930075333204
59.0	0.2897430944562488
60.0	0.2897430944562488
61.0	0.2897430944562488
62.0	0.2897430944562488
63.0	0.2897430944562488
64.0	0.2897430944562488
65.0	0.2897430944562488
66.0	0.2897430944562488
67.0	0.3283755070504153
68.0	0.3283755070504153
69.0	0.30905930075333204
70.0	0.30905930075333204
71.0	0.30905930075333204
72.0	0.30905930075333204
73.0	0.30905930075333204
74.0	0.2897430944562488
75.0	0.2897430944562488
76.0	0.2897430944562488
77.0	0.30905930075333204
78.0	0.2897430944562488
79.0	0.2897430944562488
80.0	0.2897430944562488
81.0	0.2897430944562488
82.0	0.30905930075333204
83.0	0.30905930075333204
84.0	0.3283755070504153
85.0	0.3283755070504153
86.0	0.3283755070504153
87.0	0.30905930075333204
88.0	0.30905930075333204
89.0	0.30905930075333204
90.0	0.3670079196445818
91.0	0.3670079196445818
92.0	0.3670079196445818
93.0	0.3670079196445818
94.0	0.3670079196445818
95.0	0.38632412594166504
96.0	0.3670079196445818
97.0	0.38632412594166504
98.0	0.38632412594166504
99.0	0.38632412594166504
100.0	0.4249565385358316
101.0	0.4442727448329148
102.0	0.46358895112999804
103.0	0.48290515742708134
104.0	0.48290515742708134
105.0	0.48290515742708134
106.0	0.5022213637241646
107.0	0.5022213637241646
108.0	0.5022213637241646
109.0	0.5022213637241646
110.0	0.5022213637241646
111.0	0.5022213637241646
112.0	0.48290515742708134
113.0	0.5022213637241646
114.0	0.5022213637241646
115.0	0.5022213637241646
116.0	0.5408537763183311
117.0	0.5601699826154143
118.0	0.5794861889124976
119.0	0.5794861889124976
120.0	0.6181186015066641
121.0	0.6181186015066641
122.0	0.6374348078037473
123.0	0.6374348078037473
124.0	0.6953834266949971
125.0	0.7533320455862469
126.0	0.7340158392891636
127.0	0.7533320455862469
128.0	0.7919644581804134
129.0	0.7919644581804134
130.0	0.8112806644774966
131.0	0.8112806644774966
132.0	0.8305968707745798
133.0	0.8305968707745798
134.0	0.8499130770716632
135.0	0.8885454896658296
136.0	0.9078616959629129
137.0	0.9271779022599961
138.0	0.9658103148541627
139.0	1.0044427274483292
140.0	1.1396561715279119
141.0	1.1976047904191618
142.0	1.2748696156074946
143.0	1.3328182344987445
144.0	1.3328182344987445
145.0	1.4680316785783272
146.0	1.5839289163608268
147.0	1.6418775352520767
148.0	1.7191423604404092
149.0	1.7191423604404092
