#Position (bp)	Coverage	Std
4021684.5	2.2229493913494944E-4	0.015182241501915359
1.20650525E7	7.459561715937901E-5	0.009860170098146919
2.01084205E7	3.7297808579689504E-5	0.006107193183426369
2.81517885E7	1.4919123431875802E-4	0.012214386366852738
3.61951565E7	1.118934257390685E-4	0.011139002493121504
4.42385245E7	2.612089860864255E-4	0.016515789619213767
5.22818925E7	1.4919123431875802E-4	0.012984070809272281
6.03252605E7	3.7297808579689504E-5	0.006127516677813895
6.83686285E7	2.610846600578265E-4	0.016806806269391236
7.64119965E7	3.6551852408095713E-4	0.019428170856425415
8.44553645E7	1.407370643740284E-4	0.012416290728825441
9.24987325E7	1.4919123431875802E-4	0.012693562662399342
1.005421005E8	1.864890428984475E-4	0.014015531569882203
1.085854685E8	1.864890428984475E-4	0.014050969127257965
1.166288365E8	3.7297808579689504E-5	0.006708652797158706
1.246722045E8	4.715686264758743E-4	0.022397667856203778
1.327155725E8	0.0	0.0
1.407589405E8	1.118934257390685E-4	0.01060144942229431
1.488023085E8	1.424776287744139E-4	0.01385494092938696
1.568456765E8	2.185651582769805E-4	0.016817898651812758
1.648890445E8	1.118934257390685E-4	0.011183558680963712
1.729324125E8	2.23786851478137E-4	0.01587870227690856
1.809757805E8	2.1707324593379292E-4	0.015198610500202872
1.890191485E8	1.8735932509864026E-4	0.014383271936130449
1.970625165E8	1.866133689270465E-4	0.013701543824855547
2.051058845E8	2.23786851478137E-4	0.015530373320754146
2.131492525E8	2.610846600578265E-4	0.016158114371975046
2.211926205E8	2.241598295639339E-4	0.01551435436515475
2.292359885E8	2.973878604087243E-4	0.017495447476719533
2.372793565E8	1.864890428984475E-4	0.014512349652852453
2.451287315E8	1.959405814105684E-4	0.014329889368668402
2.491504155E8	0.0	0.0
2.533660925E8	3.72978085796895E-4	0.02083618227669325
2.614094605E8	3.2921532373005936E-4	0.020101233617532938
2.694528285E8	2.5909544360024306E-4	0.016284576107519422
2.774961965E8	1.118934257390685E-4	0.010992947730167464
2.855395645E8	1.4919123431875802E-4	0.013145842679439055
2.935829325E8	1.1214207779626644E-4	0.011726235015146818
3.016263005E8	2.2366252544953806E-4	0.014963661901644797
3.096696685E8	1.1139612162467266E-4	0.010548544714607493
3.177130365E8	2.602143778576338E-4	0.01645923498578062
3.257564045E8	7.459561715937901E-5	0.008636875428034088
3.337997725E8	1.866133689270465E-4	0.014270460218405875
3.418431405E8	2.610846600578265E-4	0.01731688138726785
3.498865085E8	7.459561715937901E-5	0.00938204819045752
3.579298765E8	2.9825814260891706E-4	0.018250189878919815
3.659732445E8	1.864890428984475E-4	0.013701543824855547
3.740166125E8	1.1176909971046954E-4	0.010572090602641918
3.820599805E8	2.8333901917704127E-4	0.017334820769875255
3.901033485E8	7.459561715937901E-5	0.009897924556995999
3.981467165E8	2.0401901293090157E-4	0.015717373152856793
4.061900845E8	1.118934257390685E-4	0.012265174055216162
4.142334525E8	3.7297808579689504E-5	0.006107193183426369
4.222768205E8	1.118934257390685E-4	0.010958966357581366
4.303201885E8	3.358046032458045E-4	0.018554211737245377
4.383635565E8	1.8636471686984856E-4	0.013651546317902913
4.464069245E8	7.459561715937901E-5	0.009923014393337353
4.544502925E8	1.7442941812434792E-4	0.014631794874430743
4.624936605E8	2.2291656927794426E-4	0.016208050420381013
4.705370285E8	1.118934257390685E-4	0.010577968885332785
4.785803965E8	2.23786851478137E-4	0.01600348771092939
4.866237645E8	1.4919123431875802E-4	0.013592221249599419
4.908977E8	0.0	0.0
4.94919384E8	2.3876273152523622E-4	0.016433720776118654
5.027105005E8	3.7173482551090535E-5	0.006097006031741361
5.107538685E8	7.459561715937901E-5	0.009617617442882097
5.187972365E8	3.297126278444552E-4	0.01970772724956297
5.268406045E8	1.481966260899663E-4	0.012173603660788629
5.348839725E8	7.459561715937901E-5	0.00900336440707168
5.429273405E8	7.347668290198832E-5	0.00856459904919018
5.509707085E8	1.118934257390685E-4	0.010577968885332785
5.590140765E8	1.2631524505654846E-4	0.011403728597021125
5.670574445E8	1.118934257390685E-4	0.011194670018707864
5.751008125E8	7.459561715937901E-5	0.009448073270993238
5.831441805E8	2.1632728976219912E-4	0.014708068865836844
5.911875485E8	2.23786851478137E-4	0.015001003691890976
5.992309165E8	7.459561715937901E-5	0.010775922731322517
6.072742845E8	1.4919123431875802E-4	0.014068654432089527
6.153176525E8	1.118934257390685E-4	0.011004251535447193
6.233610205E8	1.864890428984475E-4	0.013827994503369178
6.314043885E8	1.826349360118796E-4	0.013778455852185309
6.394477565E8	1.118934257390685E-4	0.010577968885332785
6.474911245E8	7.459561715937901E-5	0.00943490521822339
6.555344925E8	1.8636471686984856E-4	0.013651546317902913
6.635778605E8	1.864890428984475E-4	0.014139174445035175
6.716212285E8	1.4919123431875802E-4	0.012436300879968788
6.796645965E8	1.864890428984475E-4	0.013674295119414506
6.865658955E8	2.606251182883823E-4	0.01808665430257812
6.905875795E8	0.0	0.0
6.957513325E8	6.875229381522765E-5	0.008291700296997453
7.037947005E8	1.4919123431875802E-4	0.012535872532420382
7.118380685E8	3.2449093464329866E-4	0.019170491400549456
7.198814365E8	1.797754373541034E-4	0.013573915219407632
7.279248045E8	7.459561715937901E-5	0.009500562970837496
7.359681725E8	1.0928257913849024E-4	0.010447882709424493
7.440115405E8	2.23786851478137E-4	0.015190428205935443
7.520549085E8	1.4919123431875802E-4	0.01225503335562779
7.600982765E8	7.459561715937901E-5	0.00880791926880317
7.681416445E8	1.8027274146849927E-4	0.01350964877349817
7.761850125E8	2.610846600578265E-4	0.016349341316633362
7.842283805E8	2.610846600578265E-4	0.017324059369498292
7.922717485E8	1.4919123431875802E-4	0.013022315577845143
8.003151165E8	1.1164477368187058E-4	0.010566209049695666
8.083584845E8	3.7297808579689504E-5	0.006107193183426369
8.164018525E8	2.23786851478137E-4	0.015369432466361063
8.244452205E8	2.135921171330219E-4	0.015251688415013714
8.324885885E8	2.23786851478137E-4	0.015280192463082926
8.405319565E8	1.3874784791644495E-4	0.011852780784137977
8.485753245E8	2.2652202410731426E-4	0.016732669135701848
8.566186925E8	1.4720201786117457E-4	0.01281055649652402
8.646620605E8	2.600900518290348E-4	0.016880617807083595
8.727054285E8	1.4919123431875802E-4	0.012214386366852738
8.78193589E8	1.0228598958114911E-4	0.010113653621770378
8.82215273E8	2.8275590142874896E-4	0.017466061016262933
8.887921645E8	2.2366252544953806E-4	0.014955351064068608
8.968355325E8	1.8636471686984856E-4	0.013881835049027047
9.048789005E8	2.5648459699966484E-4	0.016299838131588553
9.129222685E8	1.864890428984475E-4	0.014409179982229093
9.209656365E8	2.0377036087370365E-4	0.015005147043355678
9.290090045E8	7.459561715937901E-5	0.008636875428034088
9.370523725E8	1.4919123431875802E-4	0.01229554597308885
9.450957405E8	7.459561715937901E-5	0.008636875428034088
9.531391085E8	7.459561715937901E-5	0.008636875428034088
9.611824765E8	2.610846600578265E-4	0.016318895589438123
9.692258445E8	2.23786851478137E-4	0.015174050381005172
9.772692125E8	2.602143778576338E-4	0.01814086540662987
9.853125805E8	2.937824055793543E-4	0.017449196085747482
9.933559485E8	1.3899649997364287E-4	0.012050427436551417
1.0013993165E9	2.23786851478137E-4	0.015562361765194377
1.0094426845E9	1.4919123431875802E-4	0.0127424406355395
1.0174860525E9	1.485696041757632E-4	0.013188332495427618
1.0255294205E9	2.23786851478137E-4	0.015001003691890976
1.0335727885E9	4.106488724623814E-4	0.02101442489299966
1.0416161565E9	3.7297808579689504E-5	0.006107193183426369
1.0496595245E9	2.610846600578265E-4	0.017114675672625573
1.0574397665E9	1.1972676755287533E-4	0.011086905851241155
1.0614614505E9	0.0	0.0
1.0657462605E9	1.0866094899549542E-4	0.010424056264021958
1.0737896285E9	2.9838246863751603E-4	0.01828081958977819
1.0818329965E9	2.2229493913494944E-4	0.01546619794986501
1.0898763645E9	1.4919123431875802E-4	0.012624815589301617
1.0979197325E9	2.23786851478137E-4	0.01545815729533151
1.1059631005E9	2.5486835862787826E-4	0.01756636567371382
1.1140064685E9	3.3431269090261693E-4	0.020453779265346472
1.1220498365E9	1.864890428984475E-4	0.014296572701759625
1.1300932045E9	1.866133689270465E-4	0.013656099109864702
1.1381365725E9	2.2428415559253289E-4	0.01529239221948787
1.1461799405E9	2.23786851478137E-4	0.01545011245622545
1.1542233085E9	2.612089860864255E-4	0.016954108001331333
1.1622666765E9	1.4919123431875802E-4	0.012214386366852738
1.1703100445E9	2.2391117750673599E-4	0.016034532333144603
1.1783534125E9	1.118934257390685E-4	0.011501430103656621
1.1863967805E9	2.1993274459156911E-4	0.01564602027070661
1.1944401485E9	3.3443701693121585E-4	0.018929015146652958
1.2024835165E9	1.864890428984475E-4	0.014077488752854687
1.2105268845E9	1.4919123431875802E-4	0.012897605446958562
1.2185702525E9	1.4919123431875802E-4	0.013370894851329574
1.2266136205E9	2.9838246863751603E-4	0.017288139655611066
1.231319804E9	0.0	0.0
